Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
85,Charone Peake,NYJ,WR,8,CHI,1,1,100,14,0,14,14,14,0,0,0,0,0,0,2.4,2.4
85,Jordy Nelson,OAK,WR,8,IND,4,1,25,14,0,14,3.5,14,0,0,0,0,0,0,2.4,2.4
85,Geronimo Allison,GB,WR,8,LAR,1,1,100,14,0,14,14,14,0,0,0,0,0,0,2.4,2.4
88,Kenny Golladay,DET,WR,8,SEA,1,1,100,12,0,12,12,12,0,0,0,0,0,0,2.2,2.2
89,Chester Rogers,IND,WR,8,OAK,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
90,Rashad Greene,JAX,WR,8,PHI,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.9,1.9
90,Cam Phillips,BUF,WR,8,NE,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
92,Neal Sterling,NYJ,WR,8,CHI,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
92,Trent Taylor,SF,WR,8,ARI,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,1.7,1.7
94,Kevin White,CHI,WR,8,NYJ,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
95,Alex Erickson,CIN,WR,8,TB,4,1,25,5,0,5,1.2,5,0,0,0,0,0,0,1.5,1.5
95,Justin Watson,TB,WR,8,CIN,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
97,Dwayne Harris,OAK,WR,8,IND,0,0,0,0,0,0,0,0,1,13,13,0,0,0,1.3,1.3
98,Demarcus Robinson,KC,WR,8,DEN,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
99,JJ Nelson,ARI,WR,8,SF,1,0,0,0,0,0,0,0,1,8,8,0,0,0,0.8,0.8
100,Zach Pascal,IND,WR,8,OAK,1,1,100,-4,0,-4,-4,-4,0,0,0,0,0,0,0.6,0.6
101,Sammie Coates,HOU,WR,8,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Leonte Carroo,MIA,WR,8,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Vyncint Smith,HOU,WR,8,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Deandre Carter,PHI,WR,8,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Shelton Gibson,PHI,WR,8,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Andre Roberts,NYJ,WR,8,CHI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Rishard Matthews,NYJ,WR,8,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Daniel Brown,CHI,WR,8,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Javon Wims,CHI,WR,8,NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Cody Core,CIN,WR,8,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Josh Malone,CIN,WR,8,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Brandon Marshall,SEA,WR,8,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Jaron Brown,SEA,WR,8,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Brandon Powell,DET,WR,8,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Isaiah McKenzie,DEN,WR,8,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Chris Conley,KC,WR,8,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Marcus Kemp,KC,WR,8,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Jehu Chesson,WAS,WR,8,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Michael Floyd,WAS,WR,8,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Russell Shepard,NYG,WR,8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Quadree Henderson,NYG,WR,8,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Darrius Heyward-Bey,PIT,WR,8,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Breshad Perriman,CLE,WR,8,PIT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Ryan Switzer,PIT,WR,8,CLE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Damiere Byrd,CAR,WR,8,BAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Martavis Bryant,OAK,WR,8,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Nick Williams,LAR,WR,8,GB,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Jojo Natson,LAR,WR,8,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Robert Tonyan Jr.,GB,WR,8,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Khadarel Hodge,LAR,WR,8,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Victor Bolden Jr.,SF,WR,8,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Dante Pettis,SF,WR,8,ARI,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
101,Richie James,SF,WR,8,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Cameron Meredith,NO,WR,8,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Austin Carr,NO,WR,8,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Justin Hardee,NO,WR,8,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Dan Arnold,NO,WR,8,MIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Brandon Zylstra,MIN,WR,8,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Matthew Slater,NE,WR,8,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Phillip Dorsett,NE,WR,8,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
