,Name,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,Score,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLossPercentage,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentRushingTouchdowns
0,Ezekiel Elliott,16.5,56.0,2.6,0.0,5.0,4.5,25.0,0.0,14.1,18.4,1.5,-3.5,-1.75,0.0,0.5,0.5,1.5,0.0,0.3,61.5,84.9,27.15,8.100000000000001,34.45,35.25,19.6,False,-3.0,46.5,24.75,22.1,62.8125,331.9375,5.3,19.625,12.6875,42.9,3.25,59.6,15.6,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
1,Keith Smith,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.75,0.0,0.0,0.0,0.0,19.6,False,-3.0,46.5,24.75,22.1,62.8125,331.9375,5.3,19.625,12.6875,42.9,3.25,59.6,15.6,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
2,Rod Smith,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.15,25.0,0.0,25.0,25.0,19.6,False,-3.0,46.5,24.75,22.1,62.8125,331.9375,5.3,19.625,12.6875,42.9,3.25,59.6,15.6,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
3,D'Onta Foreman,7.555555555555555,29.11111111111111,3.6999999999999997,0.0,0.5555555555555556,0.3333333333333333,7.555555555555555,0.0,3.888888888888888,23.0,1.1111111111111112,3.7777777777777777,1.5777777777777777,0.0,0.0,0.0,0.0,0.0,0.3777777777777777,14.333333333333334,20.244444444444444,46.36666666666667,3.744444444444445,48.91111111111111,50.12222222222223,21.855555555555554,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,21.4,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
4,Lamar Miller,15.555555555555555,60.333333333333336,4.055555555555555,0.2222222222222222,2.888888888888889,2.4444444444444446,26.88888888888889,0.2222222222222222,13.833333333333334,18.3,1.6666666666666667,4.888888888888889,1.5666666666666669,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.1111111111111112,0.2222222222222222,3.488888888888889,52.77777777777778,74.08888888888889,29.488888888888887,5.48888888888889,34.144444444444446,34.988888888888894,21.855555555555554,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,21.4,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
5,Jordan Todman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.855555555555554,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,21.4,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
6,Jay Prosch,0.0,0.0,0.0,0.0,0.2222222222222222,0.2222222222222222,2.111111111111111,0.0,0.43333333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,12.11111111111111,0.0,4.077777777777778,4.077777777777778,4.077777777777778,21.855555555555554,True,-2.5,38.5,20.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,21.4,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
7,Frank Gore,10.0,42.0,4.2,0.0,1.0,1.0,10.0,0.0,6.2,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,38.0,52.6,5.3,57.9,57.9,23.9,True,6.5,43.5,18.5,16.4,62.125,284.5625,4.6,16.6875,14.25,38.2,2.5,40.0,23.5,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
8,Robert Turbin,2.0,7.0,3.5,0.0,1.0,1.0,-4.0,0.0,1.3,2.9,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.2,14.0,28.0,14.3,7.1,21.4,21.4,23.9,True,6.5,43.5,18.5,16.4,62.125,284.5625,4.6,16.6875,14.25,38.2,2.5,40.0,23.5,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
9,Marlon Mack,10.0,24.0,2.4,1.0,1.0,1.0,21.0,0.0,11.5,1.8,3.0,2.0,0.7,1.0,0.0,0.0,0.0,0.0,6.2,17.0,34.0,58.8,5.9,64.7,64.7,23.9,True,6.5,43.5,18.5,16.4,62.125,284.5625,4.6,16.6875,14.25,38.2,2.5,40.0,23.5,22.6,62.9375,310.9375,4.9,17.6875,14.0,35.7,2.875,58.7,89.625,3.5,23.2,0.75
