,Name,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,Score,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLossPercentage,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLossPercentage,OpponentRushingTouchdowns
0,Jordan Howard,14.5,58.5,4.0,0.0,4.5,4.0,29.0,0.0,12.75,16.1,1.5,6.5,3.75,0.0,1.0,1.0,2.5,0.0,1.9000000000000001,49.0,72.05000000000001,29.6,9.15,37.7,38.75,44.0,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,18.6,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
1,Tarik Cohen,4.5,16.5,3.5,0.0,2.5,2.0,16.5,0.0,5.3,9.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.5,35.9,18.45,9.55,26.200000000000003,27.950000000000003,44.0,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,18.6,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
2,Benjamin Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,18.6,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
3,Michael Burton,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,12.9,0.0,11.1,11.1,11.1,44.0,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,18.6,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
4,Phillip Lindsay,10.166666666666666,57.666666666666664,5.45,0.16666666666666666,3.1666666666666665,2.3333333333333335,18.833333333333332,0.16666666666666666,12.483333333333334,16.6,1.8333333333333333,6.666666666666667,2.6166666666666667,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.5,0.0,1.883333333333333,23.0,33.61666666666667,42.583333333333336,15.066666666666668,52.56666666666666,57.63333333333333,36.733333333333334,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,19.5,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
5,Royce Freeman,9.666666666666666,45.333333333333336,4.883333333333333,0.5,1.0,0.6666666666666666,3.5,0.0,8.55,9.7,1.3333333333333333,4.0,1.95,0.3333333333333333,0.0,0.0,0.0,0.0,2.4,24.166666666666668,34.93333333333333,41.53333333333333,3.8166666666666664,43.78333333333333,45.36666666666667,36.733333333333334,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,19.5,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
6,Devontae Booker,2.1666666666666665,8.5,3.6999999999999997,0.0,3.3333333333333335,2.5,21.166666666666668,0.0,5.466666666666668,0.9,0.0,0.0,0.0,0.0,0.3333333333333333,0.16666666666666666,1.5,0.0,0.31666666666666665,21.833333333333332,32.06666666666667,9.566666666666666,14.716666666666667,20.683333333333334,24.316666666666666,36.733333333333334,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,19.5,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
7,Andy Janovich,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,7.166666666666667,0.0,1.0833333333333335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,20.083333333333332,1.2833333333333334,2.5,3.783333333333333,3.783333333333333,36.733333333333334,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,19.5,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
8,Todd Gurley,20.0,108.0,5.4,0.0,5.0,3.0,39.0,1.0,26.7,32.3,5.0,19.0,3.8,0.0,2.0,1.0,19.0,1.0,10.8,59.0,93.7,33.9,8.5,39.0,42.4,49.1,True,-13.5,43.5,28.5,33.5,64.8,448.0,6.9,25.0,11.7,45.3,5.3,56.6,16.9,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
9,Malcolm Brown,1.0,5.0,5.0,0.0,2.0,2.0,18.0,0.0,4.3,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.3,25.0,50.0,75.0,75.0,49.1,True,-13.5,43.5,28.5,33.5,64.8,448.0,6.9,25.0,11.7,45.3,5.3,56.6,16.9,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,140.33333333333334,4.3,25.1,1.4444444444444444
