Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
59,Javorius Allen,BAL,RB,2,CLE,2,5,2.5,0,2,2,13,1,0,0,9.8,9.8
61,Todd Gurley,LAR,RB,7,ARI,5,36,7.2,1,1,0,0,0,0,0,9.6,9.6
61,Dion Lewis,NE,RB,4,CAR,3,17,5.7,1,1,1,9,0,0,0,9.6,9.6
61,Christian McCaffrey,CAR,RB,15,GB,0,0,0,0,2,2,16,1,0,0,9.6,9.6
64,Ezekiel Elliott,DAL,RB,7,SF,8,35,4.4,1,0,0,0,0,0,0,9.5,9.5
65,Tarik Cohen,CHI,RB,1,ATL,1,5,5,0,1,1,19,1,0,0,9.4,9.4
66,Matt Forte,NYJ,RB,13,KC,3,12,4,0,1,1,11,1,0,0,9.3,9.3
66,Dalvin Cook,MIN,RB,3,TB,6,7,1.2,1,1,1,16,0,0,0,9.3,9.3
68,Joe Mixon,CIN,RB,12,CLE,7,31,4.4,1,1,0,0,0,0,0,9.1,9.1
68,Leonard Fournette,JAX,RB,13,IND,6,10,1.7,1,1,1,11,0,0,0,9.1,9.1
70,Javorius Allen,BAL,RB,5,OAK,10,30,3,1,0,0,0,0,0,0,9,9
70,Le'Veon Bell,PIT,RB,6,KC,5,30,6,1,1,0,0,0,0,0,9,9
70,Jay Ajayi,PHI,RB,16,OAK,1,3,3,0,1,1,17,1,0,0,9,9
70,Doug Martin,TB,RB,14,DET,3,8,2.7,1,1,1,12,0,0,0,9,9
74,Rex Burkhead,NE,RB,2,NO,0,0,0,0,1,1,19,1,0,0,8.9,8.9
74,Tevin Coleman,ATL,RB,9,CAR,0,0,0,0,1,1,19,1,0,0,8.9,8.9
74,Joe Mixon,CIN,RB,9,JAX,2,9,4.5,1,1,1,10,0,0,0,8.9,8.9
74,Dion Lewis,NE,RB,11,OAK,1,4,4,0,1,1,15,1,0,0,8.9,8.9
78,Frank Gore,IND,RB,12,TEN,5,28,5.6,1,0,0,0,0,0,0,8.8,8.8
78,Jordan Howard,CHI,RB,14,CIN,5,28,5.6,1,0,0,0,0,0,0,8.8,8.8
78,Rex Burkhead,NE,RB,10,DEN,2,4,2,0,1,1,14,1,0,0,8.8,8.8
78,Frank Gore,IND,RB,16,BAL,2,4,2,0,1,1,14,1,0,0,8.8,8.8
78,Todd Gurley,LAR,RB,16,TEN,4,15,3.8,0,1,1,3,1,0,0,8.8,8.8
78,Lamar Miller,HOU,RB,11,ARI,2,11,5.5,0,1,1,7,1,0,0,8.8,8.8
78,Christian McCaffrey,CAR,RB,5,DET,0,0,0,0,2,2,8,1,0,0,8.8,8.8
85,Wayne Gallman,NYG,RB,4,TB,6,13,2.2,0,1,1,4,1,0,0,8.7,8.7
85,Javorius Allen,BAL,RB,9,TEN,1,0,0,0,2,2,7,1,0,0,8.7,8.7
85,Christian McCaffrey,CAR,RB,6,PHI,1,3,3,0,2,2,4,1,0,0,8.7,8.7
85,James White,NE,RB,7,ATL,1,4,4,0,2,2,3,1,0,0,8.7,8.7
85,Mark Ingram,NO,RB,8,CHI,1,1,1,1,3,3,-4,0,0,0,8.7,8.7
90,Chris Thompson,WAS,RB,11,NO,0,0,0,0,1,1,16,1,0,0,8.6,8.6
91,CJ Anderson,DEN,RB,16,WAS,1,5,5,1,0,0,0,0,0,0,8.5,8.5
91,Melvin Gordon,LAC,RB,11,BUF,7,25,3.6,1,0,0,0,0,0,0,8.5,8.5
91,Alvin Kamara,NO,RB,12,LAR,0,0,0,0,1,1,15,1,0,0,8.5,8.5
91,Melvin Gordon,LAC,RB,1,DEN,2,4,2,0,1,1,11,1,0,0,8.5,8.5
91,Melvin Gordon,LAC,RB,15,KC,3,4,1.3,1,1,1,11,0,0,0,8.5,8.5
96,Latavius Murray,MIN,RB,12,DET,8,24,3,1,1,0,0,0,0,0,8.4,8.4
