Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,16,TEN,22,118,5.4,0,13,10,158,2,0,0,55.6,55.6
2,Kareem Hunt,KC,RB,1,NE,17,148,8.7,1,5,5,98,2,1,1,49.6,49.6
3,Todd Gurley,LAR,RB,15,SEA,21,152,7.2,3,3,3,28,1,0,0,48,48
4,Ezekiel Elliott,DAL,RB,7,SF,26,147,5.7,2,3,1,72,1,0,0,43.9,43.9
5,Kareem Hunt,KC,RB,15,LAC,24,155,6.5,1,9,7,51,1,0,0,42.6,42.6
6,Todd Gurley,LAR,RB,3,SF,28,113,4,2,7,5,36,1,1,0,40.9,40.9
7,Alvin Kamara,NO,RB,12,LAR,5,87,17.4,1,6,6,101,1,0,0,39.8,39.8
8,Le'Veon Bell,PIT,RB,14,BAL,13,48,3.7,2,10,9,77,1,0,0,39.5,39.5
9,Le'Veon Bell,PIT,RB,4,BAL,35,144,4.1,2,6,4,42,0,1,0,37.6,37.6
10,Todd Gurley,LAR,RB,4,DAL,23,121,5.3,0,8,7,94,1,0,0,37.5,37.5
11,Melvin Gordon,LAC,RB,5,NYG,20,105,5.2,0,8,6,58,2,0,0,37.3,37.3
12,Rod Smith,DAL,RB,14,NYG,6,47,7.8,1,5,5,113,1,0,0,36,36
12,Melvin Gordon,LAC,RB,6,OAK,25,83,3.3,1,12,9,67,1,0,0,36,36
14,Jordan Howard,CHI,RB,3,PIT,23,140,6.1,2,5,5,26,0,1,1,35.6,35.6
15,Dion Lewis,NE,RB,16,BUF,24,129,5.4,1,5,5,24,1,0,0,35.3,35.3
16,Leonard Fournette,JAX,RB,5,PIT,28,181,6.5,2,1,1,3,0,0,0,34.4,34.4
17,Mark Ingram,NO,RB,10,BUF,21,131,6.2,3,0,0,0,0,0,0,34.1,34.1
18,Mark Ingram,NO,RB,6,DET,25,114,4.6,2,5,5,36,0,1,1,34,34
