Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
942,Kerwynn Williams,ARI,RB,2,IND,18,27.3,50,0,50,50,2.2,12.2
942,DJ Foster,ARI,RB,12,JAX,18,24.7,5.6,22.2,22.2,27.8,5.2,28.9
942,Kenyan Drake,MIA,RB,4,NO,9,17.3,11.1,33.3,33.3,44.4,3.1,34.4
942,Anthony Sherman,KC,FB,3,LAC,9,17,0,11.1,11.1,11.1,2.1,23.3
950,Matt Forte,NYJ,RB,15,NO,28,37.8,25,17.9,32.1,42.9,5.4,19.3
950,Chris Johnson,ARI,RB,5,PHI,24,40,37.5,4.2,41.7,41.7,3.9,16.2
950,Shane Vereen,NYG,RB,3,PHI,19,27.5,5.3,10.5,15.8,15.8,4.3,22.6
953,Javorius Allen,BAL,RB,7,MIN,41,63.1,14.6,26.8,34.1,41.5,12.9,31.5
953,Tarik Cohen,CHI,RB,2,TB,40,62.5,17.5,22.5,37.5,40,13.8,34.5
953,Jonathan Stewart,CAR,RB,15,GB,30,40,36.7,3.3,40,40,4.6,15.3
953,Charcandrick West,KC,RB,11,NYG,20,26.7,20,20,40,40,6.4,32
953,Leshun Daniels Jr.,WAS,RB,14,LAC,10,19.6,20,0,20,20,1.2,12
953,Keith Smith,DAL,FB,15,OAK,10,15.4,0,10,10,10,2.2,22
953,Jamaal Williams,GB,RB,3,CIN,5,7.1,20,0,20,20,0.6,12
960,Wayne Gallman,NYG,RB,16,ARI,52,72.2,19.2,15.4,30.8,34.6,12.2,23.5
960,Doug Martin,TB,RB,11,MIA,37,56.1,51.4,8.1,56.8,59.5,6.4,17.3
960,Ameer Abdullah,DET,RB,8,PIT,32,45.1,34.4,9.4,43.8,43.8,6.8,21.2
963,Samaje Perine,WAS,RB,3,OAK,30,44.1,63.3,3.3,66.7,66.7,5.5,18.3
963,Tarik Cohen,CHI,RB,16,CLE,18,28.1,11.1,11.1,22.2,22.2,4.1,22.8
963,Elijah McGuire,NYJ,RB,3,MIA,12,19,58.3,0,58.3,58.3,2.4,20
963,Jalen Richard,OAK,RB,9,MIA,12,19,41.7,8.3,41.7,50,1.4,11.7
963,Michael Burton,CHI,FB,1,ATL,6,9,16.7,0,16.7,16.7,0.7,11.7
963,Jacquizz Rodgers,TB,RB,6,ARI,6,8.6,50,16.7,66.7,66.7,1.7,28.3
963,Lawrence Thomas,NYJ,RB,14,DEN,6,12,0,16.7,16.7,16.7,1.7,28.3
970,Darren Sproles,PHI,RB,2,KC,50,69.4,20,8,24,28,8.8,17.6
970,Isaiah Crowell,CLE,RB,2,BAL,32,45.1,31.2,3.1,31.2,34.4,3.7,11.6
970,LeGarrette Blount,PHI,RB,7,WAS,25,38.5,56,0,56,56,2.9,11.6
973,Latavius Murray,MIN,RB,6,GB,33,42.9,45.5,3,48.5,48.5,4.8,14.5
973,Theo Riddick,DET,RB,12,MIN,26,44.1,19.2,7.7,23.1,26.9,4,15.4
973,Alan Cross,TB,FB,15,ATL,20,32.8,0,10,5,10,3.3,16.5
973,Danny Woodhead,BAL,RB,13,DET,20,31.2,15,10,25,25,4.3,21.5
973,Jacquizz Rodgers,TB,RB,5,NE,13,18.1,23.1,7.7,30.8,30.8,2.5,19.2
973,Tion Green,DET,RB,14,TB,13,19.1,38.5,0,38.5,38.5,1.5,11.5
979,Ameer Abdullah,DET,RB,1,ARI,36,50.7,41.7,11.1,50,52.8,7.1,19.7
979,Shane Vereen,NYG,RB,4,TB,22,27.5,22.7,9.1,27.3,31.8,3.5,15.9
979,Dwayne Washington,DET,RB,8,PIT,14,19.7,42.9,7.1,50,50,2.6,18.6
982,JD McKissic,SEA,RB,14,JAX,31,50,9.7,16.1,25.8,25.8,8.5,27.4
982,Derek Watt,LAC,FB,11,BUF,15,20.3,13.3,0,13.3,13.3,1.7,11.3
984,Theo Riddick,DET,RB,3,ATL,34,48.6,0,26.5,11.8,26.5,7.8,22.9
984,Charles Sims,TB,RB,12,ATL,26,36.6,3.8,19.2,15.4,23.1,5.9,22.7
984,Matt Breida,SF,RB,9,ARI,17,23,5.9,23.5,17.6,29.4,3.9,22.9
984,D'Onta Foreman,HOU,RB,10,LAR,16,22.9,43.8,0,43.8,43.8,1.8,11.2
984,CJ Ham,MIN,RB,14,CAR,8,10.8,0,12.5,12.5,12.5,1.9,23.8
989,Andre Ellington,HOU,RB,13,TEN,47,58,4.3,12.8,14.9,17,10.2,21.7
989,DeMarco Murray,TEN,RB,9,BAL,37,71.2,24.3,5.4,29.7,29.7,6.1,16.5
989,Rob Kelley,WAS,RB,7,PHI,27,42.2,25.9,7.4,33.3,33.3,5,18.5
992,Jonathan Stewart,CAR,RB,5,DET,40,60.6,45,7.5,52.5,52.5,7.4,18.5
992,Javorius Allen,BAL,RB,4,PIT,40,58,5,15,20,20,10.4,26
992,Melvin Gordon,LAC,RB,7,DEN,40,69,45,10,47.5,55,5.4,13.5
992,Damien Williams,MIA,RB,3,NYJ,10,15.9,20,10,30,30,2.1,21
992,Lawrence Thomas,NYJ,RB,8,ATL,10,16.4,10,20,30,30,3.1,31
992,Dan Vitale,CLE,FB,7,TEN,10,13.7,0,10,10,10,2.1,21
998,Christian McCaffrey,CAR,RB,16,TB,53,80.3,17,7.5,20.8,24.5,7.8,14.7
998,Le'Veon Bell,PIT,RB,1,CLE,43,71.7,23.3,14,30.2,37.2,7.7,17.9
998,Thomas Rawls,SEA,RB,5,LAR,32,47.1,25,9.4,31.2,34.4,5.5,17.2
998,Matt Forte,NYJ,RB,3,MIA,23,36.5,34.8,0,34.8,34.8,2.5,10.9
