Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
116,Corey Clement,PHI,RB,15,LAR,18,11,3000,0.22
118,Senorise Perry,MIA,RB,15,MIN,6,10,3000,0.21
119,Dwayne Washington,NO,RB,15,CAR,23,6,3000,0.19
120,Jamize Olawale,DAL,FB,15,IND,10,12,3000,0.18
121,Brian Hill,ATL,RB,15,ARI,12,30,3000,0.17
121,Mike Boone,MIN,RB,15,MIA,27,25,3000,0.17
121,Kenjon Barner,CAR,RB,15,NO,14,2,3000,0.17
124,Darrel Williams,KC,RB,15,LAC,8,21,3000,0.16
125,Derrick Coleman,ARI,FB,15,ATL,28,28,3000,0.14
126,Tre Madden,SEA,RB,15,SF,24,19,3000,0.12
127,Tommy Bohanon,JAX,FB,15,WAS,16,14,3000,0.11
127,Shaun Wilson,TB,RB,15,BAL,2,3,null,0.11
129,Benjamin Cunningham,CHI,RB,15,GB,15,16,3000,0.1
130,Michael Burton,CHI,FB,15,GB,15,16,3000,0.09
130,Samaje Perine,WAS,RB,15,JAX,5,9,3000,0.09
130,Matt Dayes,SF,RB,15,SEA,11,18,3000,0.09
133,Ricky Ortiz,ATL,RB,15,ARI,12,30,3000,0.08
134,David Williams,JAX,RB,15,WAS,16,14,3000,0.07
135,David Fluellen,TEN,RB,15,NYG,19,24,3000,0.04
136,Taiwan Jones,BUF,RB,15,DET,17,23,null,0.01
137,Bilal Powell,NYJ,RB,15,HOU,9,7,3000,0
137,De'Angelo Henderson,NYJ,RB,15,HOU,9,7,null,0
137,DJ Foster,ARI,RB,15,ATL,28,28,null,0
137,Devonta Freeman,ATL,RB,15,ARI,12,30,4600,0
137,Nick Bawden,DET,FB,15,BUF,3,22,null,0
137,Joe Kerridge,GB,FB,15,CHI,1,1,null,0
137,Marshawn Lynch,OAK,RB,15,CIN,32,32,3000,0
137,Chris Warren III,OAK,RB,15,CIN,32,32,null,0
137,Jonathan Williams,IND,RB,15,DAL,4,4,3000,0
