Team,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,TacklesForLossPercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
SF,26.6,266,633,3442,5.4,203,133,37.6,40,57.5,1022,4.1,7,23.4,6.6,15.2,356,60.4,2420,6.8,11.3,21,98
CHI,19.4,175,577,2876,5,164,125,34.4,19,68.4,756,3.6,2,25.7,8.2,15.8,337,62.6,2120,6.3,10,17,78
CIN,32,288,644,4091,6.4,238,130,56.2,35,68.6,1271,5,11,14.5,5.4,14.4,368,66.8,2820,7.7,11.5,21,97
BUF,25.1,251,611,3022,4.9,187,131,38.2,31,67.7,998,4,10,29,7,16.2,334,64.4,2024,6.1,9.4,14,85
DEN,23.7,213,571,3276,5.7,169,120,37.5,29,58.6,1184,4.8,8,21.5,8.6,17.5,297,63,2092,7,11.2,16,91
CLE,26.3,263,723,4197,5.8,244,133,36.8,36,66.7,1321,4.7,14,22.2,5.5,13.9,415,62.4,2876,6.9,11.1,16,83
TB,32.3,291,558,3600,6.5,201,106,38.7,32,87.5,973,4.4,12,25.1,6.2,15.6,318,73.6,2627,8.3,11.2,23,121
ARI,25,225,609,3272,5.4,198,121,39.7,29,58.6,1263,4.3,13,25.1,9.1,18.2,289,67.8,2009,7,10.2,11,92
LAC,20.7,186,572,3209,5.6,187,119,42,30,46.7,1013,4.5,3,23,7.5,17.6,320,64.1,2196,6.9,10.7,15,87
KC,24,240,690,4107,6,257,121,36.4,33,69.7,1217,5.1,12,20.8,6.9,14.4,419,63.2,2890,6.9,10.9,16,85
IND,26.6,239,592,3386,5.7,197,112,43.8,29,51.7,970,3.9,7,24.8,6.1,11.8,325,72,2416,7.4,10.3,15,97
DAL,19,171,560,2957,5.3,170,118,44.1,27,48.1,870,3.6,6,23.2,7.8,17.6,294,69.7,2087,7.1,10.2,12,99
MIA,25.6,256,633,3923,6.2,208,118,42.4,35,57.1,1420,4.8,9,17.1,5,11.8,323,65.3,2503,7.7,11.9,18,88
PHI,20.3,183,560,3233,5.8,164,119,35.3,34,44.1,841,4.7,6,29.8,6.8,22.3,356,65.2,2392,6.7,10.3,12,91
ATL,28.2,254,570,3729,6.5,219,106,51.9,36,75,1079,5.2,11,13.9,4.7,10.5,345,70.4,2650,7.7,10.9,21,103
NYG,25.3,228,571,3305,5.8,189,118,43.2,32,43.8,1103,4.4,8,16.1,3.1,12.4,313,64.5,2202,7,10.9,12,90
JAX,22.1,199,550,2872,5.2,161,121,39.7,25,56,1067,4.2,7,19.1,6.5,15.3,275,61.8,1805,6.6,10.6,12,88
NYJ,25.4,254,669,3616,5.4,198,144,33.3,32,50,1195,4.2,10,19.4,5.7,16.6,363,62.3,2421,6.7,10.7,17,86
DET,27.1,244,521,3259,6.3,185,97,39.2,29,55.2,1194,4.9,8,17.6,9,14.8,252,69,2065,8.2,11.9,19,114
GB,24.3,243,636,3491,5.5,202,138,37,34,55.9,1261,4.6,10,17.7,9.5,16.2,325,62.5,2230,6.9,11,16,91
CAR,25.8,232,551,3215,5.8,190,102,40.2,24,83.3,891,4.4,6,29.9,6.3,14.4,325,67.1,2324,7.2,10.7,22,96
NE,23.6,236,661,3814,5.8,218,130,43.1,35,60,1111,4.4,5,16.3,3.7,12.7,394,60.9,2703,6.9,11.3,21,88
OAK,30.2,272,535,3592,6.7,177,111,45.9,35,51.4,1269,4.8,9,12.5,3,10.7,262,65.3,2323,8.9,13.6,21,112
LAR,23.1,231,589,3552,6,201,115,40.9,28,67.9,1221,5.2,8,24.7,7.3,17.8,328,64.9,2331,7.1,10.9,19,96
BAL,17.8,160,576,2745,4.8,168,125,35.2,25,60,898,4,6,25.7,8,16,322,59.6,1847,5.7,9.6,12,82
WAS,19.4,175,559,3249,5.8,188,107,43.9,28,50,818,4.2,7,20.6,6.8,14.8,340,67.1,2431,7.2,10.7,15,91
NO,25.8,232,534,3386,6.3,194,95,40,29,72.4,721,3.7,9,24,6.2,13,317,69.4,2665,8.4,12.1,19,107
SEA,21.6,216,586,3481,5.9,203,110,36.4,29,58.6,1115,4.9,8,23.9,7.8,15.8,332,66,2366,7.1,10.8,16,90
PIT,23.2,209,581,3025,5.2,192,111,36.9,29,55.2,817,4.1,6,33,8.1,18.1,350,63.4,2208,6.3,9.9,19,92
HOU,20.4,184,587,3027,5.2,165,134,40.3,23,73.9,836,3.6,3,22.8,6.5,16.1,332,64.8,2191,6.6,10.2,16,91
TEN,16.8,151,553,2952,5.3,165,115,39.1,23,34.8,898,3.9,4,24.6,7.1,16,302,64.2,2054,6.8,10.6,11,88
MIN,22.7,204,551,2900,5.3,173,101,25.7,33,39.4,800,3.6,5,26.7,9.4,19.1,299,64.2,2100,7,10.9,12,87
