Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,7,SF,29,22,9800,25.6
2,Saquon Barkley,NYG,RB,7,ATL,31,28,8900,23.57
3,Ezekiel Elliott,DAL,RB,7,WAS,7,11,8100,19.17
4,Joe Mixon,CIN,RB,7,KC,31,31,7600,18.48
5,Christian McCaffrey,CAR,RB,7,PHI,9,3,7700,18.26
6,Alvin Kamara,NO,RB,7,BAL,1,1,8500,17.83
7,Kareem Hunt,KC,RB,7,CIN,25,23,6800,17.68
8,David Johnson,ARI,RB,7,DEN,24,29,7600,17.15
9,Austin Ekeler,LAC,RB,7,TEN,4,7,null,15.26
10,TJ Yeldon,JAX,RB,7,HOU,12,12,6400,14.99
11,James White,NE,RB,7,CHI,10,2,6900,14.58
12,LeSean McCoy,BUF,RB,7,IND,24,19,5600,14.5
13,Sony Michel,NE,RB,7,CHI,10,2,5500,13.38
14,Kerryon Johnson,DET,RB,7,MIA,16,28,4500,13.27
15,Tarik Cohen,CHI,RB,7,NE,23,18,5100,13.23
16,Mark Ingram,NO,RB,7,BAL,1,1,5900,13.2
17,Tevin Coleman,ATL,RB,7,NYG,18,20,5100,12.94
18,Nick Chubb,CLE,RB,7,TB,32,24,3600,12.89
19,Duke Johnson,CLE,RB,7,TB,32,24,4000,12.65
20,Alex Collins,BAL,RB,7,NO,27,5,4800,12.17
20,Corey Clement,PHI,RB,7,CAR,14,14,4700,12.17
22,Phillip Lindsay,DEN,RB,7,ARI,15,32,4900,12.03
23,Matt Breida,SF,RB,7,LAR,8,10,5300,11.91
24,Latavius Murray,MIN,RB,7,NYJ,19,17,5000,11.63
25,Adrian Peterson,WAS,RB,7,DAL,2,6,4600,11.49
26,Kenyan Drake,MIA,RB,7,DET,22,30,4900,11.11
27,Wendell Smallwood,PHI,RB,7,CAR,14,14,4100,11.06
28,Jordan Howard,CHI,RB,7,NE,23,18,5500,10.93
29,Marlon Mack,IND,RB,7,BUF,6,20,4400,10.89
30,Lamar Miller,HOU,RB,7,JAX,3,8,4200,10.83
31,Bilal Powell,NYJ,RB,7,MIN,20,9,4200,10.61
32,Peyton Barber,TB,RB,7,CLE,21,27,3800,10.37
33,Dion Lewis,TEN,RB,7,LAC,13,13,null,10.24
34,Javorius Allen,BAL,RB,7,NO,27,5,4500,10.23
35,Ito Smith,ATL,RB,7,NYG,18,20,3800,10.18
36,Nyheim Hines,IND,RB,7,BUF,6,20,4300,9.99
