TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
49ers,21.2,275,266,432,61.6,3114,7.2,11.7,22,16,164,41,undefined,85
Bears,27.6,359,281,429,65.5,2934,6.8,10.4,25,14,147,29,undefined,91
Bengals,23.6,307,292,466,62.7,2989,6.4,10.2,24,12,164,29,undefined,87
Bills,15.5,201,221,406,54.4,2167,5.3,9.8,8,20,109,39,undefined,56
Broncos,22.3,290,282,455,62,2969,6.5,10.5,16,10,141,30,undefined,83
Browns,22.5,292,284,463,61.3,3109,6.7,10.9,21,13,146,36,undefined,85
Buccaneers,25.5,332,339,517,65.6,4308,8.3,12.7,31,24,226,36,undefined,92
Cardinals,13.7,178,224,394,56.9,2058,5.2,9.2,12,16,113,35,undefined,64
Chargers,28.2,366,285,413,69,3494,8.5,12.3,29,6,175,24,undefined,112
Chiefs,36.2,471,322,482,66.8,4145,8.6,12.9,43,11,200,23,undefined,114
Colts,26.8,349,361,535,67.5,3638,6.8,10.1,34,13,192,16,undefined,98
Cowboys,21.2,276,285,419,68,2837,6.8,10,17,7,145,48,undefined,94
Dolphins,21.4,278,247,377,65.5,2616,6.9,10.6,24,10,130,36,undefined,96
Eagles,21.6,281,334,484,69,3312,6.8,9.9,22,8,179,36,undefined,96
Falcons,24.3,316,359,510,70.4,3820,7.5,10.6,28,6,197,38,undefined,105
Giants,23.6,307,312,465,67.1,3227,6.9,10.3,20,9,167,43,undefined,93
Jaguars,16.3,212,288,467,61.7,2882,6.2,10,15,11,150,38,undefined,80
Jets,20.8,270,235,423,55.6,2479,5.9,10.5,13,19,120,28,undefined,64
Lions,20.8,271,309,469,65.9,2959,6.3,9.6,18,12,168,37,undefined,85
Packers,24.2,315,311,503,61.8,3461,6.9,11.1,23,2,169,41,undefined,96
Panthers,24.9,324,306,446,68.6,3129,7,10.2,24,12,176,25,undefined,95
Patriots,28,364,316,480,65.8,3625,7.6,11.5,23,8,179,18,undefined,97
Raiders,18.8,244,318,459,69.3,3198,7,10.1,18,8,166,43,undefined,95
Rams,32.7,425,297,461,64.4,3768,8.2,12.7,27,11,194,29,undefined,99
Ravens,24.7,321,294,487,60.4,3057,6.3,10.4,16,9,163,26,undefined,82
Redskins,19.2,249,269,433,62.1,2686,6.2,10,14,12,131,35,undefined,79
Saints,34.4,447,317,422,75.1,3428,8.1,10.8,31,4,178,14,undefined,119
Seahawks,26.2,340,227,346,65.6,2513,7.3,11.1,29,6,122,39,undefined,108
Steelers,28.2,367,373,560,66.6,4148,7.4,11.1,29,14,204,18,undefined,95
Texans,24.8,323,269,403,66.7,3025,7.5,11.2,22,9,160,46,undefined,98
Titans,19.3,251,245,362,67.7,2532,7,10.3,14,10,133,43,undefined,89
Vikings,21.7,282,370,524,70.6,3497,6.7,9.5,24,9,191,32,undefined,97
