TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
49ers,21.2,1634,4.5,96,26.7,41,8.7,100,21.1
Bears,27.6,1579,4.2,73,19.5,29,6.3,57,12.4
Bengals,23.6,1284,4.7,70,25.4,29,5.9,56,11.3
Bills,15.5,1629,4.3,89,23.4,39,8.8,89,20
Broncos,22.3,1693,5.2,58,17.9,30,6.2,82,16.9
Browns,22.5,1563,4.6,83,24.3,36,7.2,69,13.8
Buccaneers,25.5,1283,4,72,22.2,36,6.5,97,17.5
Cardinals,13.7,1093,3.8,74,25.4,35,8.2,84,19.6
Chargers,28.2,1587,4.8,61,18.5,24,5.5,69,15.8
Chiefs,36.2,1542,4.8,53,16.4,23,4.6,90,17.8
Colts,26.8,1333,4.2,57,18,16,2.9,66,12
Cowboys,21.2,1721,4.6,82,22.1,48,10.3,96,20.6
Dolphins,21.4,1421,4.6,74,24,36,8.7,81,19.6
Eagles,21.6,1273,4.1,81,26,36,6.9,89,17.1
Falcons,24.3,1055,3.9,92,33.7,38,6.9,100,18.2
Giants,23.6,1377,4.8,92,32.4,43,8.5,84,16.5
Jaguars,16.3,1395,4.1,70,20.5,38,7.5,90,17.8
Jets,20.8,1381,4.1,76,22.6,28,6.2,62,13.7
Lions,20.8,1339,4.2,75,23.7,37,7.3,70,13.8
Packers,24.2,1406,5,73,26,41,7.5,80,14.7
Panthers,24.9,1786,5.4,55,16.6,25,5.3,59,12.5
Patriots,28,1537,4,45,11.8,18,3.6,55,11
Raiders,18.8,1319,4.2,77,24.7,43,8.6,79,15.7
Rams,32.7,1725,4.8,66,18.4,29,5.9,61,12.4
Ravens,24.7,1748,4.2,49,11.8,26,5.1,57,11.1
Redskins,19.2,1483,4.4,86,25.7,35,7.5,80,17.1
Saints,34.4,1629,4.1,46,11.7,14,3.2,42,9.6
Seahawks,26.2,2000,4.7,70,16.6,39,10.1,77,20
Steelers,28.2,1157,4.1,52,18.4,18,3.1,49,8.5
Texans,24.8,1778,4.4,94,23.3,46,10.2,104,23.2
Titans,19.3,1616,4.4,91,24.9,43,10.6,66,16.3
Vikings,21.7,1110,4.1,75,27.4,32,5.8,82,14.7
