Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,9,182,868,4.8,12,49,37,362,4,1,1,30.3,273
2,Alvin Kamara,NO,RB,8,111,490,4.4,9,66,51,427,3,0,0,28.5,227.7
3,James Conner,PIT,RB,8,151,706,4.7,9,50,38,379,1,3,1,28.1,224.5
4,Saquon Barkley,NYG,RB,8,111,519,4.7,5,71,58,497,2,0,0,26.2,209.6
5,Kareem Hunt,KC,RB,9,151,683,4.5,7,29,21,312,6,0,0,22.7,204.5
6,James White,NE,RB,9,60,235,3.9,4,81,61,531,6,0,0,22,197.6
7,Melvin Gordon,LAC,RB,7,107,579,5.4,7,46,31,289,3,1,0,27.7,193.8
8,Christian McCaffrey,CAR,RB,8,109,502,4.6,3,58,49,378,2,1,1,21.5,172
9,Ezekiel Elliott,DAL,RB,8,149,680,4.6,3,41,29,226,1,2,1,19,151.6
10,TJ Yeldon,JAX,RB,8,81,334,4.1,1,53,37,346,4,1,1,16.8,134
11,Adrian Peterson,WAS,RB,8,136,604,4.4,4,16,12,167,1,2,2,15.4,123.1
12,Phillip Lindsay,DEN,RB,9,110,591,5.4,3,26,20,160,1,0,0,13.6,122.1
13,Tarik Cohen,CHI,RB,8,49,229,4.7,1,43,31,406,3,3,1,15.1,120.5
14,Tevin Coleman,ATL,RB,8,95,398,4.2,2,25,20,205,4,1,0,14.9,119.3
15,David Johnson,ARI,RB,8,122,394,3.2,5,34,24,207,1,2,2,14.8,118.1
16,Kenyan Drake,MIA,RB,9,73,349,4.8,3,47,31,223,2,1,1,13,117.2
17,Joe Mixon,CIN,RB,6,105,509,4.8,4,28,19,115,1,0,0,19.1,114.4
18,Isaiah Crowell,NYJ,RB,9,107,533,5,5,16,11,93,0,0,0,12.2,109.6
19,Latavius Murray,MIN,RB,9,92,417,4.5,5,22,18,132,0,0,0,12,107.9
20,Alex Collins,BAL,RB,9,107,393,3.7,6,21,15,105,1,3,3,11.5,103.8
20,Dion Lewis,TEN,RB,8,92,339,3.7,1,37,33,259,1,1,1,13,103.8
22,Kerryon Johnson,DET,RB,8,89,503,5.7,1,31,24,165,0,0,0,12.8,102.8
23,Lamar Miller,HOU,RB,8,125,525,4.2,2,20,13,105,1,1,1,12.4,99
24,Nyheim Hines,IND,RB,8,52,238,4.6,1,42,34,187,2,0,0,11.8,94.5
25,Matt Breida,SF,RB,9,96,531,5.5,2,14,12,93,1,1,1,10.5,94.4
26,Austin Ekeler,LAC,RB,8,56,326,5.8,0,26,20,246,3,1,1,11.8,94.2
26,Javorius Allen,BAL,RB,9,39,106,2.7,3,43,35,196,2,1,1,10.5,94.2
28,Jordan Howard,CHI,RB,8,126,439,3.5,5,15,11,87,0,1,1,11.6,92.6
29,Chris Carson,SEA,RB,7,111,497,4.5,2,11,8,80,0,1,1,12.2,85.7
30,Duke Johnson,CLE,RB,9,23,115,5,0,38,29,281,2,1,0,9.4,84.6
31,Jalen Richard,OAK,RB,8,15,50,3.3,0,49,43,348,0,0,0,10.4,82.8
32,Marshawn Lynch,OAK,RB,6,90,376,4.2,3,20,15,84,0,0,0,13.7,82
33,Marlon Mack,IND,RB,4,66,381,5.8,3,11,6,56,1,0,0,20.4,81.7
34,Sony Michel,NE,RB,6,95,422,4.4,4,8,4,31,0,1,1,13,78.3
35,Carlos Hyde,JAX,RB,7,120,393,3.3,5,12,6,29,0,1,0,11.2,78.2
36,Mike Davis,SEA,RB,7,67,288,4.3,3,20,17,88,0,0,0,10.8,75.6
37,Wendell Smallwood,PHI,RB,8,60,257,4.3,1,22,15,143,2,2,1,9.2,74
38,Nick Chubb,CLE,RB,9,74,403,5.4,4,7,3,15,0,0,0,8,71.8
39,LeSean McCoy,BUF,RB,8,85,267,3.1,0,33,23,186,0,0,0,8.5,68.3
40,Frank Gore,MIA,RB,9,104,438,4.2,0,9,7,68,1,0,0,7.4,66.6
41,Chris Thompson,WAS,RB,5,26,113,4.3,0,34,28,209,1,0,0,13.2,66.2
42,Ito Smith,ATL,RB,8,49,178,3.6,4,15,13,99,0,1,0,8.1,64.7
43,Peyton Barber,TB,RB,8,104,376,3.6,1,15,8,46,1,0,0,7.8,62.2
44,Chris Ivory,BUF,RB,9,80,280,3.5,1,19,12,160,0,0,0,6.9,62
45,Bilal Powell,NYJ,RB,7,80,343,4.3,0,18,11,110,1,2,1,8.8,61.3
46,Royce Freeman,DEN,RB,7,71,309,4.4,4,6,4,21,0,0,0,8.7,61
47,Aaron Jones,GB,RB,6,58,350,6,2,12,8,51,0,1,1,9.8,59.1
48,Devontae Booker,DEN,RB,9,25,144,5.8,1,29,22,158,0,1,1,6.4,57.2
49,Alfred Blue,HOU,RB,9,94,297,3.2,1,15,11,94,0,0,0,6.2,56.1
50,Derrick Henry,TEN,RB,8,90,300,3.3,2,10,8,54,0,0,0,7,55.72
51,Giovani Bernard,CIN,RB,4,34,155,4.6,3,21,14,78,0,0,0,13.8,55.3
52,Corey Clement,PHI,RB,6,50,167,3.3,2,16,14,115,0,3,0,9,54.2
53,Kyle Juszczyk,SF,FB,9,5,18,3.6,0,29,21,255,1,1,1,5.9,53.3
54,Jamaal Williams,GB,RB,8,70,267,3.8,1,19,10,77,0,0,0,6.6,52.4
55,Theo Riddick,DET,RB,6,8,30,3.8,0,38,30,174,0,0,0,8.4,50.4
56,Ty Montgomery,BAL,RB,7,26,105,4,1,23,15,170,0,2,1,6.8,47.5
57,Alfred Morris,SF,RB,9,84,294,3.5,1,11,6,66,0,2,1,5.2,47
58,LeGarrette Blount,DET,RB,8,65,178,2.7,3,5,5,39,0,1,0,5.6,44.7
59,Jay Ajayi,PHI,RB,4,45,184,4.1,3,6,5,20,0,1,1,11.1,44.4
60,Dalvin Cook,MIN,RB,4,46,187,4.1,0,16,13,127,0,1,1,10.8,43.4
61,Mark Ingram,NO,RB,4,50,181,3.6,2,10,8,62,0,2,1,10.8,43.3
