Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
99,Elijhaa Penny,NYG,RB,8,WAS,7,7,3000,0.41
99,Dwayne Washington,NO,RB,8,MIN,13,9,null,0.41
101,Zach Line,NO,FB,8,MIN,13,9,null,0.4
102,Tommy Bohanon,JAX,FB,8,PHI,11,2,null,0.39
103,Senorise Perry,MIA,RB,8,HOU,8,13,null,0.37
103,Patrick DiMarco,BUF,FB,8,NE,24,19,null,0.37
105,Cameron Artis-Payne,CAR,RB,8,BAL,1,1,3000,0.36
105,Justin Davis,LAR,RB,8,GB,9,15,3000,0.36
107,Tre Madden,SEA,RB,8,DET,23,29,3000,0.3
108,Michael Burton,CHI,FB,8,NYJ,20,18,3000,0.29
109,Alex Armah,CAR,RB,8,BAL,1,1,3000,0.26
110,TJ Logan,ARI,RB,8,SF,28,23,3000,0.25
111,Matt Dayes,SF,RB,8,ARI,17,32,null,0.19
112,CJ Prosise,SEA,RB,8,DET,23,29,3000,0.15
113,Shaun Wilson,TB,RB,8,CIN,30,28,3000,0.12
114,Bo Scarbrough,JAX,RB,8,PHI,11,2,null,0
114,Jamaal Charles,JAX,RB,8,PHI,11,2,null,0
114,Leonard Fournette,JAX,RB,8,PHI,11,2,null,0
114,Jay Ajayi,PHI,RB,8,JAX,3,12,null,0
114,Corey Grant,JAX,RB,8,PHI,11,2,null,0
114,Taquan Mizzell,CHI,RB,8,NYJ,20,18,null,0
114,Alan Cross,TB,FB,8,CIN,30,28,2500,0
114,Nick Bawden,DET,FB,8,SEA,4,14,null,0
114,Darrel Williams,KC,RB,8,DEN,18,25,3000,0
114,Jonathan Stewart,NYG,RB,8,WAS,7,7,3300,0
114,Paul Perkins,NYG,RB,8,WAS,7,7,null,0
114,Byron Marshall,WAS,RB,8,NYG,19,20,3000,0
114,Rob Kelley,WAS,RB,8,NYG,19,20,3000,0
114,Mack Brown,WAS,RB,8,NYG,19,20,null,0
114,Trey Edmunds,PIT,RB,8,CLE,21,24,null,0
114,Le'Veon Bell,PIT,RB,8,CLE,21,24,8100,0
114,Dan Vitale,CLE,FB,8,PIT,26,5,null,0
114,Fozzy Whittaker,CAR,RB,8,BAL,1,1,null,0
114,Kenneth Dixon,BAL,RB,8,CAR,15,10,3000,0
114,Elijah Hood,CAR,RB,8,BAL,1,1,3000,0
114,Marshawn Lynch,OAK,RB,8,IND,16,17,5000,0
114,Christine Michael,IND,RB,8,OAK,27,26,null,0
114,Chris Warren III,OAK,RB,8,IND,16,17,null,0
114,Joe Kerridge,GB,FB,8,LAR,6,8,null,0
114,John Kelly,LAR,RB,8,GB,9,15,3900,0
114,Jerick McKinnon,SF,RB,8,ARI,17,32,null,0
114,DJ Foster,ARI,RB,8,SF,28,23,null,0
114,Daniel Lasco,NO,RB,8,MIN,13,9,null,0
114,Mike Gillislee,NO,RB,8,MIN,13,9,null,0
114,Rex Burkhead,NE,RB,8,BUF,10,22,null,0
114,Jeremy Hill,NE,RB,8,BUF,10,22,null,0
