Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,DeAndre Hopkins,HOU,WR,15,NYJ,11,10,90.9,170,2,45,15.5,17,0,0,0,0,0,0,42,42
2,Mike Williams,LAC,WR,15,KC,9,7,77.8,76,2,38,8.4,10.9,1,19,19,1,0,0,36.5,36.5
3,Alshon Jeffery,PHI,WR,15,LAR,8,8,100,160,0,50,20,20,0,0,0,0,0,0,27,27
4,Davante Adams,GB,WR,15,CHI,13,8,61.5,119,0,28,9.2,14.9,0,0,0,0,0,0,24.9,24.9
5,Kenny Golladay,DET,WR,15,BUF,8,7,87.5,146,0,40,18.2,20.9,0,0,0,0,0,0,24.6,24.6
6,Robert Foster,BUF,WR,15,DET,5,4,80,108,1,42,21.6,27,0,0,0,0,0,0,23.8,23.8
7,Doug Baldwin,SEA,WR,15,SF,6,4,66.7,77,2,35,12.8,19.2,0,0,0,0,0,0,23.7,23.7
8,Robby Anderson,NYJ,WR,15,HOU,11,7,63.6,96,1,26,8.7,13.7,0,0,0,0,0,0,22.6,22.6
9,Julio Jones,ATL,WR,15,ARI,8,6,75,82,1,22,10.2,13.7,0,0,0,0,0,0,20.2,20.2
10,Mike Evans,TB,WR,15,BAL,9,4,44.4,121,0,64,13.4,30.2,0,0,0,0,0,0,19.1,19.1
11,Robert Woods,LAR,WR,15,PHI,9,7,77.8,74,0,20,8.2,10.6,1,19,19,0,0,0,16.3,16.3
12,Julian Edelman,NE,WR,15,PIT,11,7,63.6,90,0,34,8.2,12.9,0,0,0,0,0,0,16,16
13,Stefon Diggs,MIN,WR,15,MIA,7,4,57.1,49,1,17,7,12.2,1,9,9,0,0,0,15.8,15.8
14,Larry Fitzgerald,ARI,WR,15,ATL,8,7,87.5,82,0,26,10.2,11.7,0,0,0,0,0,0,15.2,15.2
15,Antonio Brown,PIT,WR,15,NE,7,4,57.1,49,1,24,7,12.2,0,0,0,0,0,0,14.9,14.9
16,Chris Hogan,NE,WR,15,PIT,3,2,66.7,68,1,63,22.7,34,0,0,0,0,0,0,14.8,14.8
16,Jordy Nelson,OAK,WR,15,CIN,8,6,75,88,0,44,11,14.7,0,0,0,0,0,0,14.8,14.8
18,Antonio Callaway,CLE,WR,15,DEN,7,5,71.4,35,1,12,5,7,0,0,0,0,0,0,14.5,14.5
19,Tyler Boyd,CIN,WR,15,OAK,5,4,80,38,1,21,7.6,9.5,0,0,0,0,0,0,13.8,13.8
20,T.Y. Hilton,IND,WR,15,DAL,8,5,62.5,85,0,37,10.6,17,0,0,0,0,0,0,13.5,13.5
21,Dante Pettis,SF,WR,15,SEA,5,5,100,83,0,30,16.6,16.6,0,0,0,0,0,0,13.3,13.3
22,Tyrell Williams,LAC,WR,15,KC,12,6,50,71,0,26,5.9,11.8,0,0,0,0,1,0,13.1,13.1
22,Dede Westbrook,JAX,WR,15,WAS,5,3,60,21,0,8,4.2,7,1,20,20,0,0,0,13.1,13.1
24,Aldrick Robinson,MIN,WR,15,MIA,2,2,100,44,1,40,22,22,0,0,0,0,0,0,12.4,12.4
25,Josh Reynolds,LAR,WR,15,PHI,12,5,41.7,70,0,33,5.8,14,0,0,0,0,0,0,12,12
26,Justin Hardy,ATL,WR,15,ARI,3,3,100,29,1,18,9.7,9.7,0,0,0,0,0,0,11.9,11.9
26,Demaryius Thomas,HOU,WR,15,NYJ,8,6,75,59,0,27,7.4,9.8,0,0,0,0,0,0,11.9,11.9
26,Brandin Cooks,LAR,WR,15,PHI,7,6,85.7,59,0,20,8.4,9.8,0,0,0,0,0,0,11.9,11.9
26,Michael Thomas,NO,WR,15,CAR,9,7,77.8,49,0,12,5.4,7,0,0,0,0,0,0,11.9,11.9
30,Isaiah McKenzie,BUF,WR,15,DET,7,6,85.7,53,0,16,7.6,8.8,1,4,4,0,0,0,11.7,11.7
31,Daesean Hamilton,DEN,WR,15,CLE,12,7,58.3,46,0,14,3.8,6.6,0,0,0,0,0,0,11.6,11.6
32,Tim Patrick,DEN,WR,15,CLE,8,5,62.5,65,0,24,8.1,13,0,0,0,0,0,0,11.5,11.5
33,Willie Snead,BAL,WR,15,TB,6,5,83.3,58,0,28,9.7,11.6,0,0,0,0,0,0,10.8,10.8
