Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,15,PHI,12,48,4,2,13,10,76,0,0,0,34.4,34.4
2,Derrick Henry,TEN,RB,15,NYG,33,170,5.2,2,1,1,0,0,0,0,33.2,33.24
3,Dalvin Cook,MIN,RB,15,MIA,19,136,7.2,2,2,1,27,0,0,0,32.3,32.3
4,Damien Williams,KC,RB,15,LAC,10,49,4.9,2,6,6,74,0,0,0,30.3,30.3
5,Joe Mixon,CIN,RB,15,OAK,27,129,4.8,2,4,2,1,0,0,0,30,30
6,Marlon Mack,IND,RB,15,DAL,27,139,5.1,2,1,1,10,0,1,1,29.9,29.9
7,Chris Carson,SEA,RB,15,SF,22,119,5.4,1,6,6,29,0,0,0,29.8,29.8
8,Christian McCaffrey,CAR,RB,15,NO,15,53,3.5,0,11,8,67,0,0,0,26,26
9,Tevin Coleman,ATL,RB,15,ARI,11,145,13.2,1,1,0,0,0,0,0,23.5,23.5
10,Alvin Kamara,NO,RB,15,CAR,14,67,4.8,1,9,7,36,0,0,0,23.3,23.3
11,Jaylen Samuels,PIT,FB,15,NE,19,142,7.5,0,2,2,30,0,0,0,22.2,22.2
12,Kalen Ballage,MIA,RB,15,MIN,12,123,10.2,1,1,1,-2,0,0,0,22.1,22.1
13,Wendell Smallwood,PHI,RB,15,LAR,10,48,4.8,2,2,2,9,0,0,0,19.7,19.7
13,Jamaal Williams,GB,RB,15,CHI,12,55,4.6,1,5,4,42,0,0,0,19.7,19.7
15,Gus Edwards,BAL,RB,15,TB,19,104,5.5,1,0,0,0,0,0,0,19.4,19.4
16,David Johnson,ARI,RB,15,ATL,11,33,3,1,6,3,68,0,0,0,19.1,19.1
17,Ezekiel Elliott,DAL,RB,15,IND,18,87,4.8,0,8,7,41,0,1,1,18.8,18.8
18,Justin Jackson,LAC,RB,15,KC,16,58,3.6,1,4,3,27,0,0,0,17.5,17.5
19,Peyton Barber,TB,RB,15,BAL,19,85,4.5,1,2,2,4,0,0,0,16.9,16.9
20,Mike Davis,SEA,RB,15,SF,5,21,4.2,0,8,8,63,0,0,0,16.4,16.4
21,Tarik Cohen,CHI,RB,15,GB,5,21,4.2,0,6,5,31,1,1,1,15.2,15.2
22,Elijah McGuire,NYJ,RB,15,HOU,18,42,2.3,1,4,3,29,0,1,1,15.1,15.1
23,Matt Breida,SF,RB,15,SEA,17,50,2.9,0,5,5,46,0,0,0,14.6,14.6
24,Jordan Howard,CHI,RB,15,GB,19,60,3.2,1,1,1,15,0,0,0,14.5,14.5
25,Zach Zenner,DET,RB,15,BUF,10,45,4.5,1,4,3,0,0,0,0,13.5,13.5
26,Nick Chubb,CLE,RB,15,DEN,20,100,5,0,1,0,0,0,0,0,13,13
27,Latavius Murray,MIN,RB,15,MIA,15,68,4.5,1,0,0,0,0,0,0,12.8,12.8
28,Jalen Richard,OAK,RB,15,CIN,4,9,2.2,0,6,5,67,0,1,1,11.6,11.6
29,Darrel Williams,KC,RB,15,LAC,2,13,6.5,0,2,2,19,1,0,0,11.2,11.2
30,Nyheim Hines,IND,RB,15,DAL,6,19,3.2,0,6,4,45,0,0,0,10.4,10.4
31,Saquon Barkley,NYG,RB,15,TEN,14,31,2.2,0,10,4,25,0,0,0,9.6,9.6
32,Mark Ingram,NO,RB,15,CAR,12,63,5.2,0,2,2,11,0,0,0,9.4,9.4
32,Leonard Fournette,JAX,RB,15,WAS,11,46,4.2,0,4,3,18,0,0,0,9.4,9.4
34,Duke Johnson,CLE,RB,15,DEN,4,28,7,0,5,4,25,0,0,0,9.3,9.3
35,Adrian Peterson,WAS,RB,15,JAX,19,51,2.7,0,3,2,20,0,0,0,9.1,9.1
36,Josh Adams,PHI,RB,15,LAR,15,28,1.9,1,1,0,0,0,0,0,8.8,8.8
37,James White,NE,RB,15,PIT,2,12,6,0,7,5,25,0,0,0,8.7,8.7
38,Phillip Lindsay,DEN,RB,15,CLE,14,24,1.7,0,6,4,20,0,0,0,8.4,8.4
39,Theo Riddick,DET,RB,15,BUF,8,47,5.9,0,3,2,9,0,0,0,7.6,7.6
39,Darren Sproles,PHI,RB,15,LAR,3,30,10,0,4,3,16,0,0,0,7.6,7.6
41,Dion Lewis,TEN,RB,15,NYG,7,35,5,0,3,3,9,0,0,0,7.4,7.4
42,Detrez Newsome,LAC,RB,15,KC,6,34,5.7,0,2,2,19,0,0,0,7.3,7.3
42,Rex Burkhead,NE,RB,15,PIT,4,25,6.2,0,3,3,18,0,0,0,7.3,7.3
44,Trenton Cannon,NYJ,RB,15,HOU,7,13,1.9,0,4,3,24,0,0,0,6.7,6.7
45,Chase Edmonds,ARI,RB,15,ATL,8,22,2.8,0,2,2,22,0,0,0,6.4,6.4
45,Kenyan Drake,MIA,RB,15,MIN,1,6,6,0,3,3,28,0,0,0,6.4,6.4
47,Keith Ford,BUF,RB,15,DET,14,46,3.3,0,1,1,7,0,0,0,6.3,6.3
48,Kenneth Dixon,BAL,RB,15,TB,11,48,4.4,0,1,1,2,0,0,0,6,6
49,Sony Michel,NE,RB,15,PIT,13,59,4.5,0,0,0,0,0,0,0,5.9,5.9
49,Ito Smith,ATL,RB,15,ARI,9,34,3.8,0,3,2,5,0,0,0,5.9,5.9
51,TJ Logan,ARI,RB,15,ATL,1,-3,-3,0,4,4,18,0,0,0,5.5,5.5
