Team,Home,PointSpread,OverUnder
TEN,TRUE,-5,37
NYG,FALSE,-3.5,41
NO,FALSE,-8,55
NE,FALSE,-7.5,47
BUF,TRUE,-3.5,38.5
CAR,FALSE,-2,47
GB,TRUE,-5,50
HOU,TRUE,-4.5,49
KC,TRUE,-6.5,51
LAC,TRUE,-14,48
DEN,FALSE,-4,45.5
DET,FALSE,-3,40.5
PIT,FALSE,-11,51.5
DAL,TRUE,-3.5,44
LAR,FALSE,-3,52.5
SEA,TRUE,-3,45
JAX,FALSE,5,37
WAS,TRUE,3.5,41
TB,TRUE,8,55
MIA,TRUE,7.5,47
NYJ,FALSE,3.5,38.5
CLE,TRUE,2,47
ATL,FALSE,5,50
IND,FALSE,4.5,49
BAL,FALSE,6.5,51
CIN,FALSE,14,48
SF,TRUE,4,45.5
ARI,TRUE,3,40.5
OAK,TRUE,11,51.5
PHI,FALSE,3.5,44
CHI,TRUE,3,52.5
MIN,FALSE,3,45
