Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Mitch Trubisky,CHI,QB,10,DET,23,30,76.7,355,11.8,3,0,148.61,3,18,6,1,39,39
2,Ben Roethlisberger,PIT,QB,10,CAR,22,25,88,328,13.1,5,0,158.33,3,27,9,0,38.8,38.82
3,Drew Brees,NO,QB,10,CIN,22,25,88,265,10.6,3,0,150.42,2,3,1.5,1,28.9,28.9
4,Russell Wilson,SEA,QB,10,LAR,17,26,65.4,176,6.8,3,0,123.24,9,92,10.2,0,27.2,27.24
5,Carson Wentz,PHI,QB,10,DAL,32,44,72.7,360,8.2,2,1,102.46,2,7,3.5,0,25.1,25.1
6,Blake Bortles,JAX,QB,10,IND,26,38,68.4,320,8.4,2,0,111.73,2,8,4,0,24.6,24.6
7,Matt Ryan,ATL,QB,10,CLE,38,52,73.1,330,6.3,2,0,102.24,3,13,4.3,0,24.5,24.5
8,Jared Goff,LAR,QB,10,SEA,28,39,71.8,318,8.2,2,0,112.98,3,3,1,0,24,24.02
9,Baker Mayfield,CLE,QB,10,ATL,17,20,85,216,10.8,3,0,151.25,6,20,3.3,0,22.6,22.64
10,Marcus Mariota,TEN,QB,10,NE,16,24,66.7,228,9.5,2,0,125,2,21,10.5,0,22.3,22.32
11,Andrew Luck,IND,QB,10,JAX,21,29,72.4,285,9.8,3,1,123.49,5,-2,-0.4,0,22.2,22.2
12,Dak Prescott,DAL,QB,10,PHI,26,36,72.2,270,7.5,1,0,102.78,6,9,1.5,1,21.7,21.7
13,Patrick Mahomes,KC,QB,10,ARI,21,28,75,249,8.9,2,0,125.45,4,21,5.2,0,20.1,20.06
14,Ryan Fitzpatrick,TB,QB,10,WAS,29,41,70.7,406,9.9,0,2,81.96,8,35,4.4,0,19.7,19.74
15,Eli Manning,NYG,QB,10,SF,19,31,61.3,188,6.1,3,0,110.69,0,0,0,0,19.5,19.52
16,Aaron Rodgers,GB,QB,10,MIA,19,28,67.9,199,7.1,2,0,112.05,6,21,3.5,0,18.1,18.06
17,Matthew Stafford,DET,QB,10,CHI,25,42,59.5,274,6.5,2,2,74.9,2,9,4.5,0,17.9,17.86
18,Matt Barkley,BUF,QB,10,NYJ,15,25,60,232,9.3,2,0,117.42,3,-2,-0.7,0,17.1,17.08
19,Philip Rivers,LAC,QB,10,OAK,18,26,69.2,223,8.6,2,1,105.13,1,1,1,0,16,16.02
20,Cam Newton,CAR,QB,10,PIT,23,29,79.3,193,6.7,2,1,103.02,2,10,5,0,15.7,15.72
21,Alex Smith,WAS,QB,10,TB,19,27,70.4,178,6.6,1,0,100.54,2,16,8,0,12.7,12.72
22,Nick Mullens,SF,QB,10,NYG,27,39,69.2,250,6.4,1,2,73.66,2,1,0.5,0,12.1,12.1
23,Tom Brady,NE,QB,10,TEN,21,41,51.2,254,6.2,0,0,70.58,1,0,0,0,11.8,11.76
24,Jeff Driskel,CIN,QB,10,NO,2,3,66.7,45,15,0,0,109.72,2,35,17.5,1,11.3,11.3
25,Josh Rosen,ARI,QB,10,KC,22,39,56.4,208,5.3,1,2,58.49,1,-1,-1,0,10.2,10.22
26,Derek Carr,OAK,QB,10,LAC,24,37,64.9,243,6.6,0,0,83.5,2,2,1,0,8.9,8.92
26,Andy Dalton,CIN,QB,10,NO,12,20,60,153,7.6,1,2,61.04,1,8,8,0,8.9,8.92
28,Brock Osweiler,MIA,QB,10,GB,23,37,62.2,213,5.8,0,1,66.61,1,0,0,0,6.5,6.52
29,Josh McCown,NYJ,QB,10,BUF,17,34,50,135,4,0,2,35.78,1,4,4,0,3.8,3.8
30,Taysom Hill,NO,QB,10,CIN,0,1,0,0,0,0,0,39.58,4,24,6,0,2.4,2.4
31,Brian Hoyer,NE,QB,10,TEN,1,1,100,7,7,0,0,95.83,1,2,2,0,0.5,0.48
32,Taylor Heinicke,CAR,QB,10,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Joshua Dobbs,PIT,QB,10,CAR,1,2,50,-3,-1.5,0,0,56.25,0,0,0,0,-0.1,-0.12
34,Teddy Bridgewater,NO,QB,10,CIN,0,1,0,0,0,0,0,39.58,3,-3,-1,0,-0.3,-0.3
