Team,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TurnoverDifferential,RushingYards,TeamRushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,PasserRating,RushingAttempts,RushingTouchdowns,FirstDownsByRushing
SF,14.9,969,4860,5,261,65,213,30.5,17,39,43.6,113,823,-5,1544,4,87,22.3,53,9.2,102,17.6,322,526,61.2,3316,6.3,10.3,16,12,154,80,390,7,83
CHI,20.9,1025,5514,5.4,312,93,219,42.5,24,50,48,99,909,-4,1854,4,55,11.8,34,6.1,81,14.5,334,523,63.9,3660,7,11,21,12,177,88,468,13,108
CIN,26.2,1004,5728,5.7,324,81,201,40.3,38,58,65.5,111,917,11,1805,3.9,60,12.8,32,6,59,11,334,505,66.1,3923,7.8,11.7,31,9,191,103,467,18,99
BUF,23.7,1016,5775,5.7,297,86,227,37.9,19,38,50,143,1249,6,2432,4.8,76,14.9,42,8.3,74,14.6,295,465,63.4,3343,7.2,11.3,23,9,155,93,509,19,122
DEN,22.2,1056,5688,5.4,314,79,224,35.3,21,44,47.7,115,1063,-4,1718,4.2,72,17.5,39,6,98,15.2,368,606,60.7,3970,6.6,10.8,19,23,201,75,411,13,85
CLE,17.4,1042,5311,5.1,307,95,227,41.9,18,47,38.3,120,1083,-9,1529,4,85,22.4,53,8,126,19,371,609,60.9,3782,6.2,10.2,20,12,192,81,380,5,81
TB,21.4,1017,6014,5.9,336,84,202,41.6,27,51,52.9,143,1195,-5,2162,4.8,66,14.5,27,4.8,108,19.2,312,535,58.3,3852,7.2,12.3,22,15,201,83,455,12,99
ARI,30.6,1041,6533,6.3,373,93,198,47,38,63,60.3,94,758,9,1917,4.2,65,14.4,27,4.6,103,17.5,353,562,62.8,4616,8.2,13.1,35,13,237,100,452,16,92
LAC,20,1100,5949,5.4,344,97,231,42,28,44,63.6,117,942,-4,1358,3.5,80,20.4,40,5.7,110,15.6,442,667,66.3,4591,6.9,10.4,30,13,230,93,393,4,79
KC,25.3,955,5299,5.5,303,76,199,38.2,31,54,57.4,104,878,14,2044,4.7,78,17.9,46,8.9,82,15.8,310,473,65.5,3255,6.9,10.5,20,7,155,93,436,19,116
IND,20.8,1052,5142,4.9,311,94,235,40,26,49,53.1,108,931,-5,1438,3.6,55,13.9,37,5.6,118,18,355,619,57.4,3704,6,10.4,26,19,195,76,396,6,77
DAL,17.2,969,5361,5.5,307,66,191,34.6,20,45,44.4,112,879,-22,1890,4.6,64,15.7,33,5.9,60,10.7,334,528,63.3,3471,6.6,10.4,16,22,175,75,408,8,94
MIA,19.4,977,5307,5.4,291,63,205,30.7,23,43,53.5,134,1090,-3,1496,4.3,67,19.5,45,7.1,107,16.9,365,588,62.1,3811,6.5,10.4,24,12,194,86,344,11,72
PHI,23.6,1102,5830,5.3,339,91,230,39.6,24,43,55.8,104,819,-5,1743,3.9,71,16.1,37,5.6,89,13.5,405,623,65,4087,6.6,10.1,23,18,193,84,442,15,110
ATL,21.2,1073,5985,5.6,359,107,227,47.1,29,53,54.7,100,969,-7,1606,3.8,69,16.4,32,4.9,90,13.8,410,621,66,4379,7.1,10.7,21,17,230,86,420,15,95
NYG,26.2,1053,5952,5.7,331,82,217,37.8,24,54,44.4,102,779,7,1609,4,64,15.9,27,4.2,69,10.6,392,623,62.9,4343,7,11.1,36,14,208,93,403,5,77
JAX,23.5,1012,5581,5.5,313,72,205,35.1,29,54,53.7,105,880,-10,1473,4.2,61,17.2,51,7.8,93,14.1,355,607,58.5,4108,6.8,11.6,35,18,215,86,354,5,69
NYJ,24.2,1074,5925,5.5,329,93,229,40.6,35,53,66,96,787,6,1868,4.2,67,15,22,3.5,71,11.3,362,604,59.9,4057,6.7,11.2,33,16,210,87,448,11,99
DET,22.4,1030,5547,5.4,337,75,203,36.9,34,49,69.4,104,930,-6,1335,3.8,77,21.8,44,6.5,106,15.7,420,632,66.5,4212,6.7,10,33,14,236,93,354,7,71
GB,23,1056,5353,5.1,317,70,208,33.7,28,52,53.8,105,906,5,1850,4.2,83,19,47,7.6,101,16.3,348,573,60.7,3503,6.1,10.1,31,8,173,90,436,9,100
CAR,31.2,1060,5871,5.5,357,86,203,42.4,43,63,68.3,103,887,20,2282,4.3,65,12.4,33,6.2,59,11,300,501,59.9,3589,7.2,12,35,10,197,97,526,21,136
NE,29.1,1050,5991,5.7,347,88,215,40.9,40,61,65.6,96,859,7,1404,3.7,52,13.6,38,5.7,95,14.2,404,629,64.2,4587,7.3,11.4,36,7,229,100,383,14,87
OAK,22.4,1008,5336,5.3,300,86,220,39.1,25,41,61,139,1102,1,1457,3.9,60,16.2,33,5.2,64,10,373,605,61.7,3879,6.4,10.4,34,14,193,89,370,7,74
LAR,17.5,920,4761,5.2,241,52,201,25.9,19,36,52.8,122,1007,5,1956,4.6,68,15.9,18,3.7,96,19.6,273,473,57.7,2805,5.9,10.3,11,11,126,73,429,16,92
BAL,20.5,1083,5749,5.3,323,85,226,37.6,23,47,48.9,122,1153,-14,1478,3.9,63,16.4,24,3.4,82,11.7,426,676,63,4271,6.3,10,21,21,211,78,383,8,89
WAS,24.2,1011,5661,5.6,317,94,216,43.5,30,49,61.2,105,827,5,1566,3.7,67,15.6,27,4.6,79,13.6,386,555,69.5,4095,7.4,10.6,30,11,208,101,429,9,81
NO,25.5,1096,6461,5.9,381,104,218,47.7,35,58,60.3,130,1112,2,1491,3.8,65,16.4,32,4.6,78,11.2,460,667,69,4970,7.5,10.8,32,12,247,99,397,16,98
SEA,26.4,1035,6058,5.9,335,99,213,46.5,27,49,55.1,117,1007,7,2268,4.5,69,13.8,46,8.6,117,21.9,333,489,68.1,3790,7.8,11.4,34,8,190,107,500,10,128
PIT,26.4,1011,6327,6.3,331,75,193,38.9,34,56,60.7,94,868,2,1724,4.4,68,17.5,33,5.3,59,9.5,391,590,66.3,4603,7.8,11.8,26,21,207,90,388,16,91
HOU,21.2,1127,5564,4.9,335,96,249,38.6,26,45,57.8,107,910,5,1731,3.7,57,12.1,36,5.5,80,12.2,358,619,57.8,3833,6.2,10.7,29,12,210,84,472,7,90
TEN,18.7,976,4988,5.1,298,64,201,31.8,26,40,65,93,779,-14,1485,4,75,20.2,54,8.9,103,17,342,551,62.1,3503,6.4,10.2,25,17,195,83,371,10,66
MIN,22.8,973,5139,5.3,297,76,199,38.2,22,44,50,88,797,5,2211,4.7,100,21.1,45,9,92,18.4,294,454,64.8,2928,6.4,10,14,9,153,85,474,18,113
