Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Brandon Tate,CIN,WR,4,KC,1,1.9,0,100,100,100,12.5,1250
2,Marcus Easley,BUF,WR,7,JAX,2,2.6,0,50,50,50,12.8,640
3,Griff Whalen,IND,WR,6,NE,4,5,0,75,50,75,11,275
4,Bruce Ellington,SF,WR,5,NYG,2,2.9,0,100,100,100,5.9,295
5,Louis Murphy,TB,WR,7,WAS,2,3.2,0,50,50,50,3.9,195
6,Brandon Coleman,NO,WR,10,WAS,1,1.8,0,100,100,100,2.4,240
6,Adam Thielen,MIN,WR,10,OAK,1,1.6,100,0,100,100,1.4,140
8,Julio Jones,ATL,WR,14,CAR,8,12.5,0,125,87.5,125,15.8,197.5
9,Travis Benjamin,CLE,WR,2,TEN,23,46.9,0,17.4,13,17.4,35.5,154.3
10,Ted Ginn,CAR,WR,14,ATL,25,38.5,4,12,12,16,29.5,118
11,Jarvis Landry,MIA,WR,7,HOU,22,34.9,4.5,22.7,27.3,27.3,25.8,117.3
12,Brandon Coleman,NO,WR,9,TEN,7,9.2,0,42.9,28.6,42.9,7.8,111.4
13,JJ Nelson,ARI,WR,13,LAR,12,14.3,0,25,16.7,25,11.4,95
14,Devin Street,DAL,WR,7,NYG,11,15.1,0,9.1,9.1,9.1,9.5,86.4
15,Martavis Bryant,PIT,WR,6,ARI,35,61.4,2.9,22.9,20,25.7,35.5,101.4
16,Marlon Moore,CLE,WR,3,OAK,2,2.7,0,50,50,50,2.5,125
17,Seth Roberts,OAK,WR,12,TEN,32,45.1,0,21.9,18.8,21.9,32.3,100.9
17,Devin Funchess,CAR,WR,9,GB,18,26.9,0,22.2,16.7,22.2,16.1,89.4
19,Deonte Thompson,CHI,WR,14,WAS,5,8.5,0,20,20,20,4.6,92
