,Name,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
0,Trey Burton,5.0,2.5,58.35,17.5,0.5,3.75,10.0,0.5,1.0,1.0,0.0,7.35,9.5,1.0,1.0,100.0,9.0,0.5,9.0,9.0,0.5,1.0,1.0,0.0,5.0,59.0,86.75,0.9,8.4,5.2,9.3,13.35,False,-5.5,38.5,22.0,29.9,62.35650557620818,363.57955390334575,5.8,21.341263940520445,12.44907063197026,42.9,3.5568773234200743,65.6,32.234200743494426,65.5,243.42379182156134,7.6,11.5,2.111895910780669,100,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
1,Jeff Heuerman,4.0,2.3333333333333335,63.96666666666667,21.666666666666668,0.0,6.216666666666666,9.066666666666666,0.0,0.0,0.0,0.0,4.5,0.0,1.3333333333333333,0.3333333333333333,13.883333333333333,1.5,0.0,0.6166666666666667,1.5,0.0,0.0,0.0,0.0,0.48333333333333334,51.0,74.75000000000001,0.0,8.016666666666666,4.666666666666667,8.016666666666666,10.049999999999999,False,-1.0,42.0,21.5,22.8,64.06243902439024,377.4790243902439,5.9,21.020487804878048,12.901463414634147,35.3,2.8917073170731706,53.8,36.813658536585365,63.7,250.68878048780488,6.8,10.7,1.3346341463414635,83,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
2,Kyle Rudolph,5.4,4.6,80.82000000000001,45.8,0.4,8.040000000000001,10.1,0.0,0.0,0.0,0.0,11.580000000000002,7.7,0.6,0.6,60.0,4.6,0.4,4.6,4.6,0.0,0.0,0.0,0.0,3.46,60.0,86.92,0.0,8.959999999999999,7.640000000000001,8.959999999999999,10.52,True,-9.5,43.5,26.5,24.6,65.00633484162897,375.01085972850683,5.8,20.81538461538462,13.246153846153847,38.7,3.005429864253394,55.6,40.40633484162896,71.3,283.17828054298644,7.0,9.8,1.8923076923076925,101,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
3,David Morgan,1.25,1.25,100.0,9.0,0.0,6.625,6.625,0.0,0.0,0.0,0.0,2.15,0.0,0.25,0.25,25.0,2.25,0.0,2.25,2.25,0.0,0.0,0.0,0.0,0.475,23.75,33.95,0.0,5.425,5.425,5.425,10.52,True,-9.5,43.5,26.5,24.6,65.00633484162897,375.01085972850683,5.8,20.81538461538462,13.246153846153847,38.7,3.005429864253394,55.6,40.40633484162896,71.3,283.17828054298644,7.0,9.8,1.8923076923076925,101,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
4,Nick Vannett,4.0,2.6666666666666665,63.333333333333336,20.333333333333332,0.0,5.166666666666667,8.5,0.0,0.0,0.0,0.0,4.7,1.6,0.3333333333333333,0.3333333333333333,33.333333333333336,2.6666666666666665,0.0,2.6666666666666665,2.6666666666666665,0.0,0.0,0.0,0.0,0.6,32.0,50.5,0.0,13.066666666666668,8.6,13.066666666666668,12.066666666666668,False,-3.5,40.0,21.75,24.3,62.58082191780822,347.6342465753425,5.6,19.972602739726028,12.427397260273974,37.5,2.8849315068493153,73.1,27.406849315068495,66.0,195.6205479452055,7.1,10.8,2.33013698630137,107,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
5,Will Dissly,4.333333333333333,2.3333333333333335,51.1,50.333333333333336,0.6666666666666666,10.233333333333333,17.666666666666668,0.0,0.0,0.0,0.0,12.366666666666667,1.5,0.6666666666666666,0.6666666666666666,66.66666666666667,5.666666666666667,0.6666666666666666,5.666666666666667,5.666666666666667,0.0,0.0,0.0,0.0,5.233333333333333,39.666666666666664,61.86666666666667,0.0,11.166666666666666,6.033333333333334,11.166666666666666,12.066666666666668,False,-3.5,40.0,21.75,24.3,62.58082191780822,347.6342465753425,5.6,19.972602739726028,12.427397260273974,37.5,2.8849315068493153,73.1,27.406849315068495,66.0,195.6205479452055,7.1,10.8,2.33013698630137,107,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
6,George Kittle,7.0,4.5,63.0,79.0,0.25,10.6,16.4,0.0,0.0,0.0,0.0,15.15,13.3,1.25,0.75,50.0,5.25,0.0,3.25,5.25,0.0,0.0,0.0,0.0,1.775,51.25,79.525,0.0,13.65,8.775,13.65,9.825,True,-3.0,40.5,21.75,23.0,63.3,356.5,5.6,21.6,12.1,39.7,3.2,46.9,31.9,62.1,222.9,7.0,11.3,1.7,85,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
7,Garrett Celek,1.0,0.75,50.0,7.25,0.25,4.5,4.5,0.0,0.0,0.0,0.0,2.9749999999999996,0.0,0.5,0.25,25.0,2.75,0.25,2.75,2.75,0.0,0.0,0.0,0.0,2.025,22.25,34.475,0.0,4.475,3.0,4.475,9.825,True,-3.0,40.5,21.75,23.0,63.3,356.5,5.6,21.6,12.1,39.7,3.2,46.9,31.9,62.1,222.9,7.0,11.3,1.7,85,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
8,George Kittle,7.0,4.571428571428571,64.65714285714286,75.28571428571429,0.2857142857142857,10.214285714285714,15.614285714285716,0.0,0.0,0.0,0.0,14.528571428571427,10.7,1.1428571428571428,0.5714285714285714,35.714285714285715,4.428571428571429,0.14285714285714285,2.5714285714285716,4.428571428571429,0.0,0.0,0.0,0.0,2.157142857142857,56.714285714285715,84.22857142857143,0.0,12.757142857142856,8.271428571428572,12.757142857142856,8.928571428571429,False,1.0,43.0,21.0,23.0,63.3,356.5,5.6,21.6,12.1,39.7,3.2,46.9,31.9,62.1,222.9,7.0,11.3,1.7,85,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
9,Garrett Celek,0.7142857142857143,0.42857142857142855,28.571428571428573,4.142857142857143,0.14285714285714285,2.5714285714285716,2.5714285714285716,0.0,0.0,0.0,0.0,1.6999999999999997,0.0,0.2857142857142857,0.14285714285714285,14.285714285714286,1.5714285714285714,0.14285714285714285,1.5714285714285714,1.5714285714285714,0.0,0.0,0.0,0.0,1.157142857142857,21.714285714285715,32.67142857142857,0.0,3.2714285714285714,1.7142857142857142,3.2714285714285714,8.928571428571429,False,1.0,43.0,21.0,23.0,63.3,356.5,5.6,21.6,12.1,39.7,3.2,46.9,31.9,62.1,222.9,7.0,11.3,1.7,85,25.0,67.66666666666667,363.55555555555554,5.4,22.0,13.444444444444445,39.7,3.2222222222222223,58.6,9.1,18.2,289,67.8,223.22222222222223,7.0,10.2,1.2222222222222223,92
