,Name,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
688,Rashard Higgins,11.0,7.0,63.6,95.0,0.0,8.6,13.6,1.0,4.0,4.0,0.0,16.9,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,76.1,1.9,20.4,14.8,22.2,46.45,False,-1.0,42.0,21.5,14.6,63.0,308.875,4.9,18.125,13.5,33.8,2.4375,48.7,35.875,54.35540069686411,201.75,5.6,10.3,0.9375,59,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
689,Cody Latimer,2.7,1.6,50.17,22.7,0.1,7.160000000000001,11.379999999999999,0.0,0.0,0.0,0.0,4.470000000000001,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.2,48.29,0.0,8.15,4.930000000000001,8.15,36.48461538461539,False,-2.5,40.5,21.5,18.1,67.1875,324.0625,4.8,18.5625,15.0625,39.0,3.0,39.6,35.375,58.657243816254415,208.1875,5.9,10.0,1.1875,70,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
690,Emmanuel Sanders,7.545454545454546,3.6363636363636362,47.027272727272724,44.27272727272727,0.18181818181818182,5.454545454545454,12.5,0.0,0.0,0.0,0.0,9.427272727272726,13.8,0.9090909090909091,0.45454545454545453,18.181818181818183,1.8181818181818181,0.18181818181818182,0.5909090909090909,0.5909090909090909,0.0,0.0,0.0,0.0,1.7272727272727273,54.18181818181818,77.19090909090909,0.0,14.0,6.590909090909091,14.0,36.48461538461539,False,-2.5,40.5,21.5,18.1,67.1875,324.0625,4.8,18.5625,15.0625,39.0,3.0,39.6,35.375,58.657243816254415,208.1875,5.9,10.0,1.1875,70,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
691,Demaryius Thomas,9.076923076923077,5.230769230769231,55.26923076923077,59.30769230769231,0.3076923076923077,6.13846153846154,10.96923076923077,0.0,0.0,0.0,0.0,13.161538461538461,11.9,1.0769230769230769,0.6923076923076923,39.74615384615385,5.538461538461538,0.3076923076923077,3.1153846153846154,3.523076923076923,0.0,0.0,0.0,0.0,3.092307692307692,56.53846153846154,81.07692307692307,0.0,16.37692307692308,9.423076923076923,16.37692307692308,36.48461538461539,False,-2.5,40.5,21.5,18.1,67.1875,324.0625,4.8,18.5625,15.0625,39.0,3.0,39.6,35.375,58.657243816254415,208.1875,5.9,10.0,1.1875,70,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
692,Bennie Fowler,3.6153846153846154,1.9230769230769231,48.93846153846154,22.615384615384617,0.23076923076923078,6.361538461538462,10.13846153846154,0.0,0.0,0.0,0.0,5.569230769230769,0.0,0.6923076923076923,0.3076923076923077,14.100000000000001,1.6153846153846154,0.15384615384615385,0.7538461538461539,1.1923076923076923,0.0,0.0,0.0,0.0,1.3923076923076922,32.46153846153846,46.42307692307692,0.0,11.069230769230769,5.6000000000000005,11.069230769230769,36.48461538461539,False,-2.5,40.5,21.5,18.1,67.1875,324.0625,4.8,18.5625,15.0625,39.0,3.0,39.6,35.375,58.657243816254415,208.1875,5.9,10.0,1.1875,70,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
693,Jordan Taylor,1.4285714285714286,0.8571428571428571,36.9,7.857142857142857,0.0,3.814285714285714,5.385714285714286,0.0,0.0,0.0,0.0,1.6428571428571428,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.714285714285715,27.971428571428568,0.0,10.528571428571428,9.128571428571428,10.528571428571428,36.48461538461539,False,-2.5,40.5,21.5,18.1,67.1875,324.0625,4.8,18.5625,15.0625,39.0,3.0,39.6,35.375,58.657243816254415,208.1875,5.9,10.0,1.1875,70,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
694,DeAndre Hopkins,10.857142857142858,6.428571428571429,60.62857142857143,86.57142857142857,1.0,8.128571428571428,12.914285714285715,0.0,0.0,0.0,0.0,21.942857142857147,20.6,1.1428571428571428,0.8571428571428571,45.24285714285714,4.142857142857143,0.7142857142857143,2.0285714285714285,2.857142857142857,0.0,0.0,0.0,0.0,5.557142857142857,70.28571428571429,98.34285714285714,0.0,15.328571428571427,8.985714285714286,15.328571428571427,40.2625,True,-6.0,45.0,25.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
695,Will Fuller,5.5,3.25,58.974999999999994,69.75,1.75,13.2,23.325,0.5,2.25,2.25,0.0,21.7,5.2,1.0,1.0,75.0,13.75,1.0,10.5,10.5,0.25,1.25,1.25,0.0,8.5,60.75,85.625,0.8,9.024999999999999,6.05,9.8,40.2625,True,-6.0,45.0,25.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
696,Bruce Ellington,3.8333333333333335,2.0,48.416666666666664,28.0,0.16666666666666666,6.6499999999999995,11.416666666666666,0.3333333333333333,2.0,2.0,0.0,6.0,5.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.333333333333336,78.10000000000001,0.48333333333333334,6.616666666666666,3.833333333333334,7.1000000000000005,40.2625,True,-6.0,45.0,25.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
697,Chris Thompson,0.25,0.25,25.0,4.75,0.0,4.75,4.75,0.0,0.0,0.0,0.0,0.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,4.5,0.0,8.325,8.325,8.325,40.2625,True,-6.0,45.0,25.5,21.1,64.1875,320.0,5.0,19.5625,13.0625,36.4,2.625,52.4,32.8125,56.952380952380956,204.875,6.2,11.0,1.75,80,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
698,Allen Hurns,5.0,3.5,77.89999999999999,40.666666666666664,0.3333333333333333,8.733333333333333,11.283333333333333,0.0,0.0,0.0,0.0,9.566666666666668,18.1,1.3333333333333333,1.0,55.550000000000004,6.333333333333333,0.3333333333333333,3.8666666666666667,4.083333333333333,0.0,0.0,0.0,0.0,3.633333333333333,51.5,76.39999999999999,0.0,9.383333333333335,6.683333333333334,9.383333333333335,42.06666666666666,False,-3.0,41.0,22.0,26.1,67.375,365.9375,5.4,20.75,14.1875,37.4,3.125,64.0,32.9375,59.96204933586338,224.5625,6.8,11.4,1.3125,83,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
699,Marqise Lee,6.666666666666667,3.3333333333333335,47.01666666666667,48.5,0.0,7.016666666666667,12.866666666666667,0.16666666666666666,2.8333333333333335,2.8333333333333335,0.0,8.466666666666667,11.2,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,75.38333333333334,0.3,12.966666666666667,6.766666666666667,13.266666666666666,42.06666666666666,False,-3.0,41.0,22.0,26.1,67.375,365.9375,5.4,20.75,14.1875,37.4,3.125,64.0,32.9375,59.96204933586338,224.5625,6.8,11.4,1.3125,83,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
700,Keelan Cole,3.0,1.0,43.06666666666666,7.833333333333333,0.0,2.783333333333333,6.75,0.0,0.0,0.0,0.0,1.7833333333333332,8.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.666666666666664,52.416666666666664,0.0,8.283333333333333,2.5833333333333335,8.283333333333333,42.06666666666666,False,-3.0,41.0,22.0,26.1,67.375,365.9375,5.4,20.75,14.1875,37.4,3.125,64.0,32.9375,59.96204933586338,224.5625,6.8,11.4,1.3125,83,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
701,Arrelious Benn,0.16666666666666666,0.16666666666666666,16.666666666666668,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.3666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.166666666666666,16.349999999999998,0.0,2.3833333333333333,2.3833333333333333,2.3833333333333333,42.06666666666666,False,-3.0,41.0,22.0,26.1,67.375,365.9375,5.4,20.75,14.1875,37.4,3.125,64.0,32.9375,59.96204933586338,224.5625,6.8,11.4,1.3125,83,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
702,Marqise Lee,7.2727272727272725,4.0,52.32727272727273,50.09090909090909,0.18181818181818182,6.9818181818181815,12.345454545454546,0.09090909090909091,1.5454545454545454,1.5454545454545454,0.0,10.436363636363636,21.6,0.6363636363636364,0.36363636363636365,24.245454545454546,2.090909090909091,0.18181818181818182,1.6090909090909091,1.7272727272727273,0.0,0.0,0.0,0.0,1.8454545454545452,55.54545454545455,78.16363636363636,0.16363636363636364,12.909090909090908,7.4,13.263636363636367,37.07272727272727,True,-10.0,41.0,25.5,26.1,67.375,365.9375,5.4,20.75,14.1875,37.4,3.125,64.0,32.9375,59.96204933586338,224.5625,6.8,11.4,1.3125,83,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
703,Keelan Cole,4.2727272727272725,1.7272727272727273,45.56363636363636,24.818181818181817,0.0,5.754545454545454,11.954545454545455,0.0,0.0,0.0,0.0,4.209090909090909,13.9,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.27272727272727,60.58181818181818,0.0,9.472727272727274,3.7181818181818183,9.472727272727274,37.07272727272727,True,-10.0,41.0,25.5,26.1,67.375,365.9375,5.4,20.75,14.1875,37.4,3.125,64.0,32.9375,59.96204933586338,224.5625,6.8,11.4,1.3125,83,25.2,64.125,367.0625,5.7,20.25,13.5625,44.7,3.1875,52.9,4.8,13.9,32.0625,62.4,246.5,7.7,12.3,1.4375,90
