,Name,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,Score,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,DPointsAllowed,Home,PointSpread,OverUnder,total,PointsPerGame,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating,OpponentPointsPerGame,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentTimesSackedPercentage,QuarterbackHitsPercentage,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPasserRating
0,Taylor Gabriel,2.875,2.125,67.0875,37.875,0.25,11.0125,19.674999999999997,0.25,3.0,1.5,0.125,8.4625,26.2,0.125,0.125,12.5,0.375,0.0,0.375,0.375,0.125,1.125,1.125,0.125,1.025,23.5,37.49999999999999,0.7625,12.85,10.825,13.6,34.190000000000005,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,33.5625,69.6,295.3125,8.8,12.6,2.375,115,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
1,Mohamed Sanu,5.9,3.9,67.56,43.0,0.3,7.079999999999998,10.639999999999999,0.0,0.0,0.0,0.0,10.1,15.0,0.9,0.7,60.0,5.6,0.3,5.15,5.15,0.0,0.0,0.0,0.0,3.2600000000000002,48.3,75.32,0.0,12.18,8.06,12.18,34.190000000000005,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,33.5625,69.6,295.3125,8.8,12.6,2.375,115,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
2,Justin Hardy,1.3,1.0,48.33,8.3,0.2,4.17,4.7,0.0,0.0,0.0,0.0,3.0300000000000002,7.7,0.2,0.2,20.0,0.4,0.1,0.4,0.4,0.0,0.0,0.0,0.0,0.8400000000000001,15.9,24.31,0.0,7.010000000000001,5.2,7.010000000000001,34.190000000000005,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,33.5625,69.6,295.3125,8.8,12.6,2.375,115,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
3,Julio Jones,9.7,6.1,61.05999999999999,110.5,0.5,10.78,16.95,0.0,0.0,0.0,0.0,21.95,7.5,0.6,0.2,6.67,1.4,0.1,0.47000000000000003,0.7,0.0,0.0,0.0,0.0,0.9400000000000001,51.4,79.82,0.0,19.35,12.139999999999999,19.35,34.190000000000005,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,33.5625,69.6,295.3125,8.8,12.6,2.375,115,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
4,Eric Weems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,1.19,0.0,0.0,0.0,0.0,34.190000000000005,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,33.5625,69.6,295.3125,8.8,12.6,2.375,115,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
5,Aldrick Robinson,1.5,0.8,34.17,10.1,0.1,3.38,5.1,0.0,0.0,0.0,0.0,2.41,0.0,0.1,0.1,10.0,0.4,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.13999999999999999,13.1,20.42,0.0,13.889999999999997,6.8,13.889999999999997,34.190000000000005,True,-4.0,49.0,26.5,33.8,62.1875,415.8125,6.7,23.6875,11.125,42.1,3.9375,61.9,33.5625,69.6,295.3125,8.8,12.6,2.375,115,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
6,Ted Ginn,4.333333333333333,2.3333333333333335,65.89999999999999,31.833333333333332,0.0,6.883333333333333,12.333333333333334,1.0,6.0,5.083333333333333,0.0,5.783333333333332,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.833333333333336,58.333333333333336,2.266666666666666,10.000000000000002,7.8166666666666655,12.233333333333333,33.957142857142856,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,35.1875,54.4,230.3125,6.5,12.0,1.3125,73,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
7,Kelvin Benjamin,8.666666666666666,4.833333333333333,47.23333333333334,65.66666666666667,0.6666666666666666,6.516666666666667,11.4,0.0,0.0,0.0,0.0,15.9,9.3,1.1666666666666667,0.8333333333333334,58.333333333333336,9.166666666666666,0.6666666666666666,6.25,7.583333333333333,0.0,0.0,0.0,0.0,5.75,54.833333333333336,75.53333333333333,0.0,16.166666666666668,9.066666666666668,16.166666666666668,33.957142857142856,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,35.1875,54.4,230.3125,6.5,12.0,1.3125,73,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
8,Devin Funchess,3.1666666666666665,1.1666666666666667,29.166666666666668,18.666666666666668,0.3333333333333333,5.066666666666666,10.083333333333334,0.0,0.0,0.0,0.0,5.366666666666667,6.8,0.6666666666666666,0.3333333333333333,25.0,5.5,0.3333333333333333,4.083333333333333,5.5,0.0,0.0,0.0,0.0,3.2166666666666663,38.0,50.783333333333324,0.0,7.8,3.0,7.8,33.957142857142856,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,35.1875,54.4,230.3125,6.5,12.0,1.3125,73,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
9,Corey Brown,4.666666666666667,2.8333333333333335,58.56666666666666,29.5,0.16666666666666666,6.283333333333334,10.466666666666667,0.0,0.0,0.0,0.0,6.616666666666666,1.3,0.8333333333333334,0.5,25.0,4.333333333333333,0.16666666666666666,2.1666666666666665,3.0,0.0,0.0,0.0,0.0,1.9333333333333333,41.166666666666664,55.883333333333326,0.0,11.566666666666665,6.816666666666666,11.566666666666665,33.957142857142856,True,-2.5,45.5,24.0,23.1,65.75,343.6875,5.2,19.875,13.9375,37.2,3.0625,59.2,35.1875,54.4,230.3125,6.5,12.0,1.3125,73,22.6,63.6875,305.1875,4.8,18.3125,13.6875,38.8,2.8125,55.6,8.1,17.3,34.1875,62.9,210.3125,6.2,9.8,1.3125,82
