Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Willie Snead,4200,44.61,TRUE,-3,47.5,25.25,43,BAL,7.625,4.75,62.3,48.75,0.125,6.4,10.3,0.125,1.625,13,0,10.5,0.375,0.25,66.7,2.25,0.125,6,9,0,0,0,0,1.2,13.74573935
Will Fuller,3000,36.84,FALSE,1,46,22.5,21,HOU,6.428571429,4.571428571,71.1,71.85714286,0.571428571,11.2,15.7,0,0,0,0,16.5,0.714285714,0.571428571,80,4,0.285714286,5.6,7,0,0,0,0,2.7,13.57767441
Randall Cobb,4600,36.25,FALSE,5.5,56.5,25.5,74,GB,8,5.25,65.6,58.5,0.25,7.3,11.1,0,0,0,0,13.1,0.5,0,0,0,0,0,0,0,0,0,0,0,13.29828424
Tyler Lockett,5200,38.13,TRUE,-1,48,24.5,27,SEA,4.857142857,3.571428571,73.5,56.28571429,0.857142857,11.6,15.8,0.714285714,4.428571429,6.2,0,14.8,0.571428571,0.428571429,75,4.142857143,0.285714286,7.2,9.7,0,0,0,0,2.6,13.13106604
Marvin Jones,5300,31.75,FALSE,4.5,49,22.25,31,DET,6.714285714,3.714285714,55.3,55.28571429,0.714285714,8.2,14.9,0,0,0,0,14,1.428571429,0.571428571,40,5.714285714,0.428571429,4,10,0,0,0,0,3.7,13.12379152
Kenny Golladay,5500,31.75,FALSE,4.5,49,22.25,29,DET,6.285714286,4.285714286,68.2,68.14285714,0.428571429,10.8,15.9,0,0,0,0,14.1,0.714285714,0.285714286,40,1.285714286,0.285714286,1.8,4.5,0,0,0,0,2.1,12.80960114
Taylor Gabriel,5100,33.84,FALSE,-10,37.5,23.75,35,CHI,6.285714286,4.857142857,77.3,54.42857143,0.285714286,8.7,11.2,0.857142857,5.142857143,6,0,13.4,0.714285714,0.571428571,80,1,0.285714286,1.4,1.8,0.142857143,0,0,0,2.4,12.73640623
Corey Davis,4800,29.7,FALSE,5.5,40.5,17.5,49,TEN,8,4.285714286,53.6,56.42857143,0.142857143,7.1,13.2,0,0,0,0,11.2,1.285714286,0.571428571,44.4,4.428571429,0.142857143,3.4,7.8,0,0,0,0,1.9,12.54274531
Quincy Enunwa,4000,37.36,FALSE,3,44,20.5,70,NYJ,7.166666667,3.666666667,51.2,47.83333333,0.166666667,6.7,13,0.166666667,0,0,0,9.3,1.166666667,0.333333333,28.6,1.833333333,0,1.6,5.5,0,0,0,0,0.5,12.46816486
Jarius Wright,3300,49.79,TRUE,-6,55,30.5,86,CAR,3.714285714,2.428571429,65.4,23.14285714,0.142857143,6.2,9.5,0.142857143,4.857142857,34,0,6.4,0.285714286,0.142857143,50,0.714285714,0.142857143,2.5,5,0,0,0,0,1.4,12.29614848
D.J. Moore,4300,49.79,TRUE,-6,55,30.5,67,CAR,3.428571429,2.571428571,75,40.14285714,0.142857143,11.7,15.6,0.857142857,12.14285714,14.2,0,8.4,0,0,0,0,0,0,0,0.428571429,5.571428571,13,0,0.6,12.29344012
Tyrell Williams,4200,37.56,FALSE,1,48,23.5,33,LAC,3.857142857,2.857142857,74.1,61.14285714,0.571428571,15.9,21.4,0.285714286,2.142857143,7.5,0,13.5,0.142857143,0.142857143,100,0.571428571,0.142857143,4,4,0,0,0,0,1.1,12.17614247
Allen Robinson,5200,33.84,FALSE,-10,37.5,23.75,59,CHI,7.166666667,4.166666667,58.1,47.5,0.333333333,6.6,11.4,0,0,0,0,10.9,1.333333333,0.5,37.5,4.5,0.333333333,3.4,9,0,0,0,0,3,12.08935276
Geronimo Allison,4600,36.25,FALSE,5.5,56.5,25.5,61,GB,6,4,66.7,60.6,0.4,10.1,15.2,0,0,0,0,12.5,0.6,0.4,66.7,1.6,0,2.7,4,0,0,0,0,0.6,12.05831951
Calvin Ridley,5700,38.7,FALSE,1.5,48.5,23.5,25,ATL,5,3.857142857,77.1,56,0.857142857,11.2,14.5,0.428571429,1.857142857,4.3,0,15.2,0.714285714,0.714285714,100,8,0.571428571,11.2,11.2,0,0,0,0,4.9,11.85570646
Mike Williams,3800,37.56,FALSE,1,48,23.5,51,LAC,4.142857143,2.428571429,58.6,44,0.571428571,10.6,18.1,0.428571429,2.285714286,5.3,0,10.5,0.857142857,0.428571429,50,4.714285714,0.285714286,5.5,11,0.142857143,0.428571429,3,0,2.7,11.85136862
Ted Ginn,3000,36.09,TRUE,1,60,29.5,90,NO,5.5,3,54.5,33.75,0.5,6.1,11.2,0.75,6.5,8.7,0,10.3,1,0.25,25,1,0.25,1,4,0.25,1.25,5,0,2.5,11.79629117
Demaryius Thomas,4500,36.84,FALSE,1,46,22.5,32,DEN,7,4.5,64.3,50.25,0.375,7.2,11.2,0,0,0,0,12.2,1,0.875,87.5,4.625,0.25,4.6,5.3,0,0,0,0,2.8,11.78481189
Danny Amendola,4700,45.59,TRUE,-3,44,23.5,46,MIA,5.5,4.375,79.5,42.125,0.125,7.7,9.6,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,11.74911591
Amari Cooper,4600,41.56,TRUE,-5.5,40.5,23,60,OAK,5.166666667,3.666666667,71,46.66666667,0.166666667,9,12.7,0.166666667,1.5,9,0,10.5,0.666666667,0.333333333,50,2.166666667,0.166666667,3.2,6.5,0.166666667,1.5,9,0,1.7,11.72444903
Chris Godwin,4400,35.67,FALSE,6,55,24.5,40,TB,6.285714286,4,63.6,48.57142857,0.571428571,7.7,12.1,0,0,0,0,12.4,1.285714286,0.571428571,44.4,4.285714286,0.571428571,3.3,7.5,0,0,0,0,4.7,11.70049243
Cole Beasley,4100,41.56,TRUE,-5.5,40.5,23,44,DAL,6.142857143,4.714285714,76.7,50,0.285714286,8.1,10.6,0,0,0,0,11.9,0.857142857,0.714285714,83.3,6.857142857,0.285714286,8,9.6,0,0,0,0,3.1,11.64631979
Devante Parker,4600,45.59,TRUE,-3,44,23.5,106,MIA,4.333333333,2.666666667,61.5,58,0,13.4,21.8,0,0,0,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,11.59200788
Marquise Goodwin,5500,38.57,TRUE,-1,44,22.5,58,SF,3.833333333,2,52.2,43.16666667,0.666666667,11.3,21.6,0.5,1.166666667,2.3,0,10.9,0.333333333,0.166666667,50,1.833333333,0.166666667,5.5,11,0,0,0,0,1.4,11.27891557
Jamison Crowder,4100,47.83,TRUE,-1.5,48.5,25,95,WAS,5,3.25,65,33.5,0.25,6.7,10.3,0.75,8.75,11.7,0,9,1,1,100,9.5,0.25,9.5,9.5,0,0,0,0,3.4,11.23336031
Zay Jones,3400,43.06,TRUE,10,37.5,13.75,65,BUF,5.25,3.125,59.5,35.125,0.125,6.7,11.2,0,0,0,0,7.4,0.75,0.125,16.7,2,0.125,2.7,16,0,0,0,0,1.1,11.23280185
Josh Gordon,6300,38.21,TRUE,-5.5,56.5,31,63,NE,5.166666667,3,58.1,47.16666667,0.333333333,9.1,15.7,0,0,0,0,10.2,0.666666667,0.333333333,50,5,0.166666667,7.5,15,0,0,0,0,1.8,11.15540752
Jordy Nelson,4600,41.09,FALSE,1,44,21.5,47,OAK,5,3.285714286,65.7,48.14285714,0.428571429,9.6,14.7,0,0,0,0,11.4,0.714285714,0.571428571,80,5,0.428571429,7,8.8,0,0,0,0,3.9,10.67090032
Jakeem Grant,3700,45.59,TRUE,-3,44,23.5,54,MIA,3.875,2.5,64.5,31.5,0.25,8.1,12.6,0.125,0.625,5,0,8.7,0.25,0.125,50,2.25,0.125,9,18,0,0,0,0,1.1,10.62481303
Paul Richardson,3800,47.83,TRUE,-1.5,48.5,25,71,WAS,4.833333333,3,62.1,41,0.333333333,8.5,13.7,0.333333333,1.5,4.5,0,9.2,0.166666667,0.166666667,100,0.333333333,0.166666667,2,2,0,0,0,0,1.2,10.50229709
