Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections
Mike Davis,3400,24.54,TRUE,-1,48,24.5,SEA,41,8.666666667,37.66666667,4.3,0.5,2,1.666666667,7.166666667,0,9.6,1.5,7.666666667,5.1,0.5,0,0,0,0,3.8,12.61143305
Jalen Richard,4900,27.45,FALSE,1,44,21.5,OAK,35,1.857142857,6.571428571,3.5,0,6.428571429,5.571428571,43.28571429,0,10.6,0.142857143,0.571428571,4,0,0.571428571,0.428571429,2.857142857,0,0.8,11.93938084
Dion Lewis,4700,22.43,FALSE,5.5,40.5,17.5,TEN,30,10.42857143,39.57142857,3.8,0.142857143,4.714285714,4.142857143,28.42857143,0,11.7,1.285714286,2.428571429,1.9,0.142857143,0.142857143,0.142857143,0.285714286,0,1.3,11.67990359
Ito Smith,3700,19.96,FALSE,1.5,48.5,23.5,ATL,49,5.571428571,16.85714286,3,0.428571429,1.857142857,1.714285714,13.57142857,0,7.3,2,5.428571429,2.7,0.428571429,0.285714286,0.285714286,1.857142857,0,3.6,11.63306624
Theo Riddick,3800,21.46,FALSE,4.5,49,22.25,DET,59,1.6,6,3.8,0,6,4.6,27.6,0,8,0.4,0.4,1,0,1,1,4,0,1.4,11.58891245
Kenneth Dixon,3000,16.99,TRUE,-3,47.5,25.25,BAL,84,13,44,3.4,1,0,0,0,0,10.4,1,2,2,1,0,0,0,0,6.2,11.46239625
Aaron Jones,4400,26.12,FALSE,5.5,56.5,25.5,GB,51,8.8,54.8,6.2,0.4,1.6,1.2,8.2,0,9.9,1,4.2,4.2,0.2,0,0,0,0,1.6,11.15264822
Peyton Barber,3600,20.64,FALSE,6,55,24.5,TB,42,13.28571429,49.28571429,3.7,0.142857143,1.714285714,0.857142857,5.285714286,0.142857143,8,1.571428571,0.857142857,0.5,0.142857143,0.428571429,0.142857143,0.714285714,0.142857143,2,10.97602762
Royce Freeman,3800,22.96,TRUE,-1,46,23.5,DEN,39,10.14285714,44.14285714,4.4,0.571428571,0.857142857,0.571428571,3,0,8.7,1.285714286,3.571428571,2.8,0.428571429,0,0,0,0,2.9,10.74238011
Dalvin Cook,5300,30.81,TRUE,-4.5,49,26.75,MIN,62,12,32.66666667,2.7,0,4,3,35.66666667,0,9.5,1.333333333,1.666666667,1.2,0,0,0,0,0,0.2,10.37445578
Frank Gore,3500,25.45,TRUE,-3,44,23.5,MIA,40,10.5,48.125,4.6,0,1,0.75,7.75,0.125,7.5,1,2.625,2.6,0,0.125,0.125,0.75,0.125,1.2,10.26830008
Ronald Jones II,3400,20.64,FALSE,6,55,24.5,TB,74,4.75,10.5,2.2,0.25,1.75,1.5,8.5,0,4.9,1.25,3.25,2.6,0.25,0.5,0.25,1.25,0,2.2,9.197421615
Jamaal Williams,3500,26.12,FALSE,5.5,56.5,25.5,GB,55,9,33.28571429,3.7,0.142857143,2.428571429,1.142857143,8.142857143,0,6.4,0.857142857,1,1.2,0.142857143,0.285714286,0.142857143,1,0,1.5,9.188185383
LeSean McCoy,4900,17.41,TRUE,10,37.5,13.75,BUF,37,10.71428571,36.71428571,3.4,0,4.142857143,2.714285714,23.85714286,0,8.8,1,2,2,0,0,0,0,0,0.2,9.147862788
Devonta Freeman,3000,19.96,FALSE,1.5,48.5,23.5,ATL,80,7,34,4.9,0,3.5,2.5,11.5,0,7,1.5,2,1.3,0,0.5,0,0,0,0.2,9.144391117
Derrick Henry,4000,22.43,FALSE,5.5,40.5,17.5,TEN,56,12,39,3.2,0.142857143,1.142857143,0.857142857,7,0,6.4,1.857142857,3.857142857,2.1,0.142857143,0.142857143,0.142857143,-0.857142857,0,1.3,9.090223067
Alfred Blue,3600,28.29,FALSE,1,46,22.5,HOU,48,9.875,32.25,3.3,0.125,1.875,1.375,11.75,0,6.5,1.125,1,0.9,0.125,0.25,0.125,0.5,0,1,8.947913835
Ty Montgomery,3300,26.12,FALSE,5.5,56.5,25.5,GB,53,3.714285714,15,4,0.142857143,3.285714286,2.142857143,24.28571429,0,6.8,0.428571429,1,2.3,0.142857143,0.142857143,0,0,0,1,8.746189208
Kyle Juszczyk,3300,30.49,TRUE,-1,44,22.5,SF,50,0.5,2.125,4.2,0,3.375,2.375,30.625,0.125,6.3,0.25,0.125,0.5,0,0.625,0.25,1.625,0,0.4,8.729092918
Devontae Booker,3700,22.96,TRUE,-1,46,23.5,DEN,52,2.75,16.125,5.9,0,3.125,2.5,18.625,0,6,0.125,0.375,3,0,0.25,0.125,1.125,0,0.3,8.566942635
Alfred Morris,3500,30.49,TRUE,-1,44,22.5,SF,54,9.625,35.125,3.6,0.125,1.375,0.75,8.25,0,5.7,1.625,1.875,1.2,0.125,0,0,0,0,0.8,8.46295391
LeGarrette Blount,3400,21.46,FALSE,4.5,49,22.25,DET,58,8.571428571,24.28571429,2.8,0.428571429,0.571428571,0.571428571,5.285714286,0,6.1,1.571428571,2,1.3,0.285714286,0,0,0,0,1.9,8.375727998
Nick Chubb,4500,33.66,TRUE,8,51,21.5,CLE,43,6.5,39.75,6.1,0.375,0.75,0.25,1.25,0,7,0.75,1.375,1.8,0.125,0,0,0,0,0.9,8.269585308
Jacquizz Rodgers,3000,20.64,FALSE,6,55,24.5,TB,71,1.857142857,3.571428571,1.9,0,1.714285714,1.571428571,11.28571429,0,3.1,0.142857143,1,7,0,0.428571429,0.428571429,2.571428571,0,0.8,8.247413254
Spencer Ware,4000,30.72,FALSE,-8,51,29.5,KC,62,2.25,13.25,5.9,0,1.375,1.125,11.125,0,3.6,0.875,1.75,2,0,0.25,0.125,0.5,0,0.4,8.067931859
Rex Burkhead,3500,24.14,TRUE,-5.5,56.5,31,NE,79,8,28.66666667,3.6,0,2,1,10.33333333,0,4.9,0,0,0,0,1,0,0,0,0,7.837741948
Duke Johnson,3800,33.66,TRUE,8,51,21.5,CLE,45,2.75,13.375,4.9,0,3.625,2.5,25.375,0,6.9,0.25,-0.375,-1.5,0,0.25,0.125,0.375,0,0.6,7.613286601
Kapri Bibbs,3500,33.41,TRUE,-1.5,48.5,25,WAS,66,2,7.2,3.6,0.2,1.4,1,9.8,0.2,5.1,0.6,0.6,1,0.2,0,0,0,0,1.3,7.415258211
Chris Ivory,3900,17.41,TRUE,10,37.5,13.75,BUF,47,9.125,30.5,3.3,0.125,1.875,1.125,17.5,0,6.7,0.5,0.75,1.5,0.125,0,0,0,0,0.8,7.400486114
Malcolm Brown,4200,19.04,FALSE,-1,60,30.5,LAR,64,4.625,23.625,5.1,0,0.625,0.375,3,0,3.3,0.875,1.875,2.1,0,0,0,0,0,0.4,7.197159764
CJ Anderson,3300,29.43,TRUE,-6,55,30.5,CAR,72,3,14.85714286,5,0,0.428571429,0.142857143,3.428571429,0.142857143,2.8,0.428571429,1.571428571,3.7,0,0,0,0,0,0.2,7.177820895
Marcus Murphy,3300,17.41,TRUE,10,37.5,13.75,BUF,70,4.2,24.6,5.9,0,2.8,1.4,5,0,4.4,0.4,0.4,1,0,0.4,0.4,1,0,0.5,7.148264033
Doug Martin,4300,27.45,FALSE,1,44,21.5,OAK,69,5.714285714,24.42857143,4.3,0,1,0.857142857,3.142857143,0,3.5,1,3,3,0,0,0,0,0,0.3,7.13343798
Kenjon Barner,4000,24.14,TRUE,-5.5,56.5,31,NE,93,4.5,16.75,3.7,0,0,0,0,0,1.7,0.75,2,2.7,0,0,0,0,0,0.2,6.181818376
Zach Line,3000,22.31,TRUE,1,60,29.5,NO,86,0,0,0,0,0.857142857,0.428571429,1.428571429,0.142857143,1.4,0,0,0,0,0.428571429,0.428571429,1.428571429,0.142857143,1.4,6.124494269
Shaun Wilson,3000,20.64,FALSE,6,55,24.5,TB,102,0.666666667,5,7.5,0,0.666666667,0.666666667,3,0,1.5,0,0,0,0,0.333333333,0.333333333,1.666666667,0,0.5,5.733544312
Anthony Sherman,3000,30.72,FALSE,-8,51,29.5,KC,76,0,0,0,0,0.625,0.625,9.375,0.125,2.3,0,0,0,0,0.25,0.25,1.75,0,0.4,5.708748731
Raheem Mostert,3900,30.49,TRUE,-1,44,22.5,SF,68,3.375,21.875,6.5,0,0.875,0.75,3.125,0,3.1,0.125,0,0,0,0,0,0,0,0,5.679751471
Roc Thomas,3000,30.81,TRUE,-4.5,49,26.75,MIN,88,1.6,6,3.8,0,0.8,0.4,4.2,0,1.4,0.4,0.4,1,0,0.4,0,0,0,0,5.439861855
Rashaad Penny,3700,24.54,TRUE,-1,48,24.5,SEA,65,5.428571429,19.28571429,3.6,0,1.285714286,0.857142857,8.857142857,0,3.7,0.142857143,-0.285714286,-2,0,0,0,0,0,0,5.391590758
Alex Armah,3000,29.43,TRUE,-6,55,30.5,CAR,90,0.571428571,1.428571429,2.5,0.142857143,0,0,0,0,1,0.142857143,0.142857143,1,0.142857143,0,0,0,0,0.9,4.865776504
Gus Edwards,3000,16.99,TRUE,-3,47.5,25.25,BAL,88,4.666666667,18,3.9,0,0.333333333,0.333333333,2.333333333,0,2.4,0,0,0,0,0,0,0,0,0,4.820665249
CJ Ham,3000,30.81,TRUE,-4.5,49,26.75,MIN,78,0.5,0.875,1.8,0,1.5,1,7.625,0,1.8,0.125,0,0,0,0,0,0,0,0,4.690700743
James Develin,3000,24.14,TRUE,-5.5,56.5,31,NE,85,0,0,0,0,1.5,0.875,4,0,1.3,0,0,0,0,0.125,0.125,-0.125,0,0.1,4.565561392
Trenton Cannon,3600,32.02,FALSE,3,44,20.5,NYJ,74,1.75,3.625,2.1,0,1.25,1,10.875,0,2.4,0,0,0,0,0,0,0,0,0,4.481043007
Mike Boone,3000,30.81,TRUE,-4.5,49,26.75,MIN,91,1.833333333,7.833333333,4.3,0,0.5,0.333333333,0.166666667,0,1.1,0,0,0,0,0,0,0,0,0,4.472471495
Rod Smith,4000,17.8,TRUE,-5.5,40.5,23,DAL,99,2.142857143,5.857142857,2.7,0,0.285714286,0.142857143,0,0,0.7,0.285714286,0.285714286,1,0,0.142857143,0.142857143,0,0,0.2,4.35257371
Stevan Ridley,3800,15.7,FALSE,3,47.5,22.25,PIT,91,1.666666667,5,3,0,0.5,0.5,3,0,1.1,0.166666667,0.333333333,2,0,0,0,0,0,0,4.342374955
Damien Williams,3000,30.72,FALSE,-8,51,29.5,KC,100,0.428571429,0.142857143,0.3,0,0.428571429,0.428571429,2.571428571,0,0.7,0,0,0,0,0.142857143,0.142857143,1,0,0.2,4.295140025
Justin Jackson,3000,22.44,FALSE,1,48,23.5,LAC,101,2.5,3.5,1.4,0,1,1,9.5,0,2.3,0,0,0,0,0,0,0,0,0,4.163890974
Keith Smith,3000,27.45,FALSE,1,44,21.5,OAK,96,0.142857143,0,0,0,0.714285714,0.571428571,3.142857143,0,0.9,0.142857143,0,0,0,0.142857143,0.142857143,0.285714286,0,0.2,3.622995566
Andy Janovich,3000,22.96,TRUE,-1,46,23.5,DEN,94,0.125,0.25,2,0,0.25,0.25,5.375,0,0.8,0,0,0,0,0,0,0,0,0,3.485651503
