Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Ezekiel Elliott,DAL,RB,16,TB,30,29,9000,23.34
2,Christian McCaffrey,CAR,RB,16,ATL,27,27,8800,23.19
3,Saquon Barkley,NYG,RB,16,IND,9,11,7900,21.41
4,Todd Gurley,LAR,RB,16,ARI,15,31,9200,21.07
5,Alvin Kamara,NO,RB,16,PIT,14,9,7400,19.21
6,Melvin Gordon,LAC,RB,16,BAL,1,2,8200,17.21
7,Nick Chubb,CLE,RB,16,CIN,32,32,7300,17.08
8,Joe Mixon,CIN,RB,16,CLE,24,24,7100,16.91
9,Phillip Lindsay,DEN,RB,16,OAK,29,26,7200,16.5
10,Dalvin Cook,MIN,RB,16,DET,16,21,6900,16.07
11,Chris Carson,SEA,RB,16,KC,31,30,5800,15.25
12,David Johnson,ARI,RB,16,LAR,20,17,6200,15.09
13,Jamaal Williams,GB,RB,16,NYJ,23,12,5400,14.53
14,Derrick Henry,TEN,RB,16,WAS,12,13,7300,14.38
15,Tarik Cohen,CHI,RB,16,SF,26,20,6400,14.06
16,Elijah McGuire,NYJ,RB,16,GB,18,19,4700,13.9
17,Tevin Coleman,ATL,RB,16,CAR,22,8,4800,13.43
18,Marlon Mack,IND,RB,16,NYG,17,25,5500,13.32
19,Leonard Fournette,JAX,RB,16,MIA,28,28,6000,12.73
20,James White,NE,RB,16,BUF,4,23,5200,12.21
21,Sony Michel,NE,RB,16,BUF,4,23,4900,11.87
22,Damien Williams,KC,RB,16,SEA,11,15,5700,11.51
23,Mark Ingram,NO,RB,16,PIT,14,9,5100,11.48
24,Jaylen Samuels,PIT,FB,16,NO,13,4,6700,11.2
25,Kenyan Drake,MIA,RB,16,JAX,6,7,3900,11.12
26,Jordan Howard,CHI,RB,16,SF,26,20,4300,10.73
27,James Conner,PIT,RB,16,NO,13,4,7000,10.71
28,Kalen Ballage,MIA,RB,16,JAX,6,7,3700,10.53
29,Gus Edwards,BAL,RB,16,LAC,8,22,5000,10.38
30,Peyton Barber,TB,RB,16,DAL,7,6,3600,10.19
31,Spencer Ware,KC,RB,16,SEA,11,15,6300,10.15
32,Doug Martin,OAK,RB,16,DEN,19,14,4400,10.06
33,Theo Riddick,DET,RB,16,MIN,5,10,4100,9.82
34,Jalen Richard,OAK,RB,16,DEN,19,14,4000,9.59
35,Matt Breida,SF,RB,16,CHI,2,1,4200,9.26
36,Lamar Miller,HOU,RB,16,PHI,25,16,5000,9.23
37,Adrian Peterson,WAS,RB,16,TEN,3,3,4200,9.02
38,Nyheim Hines,IND,RB,16,NYG,17,25,3700,8.81
39,Dion Lewis,TEN,RB,16,WAS,12,13,4600,8.7
