Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,16,SEA,11,9,7200,18.03
2,Zach Ertz,PHI,TE,16,HOU,10,26,5900,15.8
3,George Kittle,SF,TE,16,CHI,2,12,6000,14.06
4,Eric Ebron,IND,TE,16,NYG,17,16,5700,13.3
5,Jared Cook,OAK,TE,16,DEN,19,29,5300,12.28
6,Rob Gronkowski,NE,TE,16,BUF,4,3,5600,11.64
7,Evan Engram,NYG,TE,16,IND,9,17,4600,10.24
8,Austin Hooper,ATL,TE,16,CAR,22,30,3700,9.61
9,David Njoku,CLE,TE,16,CIN,32,23,3800,8.9
10,Vance McDonald,PIT,TE,16,NO,13,7,4100,8.5
11,Jimmy Graham,GB,TE,16,NYJ,23,10,3700,8.39
11,Kyle Rudolph,MIN,TE,16,DET,16,15,3400,8.39
13,Cameron Brate,TB,TE,16,DAL,7,19,3900,8.16
14,Chris Herndon IV,NYJ,TE,16,GB,18,5,3100,8.15
15,Trey Burton,CHI,TE,16,SF,26,11,4000,7.73
16,CJ Uzomah,CIN,TE,16,CLE,24,22,3300,7.26
17,Ian Thomas,CAR,TE,16,ATL,27,7,3500,7.17
18,Gerald Everett,LAR,TE,16,ARI,15,2,2900,6.59
19,Matt LaCosse,DEN,TE,16,OAK,29,32,3000,6.22
20,Vernon Davis,WAS,TE,16,TEN,3,1,4200,6.2
21,Ricky Seals-Jones,ARI,TE,16,LAR,20,18,2900,5.97
22,Jordan Reed,WAS,TE,16,TEN,3,1,4500,5.89
23,Benjamin Watson,NO,TE,16,PIT,14,28,2700,5.72
24,Dallas Goedert,PHI,TE,16,HOU,10,26,2600,5.32
25,Antonio Gates,LAC,TE,16,BAL,1,19,3700,4.91
26,Anthony Firkser,TEN,TE,16,WAS,12,6,3500,4.89
27,Nick Vannett,SEA,TE,16,KC,31,31,2500,4.63
28,Jordan Thomas,HOU,TE,16,PHI,25,4,2900,4.48
29,Jesse James,PIT,TE,16,NO,13,7,2800,4.44
30,Levine Toilolo,DET,TE,16,MIN,5,14,2500,4.37
31,James O'Shaughnessy,JAX,TE,16,MIA,28,27,2500,4.34
32,Mark Andrews,BAL,TE,16,LAC,8,13,3200,4.29
33,Ryan Griffin,HOU,TE,16,PHI,25,4,2700,4.16
33,Blake Jarwin,DAL,TE,16,TB,30,25,3000,4.16
35,Charles Clay,BUF,TE,16,NE,21,24,2500,4.14
36,Ed Dickson,SEA,TE,16,KC,31,31,2500,4.1
37,Demetrius Harris,KC,TE,16,SEA,11,9,2600,4.09
38,Tyler Higbee,LAR,TE,16,ARI,15,2,2600,3.95
39,Mike Gesicki,MIA,TE,16,JAX,6,21,2600,3.81
40,Mo Alie-Cox,IND,TE,16,NYG,17,16,2500,3.78
41,Dalton Schultz,DAL,TE,16,TB,30,25,2500,3.52
42,Virgil Green,LAC,TE,16,BAL,1,19,2500,3.22
43,Lance Kendricks,GB,TE,16,NYJ,23,10,2500,3.12
44,Dan Arnold,NO,TE,16,PIT,14,28,2500,3.06
45,Jordan Akins,HOU,TE,16,PHI,25,4,2500,2.93
46,Jordan Leggett,NYJ,TE,16,GB,18,5,2500,2.88
46,Luke Willson,DET,TE,16,MIN,5,14,2500,2.88
48,Luke Stocker,TEN,TE,16,WAS,12,6,2500,2.86
49,Adam Shaheen,CHI,TE,16,SF,26,11,2500,2.81
50,Rhett Ellison,NYG,TE,16,IND,9,17,2500,2.71
