Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Patrick Mahomes,KC,QB,16,SEA,11,9,7000,25.96
2,Ben Roethlisberger,PIT,QB,16,NO,13,28,6700,22.5
3,Drew Brees,NO,QB,16,PIT,14,22,6500,20.4
4,Russell Wilson,SEA,QB,16,KC,31,30,6100,20.38
5,Andrew Luck,IND,QB,16,NYG,17,11,6200,20.3
6,Matt Ryan,ATL,QB,16,CAR,22,25,6100,19.51
7,Deshaun Watson,HOU,QB,16,PHI,25,24,6600,19.38
8,Dak Prescott,DAL,QB,16,TB,30,29,5700,19.17
9,Aaron Rodgers,GB,QB,16,NYJ,23,20,6300,19.12
10,Mitch Trubisky,CHI,QB,16,SF,26,27,6300,19
11,Baker Mayfield,CLE,QB,16,CIN,32,31,6100,18.93
12,Tom Brady,NE,QB,16,BUF,4,1,5900,18.91
13,Jared Goff,LAR,QB,16,ARI,15,6,6400,18.84
14,Kirk Cousins,MIN,QB,16,DET,16,19,6000,18.68
15,Jameis Winston,TB,QB,16,DAL,7,8,5500,18.36
15,Lamar Jackson,BAL,QB,16,LAC,8,7,6000,18.36
17,Josh Allen,BUF,QB,16,NE,21,23,5800,17.9
18,Philip Rivers,LAC,QB,16,BAL,1,4,6200,17.38
19,Nick Foles,PHI,QB,16,HOU,10,14,4700,16.96
20,Sam Darnold,NYJ,QB,16,GB,18,17,4900,16.03
21,Case Keenum,DEN,QB,16,OAK,29,26,5300,15.85
22,Derek Carr,OAK,QB,16,DEN,19,13,4900,15.65
23,Eli Manning,NYG,QB,16,IND,9,12,4800,15.32
24,Marcus Mariota,TEN,QB,16,WAS,12,18,5500,15.04
25,Ryan Tannehill,MIA,QB,16,JAX,6,10,4600,14.28
26,Nick Mullens,SF,QB,16,CHI,2,2,4700,14.23
27,Josh Johnson,WAS,QB,16,TEN,3,5,5100,14.14
28,Matthew Stafford,DET,QB,16,MIN,5,3,4900,13.88
29,Jeff Driskel,CIN,QB,16,CLE,24,16,4600,13.27
30,Cody Kessler,JAX,QB,16,MIA,28,21,4600,12.35
31,Josh Rosen,ARI,QB,16,LAR,20,15,4500,11.05
32,Cam Newton,CAR,QB,16,ATL,27,32,6200,10.71
33,Taylor Heinicke,CAR,QB,16,ATL,27,32,4000,8.15
34,Taysom Hill,NO,QB,16,PIT,14,22,4000,1.74
35,Blake Bortles,JAX,QB,16,MIA,28,21,4500,0.97
36,Ryan Fitzpatrick,TB,QB,16,DAL,7,8,4500,0.92
37,Joe Flacco,BAL,QB,16,LAC,8,7,4600,0.86
38,CJ Beathard,SF,QB,16,CHI,2,2,4400,0.32
39,Brock Osweiler,MIA,QB,16,JAX,6,10,4300,0.3
40,Blaine Gabbert,TEN,QB,16,WAS,12,18,4200,0.29
41,Trevor Siemian,MIN,QB,16,DET,16,19,4300,0.27
42,Tyrod Taylor,CLE,QB,16,CIN,32,31,4300,0.26
42,Josh McCown,NYJ,QB,16,GB,18,17,4300,0.26
42,Brett Hundley,SEA,QB,16,KC,31,30,4500,0.26
45,Nate Sudfeld,PHI,QB,16,HOU,10,14,4000,0.23
46,Tom Savage,CIN,QB,16,CLE,24,16,4000,0.2
46,Deshone Kizer,GB,QB,16,NYJ,23,20,4800,0.2
48,Mark Sanchez,WAS,QB,16,TEN,3,5,4200,0.19
48,Mike Glennon,ARI,QB,16,LAR,20,15,4200,0.19
48,Chase Daniel,CHI,QB,16,SF,26,27,4300,0.19
51,Cooper Rush,DAL,QB,16,TB,30,29,4200,0.18
51,Matt Barkley,BUF,QB,16,NE,21,23,4200,0.18
53,Brandon Weeden,HOU,QB,16,PHI,25,24,4200,0.17
53,Sean Mannion,LAR,QB,16,ARI,15,6,4300,0.17
53,Geno Smith,LAC,QB,16,BAL,1,4,4300,0.17
53,Chad Henne,KC,QB,16,SEA,11,9,4300,0.17
57,Jacoby Brissett,IND,QB,16,NYG,17,11,4200,0.14
57,Brian Hoyer,NE,QB,16,BUF,4,1,4200,0.14
59,Joshua Dobbs,PIT,QB,16,NO,13,28,4500,0.12
60,Kyle Lauletta,NYG,QB,16,IND,9,12,4000,0.11
61,Teddy Bridgewater,NO,QB,16,PIT,14,22,4400,0.1
62,Matt Cassel,DET,QB,16,MIN,5,3,4000,0.09
63,AJ McCarron,OAK,QB,16,DEN,19,13,4200,0.08
63,Kevin Hogan,DEN,QB,16,OAK,29,26,4000,0.08
65,Matt Schaub,ATL,QB,16,CAR,22,25,4000,0.07
66,Alex Tanney,NYG,QB,16,IND,9,12,4000,0.02
67,Drew Stanton,CLE,QB,16,CIN,32,31,4000,0
67,Andy Dalton,CIN,QB,16,CLE,24,16,null,0
67,Christian Hackenberg,CIN,QB,16,CLE,24,16,null,0
67,Ryan Griffin,TB,QB,16,DAL,7,8,4000,0
67,Jameill Showers,DAL,QB,16,TB,30,29,null,0
67,Mike White,DAL,QB,16,TB,30,29,4000,0
67,Jake Rudock,DET,QB,16,MIN,5,3,null,0
67,Kyle Sloter,MIN,QB,16,DET,16,19,4000,0
67,Alex Smith,WAS,QB,16,TEN,3,5,null,0
67,Colt McCoy,WAS,QB,16,TEN,3,5,4000,0
67,Brad Kaaya,IND,QB,16,NYG,17,11,null,0
67,Landry Jones,JAX,QB,16,MIA,28,21,null,0
67,Luke Falk,MIA,QB,16,JAX,6,10,null,0
67,David Fales,MIA,QB,16,JAX,6,10,4000,0
67,Bryce Petty,MIA,QB,16,JAX,6,10,null,0
67,Derek Anderson,BUF,QB,16,NE,21,23,4000,0
67,Davis Webb,NYJ,QB,16,GB,18,17,4000,0
67,Tim Boyle,GB,QB,16,NYJ,23,20,4000,0
67,Joe Webb,HOU,QB,16,PHI,25,24,4000,0
67,Carson Wentz,PHI,QB,16,HOU,10,14,5000,0
67,Sam Bradford,ARI,QB,16,LAR,20,15,null,0
67,Brandon Allen,LAR,QB,16,ARI,15,6,null,0
67,Chad Kanoff,ARI,QB,16,LAR,20,15,null,0
67,Robert Griffin III,BAL,QB,16,LAC,8,7,4300,0
67,Cardale Jones,LAC,QB,16,BAL,1,4,null,0
67,Tyler Bray,CHI,QB,16,SF,26,27,4000,0
67,Jimmy Garoppolo,SF,QB,16,CHI,2,2,4000,0
67,Mason Rudolph,PIT,QB,16,NO,13,28,4500,0
