Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Davante Adams,GB,WR,16,NYJ,23,30,8500,20.43
2,DeAndre Hopkins,HOU,WR,16,PHI,25,31,8600,20.16
3,Antonio Brown,PIT,WR,16,NO,13,32,8300,19.25
4,Michael Thomas,NO,WR,16,PIT,14,13,8100,19.14
5,Julio Jones,ATL,WR,16,CAR,22,25,8700,18.69
6,Tyreek Hill,KC,WR,16,SEA,11,20,7900,18.62
7,JuJu Smith-Schuster,PIT,WR,16,NO,13,32,8000,17.33
8,T.Y. Hilton,IND,WR,16,NYG,17,7,7100,16.77
9,Robert Woods,LAR,WR,16,ARI,15,10,6600,16.12
10,Adam Thielen,MIN,WR,16,DET,16,23,7800,16.07
11,Amari Cooper,DAL,WR,16,TB,30,26,7500,15.94
12,Julian Edelman,NE,WR,16,BUF,4,4,7200,15.91
13,Stefon Diggs,MIN,WR,16,DET,16,23,7400,15.9
14,Mike Evans,TB,WR,16,DAL,7,3,6800,15.42
15,Odell Beckham Jr,NYG,WR,16,IND,9,6,7600,14.95
16,Brandin Cooks,LAR,WR,16,ARI,15,10,6500,14.63
17,Kenny Golladay,DET,WR,16,MIN,5,2,6000,13.98
18,Alshon Jeffery,PHI,WR,16,HOU,10,9,5300,13.8
19,Tyler Lockett,SEA,WR,16,KC,31,17,5700,13.15
20,Jarvis Landry,CLE,WR,16,CIN,32,19,6200,13.04
21,Doug Baldwin,SEA,WR,16,KC,31,17,5500,12.87
22,Larry Fitzgerald,ARI,WR,16,LAR,20,21,5200,12.68
23,Allen Robinson,CHI,WR,16,SF,26,29,5400,12.52
24,Josh Gordon,NE,WR,16,BUF,4,4,6100,12.17
25,Robby Anderson,NYJ,WR,16,GB,18,28,4500,12.16
26,Dante Pettis,SF,WR,16,CHI,2,12,4300,11.97
27,Corey Davis,TEN,WR,16,WAS,12,24,6300,11.91
28,Calvin Ridley,ATL,WR,16,CAR,22,25,5100,11.75
29,Jordy Nelson,OAK,WR,16,DEN,19,14,4600,11.71
30,Daesean Hamilton,DEN,WR,16,OAK,29,15,4800,11.42
31,Mike Williams,LAC,WR,16,BAL,1,5,6100,11.24
32,Robert Foster,BUF,WR,16,NE,21,11,4900,11.11
33,D.J. Moore,CAR,WR,16,ATL,27,27,5600,11.09
34,Tim Patrick,DEN,WR,16,OAK,29,15,4000,10.81
35,Adam Humphries,TB,WR,16,DAL,7,3,4700,10.61
36,Mohamed Sanu,ATL,WR,16,CAR,22,25,4400,10.58
37,Josh Reynolds,LAR,WR,16,ARI,15,10,4600,10.46
38,Demaryius Thomas,HOU,WR,16,PHI,25,31,4700,10.38
39,Dede Westbrook,JAX,WR,16,MIA,28,18,4900,10.25
40,Golden Tate,PHI,WR,16,HOU,10,9,4800,10.14
41,Tyrell Williams,LAC,WR,16,BAL,1,5,5400,9.88
42,Courtland Sutton,DEN,WR,16,OAK,29,15,4600,9.77
43,Jamison Crowder,WAS,WR,16,TEN,3,22,4600,9.76
44,Curtis Samuel,CAR,WR,16,ATL,27,27,4500,9.58
45,Chris Godwin,TB,WR,16,DAL,7,3,4300,9.55
46,Sterling Shepard,NYG,WR,16,IND,9,6,4800,9.5
47,Antonio Callaway,CLE,WR,16,CIN,32,19,3900,9.47
48,John Ross,CIN,WR,16,CLE,24,16,3800,9.46
49,Isaiah McKenzie,BUF,WR,16,NE,21,11,3900,9.22
50,Kenny Stills,MIA,WR,16,JAX,6,1,4100,9.06
51,Keenan Allen,LAC,WR,16,BAL,1,5,7700,8.93
52,Zay Jones,BUF,WR,16,NE,21,11,3700,8.68
53,Danny Amendola,MIA,WR,16,JAX,6,1,3800,8.59
54,Willie Snead,BAL,WR,16,LAC,8,8,4300,8.46
55,Taylor Gabriel,CHI,WR,16,SF,26,29,4400,8.44
56,Chris Conley,KC,WR,16,SEA,11,20,3900,8.06
57,David Moore,SEA,WR,16,KC,31,17,3800,7.99
58,Nelson Agholor,PHI,WR,16,HOU,10,9,3700,7.87
59,Seth Roberts,OAK,WR,16,DEN,19,14,3600,7.65
60,DeSean Jackson,TB,WR,16,DAL,7,3,4700,7.61
61,Anthony Miller,CHI,WR,16,SF,26,29,4100,7.57
62,Marcell Ateman,OAK,WR,16,DEN,19,14,3400,7.56
63,Quincy Enunwa,NYJ,WR,16,GB,18,28,3500,7.55
64,Donte Moncrief,JAX,WR,16,MIA,28,18,3600,7.41
65,Michael Gallup,DAL,WR,16,TB,30,26,3500,7.16
66,Michael Crabtree,BAL,WR,16,LAC,8,8,3800,7.13
67,Trent Sherfield,ARI,WR,16,LAR,20,21,3400,7.05
68,Taywan Taylor,TEN,WR,16,WAS,12,24,3700,7.03
69,Tre'Quan Smith,NO,WR,16,PIT,14,13,4000,6.95
70,Alex Erickson,CIN,WR,16,CLE,24,16,3300,6.9
71,Josh Doctson,WAS,WR,16,TEN,3,22,3600,6.67
72,Kendrick Bourne,SF,WR,16,CHI,2,12,3500,6.6
73,Chris Hogan,NE,WR,16,BUF,4,4,3300,6.57
74,Demarcus Robinson,KC,WR,16,SEA,11,20,4300,6.55
75,Randall Cobb,GB,WR,16,NYJ,23,30,5000,6.37
76,Jermaine Kearse,NYJ,WR,16,GB,18,28,3500,6.19
77,Rashard Higgins,CLE,WR,16,CIN,32,19,3400,6.18
78,Keith Kirkwood,NO,WR,16,PIT,14,13,3500,6.09
79,Cody Latimer,NYG,WR,16,IND,9,6,3000,5.89
80,Equanimeous St. Brown,GB,WR,16,NYJ,23,30,3100,5.84
81,Cole Beasley,DAL,WR,16,TB,30,26,3600,5.83
82,James Washington,PIT,WR,16,NO,13,32,3100,5.8
83,Marquise Goodwin,SF,WR,16,CHI,2,12,4000,5.77
84,John Brown,BAL,WR,16,LAC,8,8,4000,5.71
85,Marquez Valdes-Scantling,GB,WR,16,NYJ,23,30,3700,5.65
86,Aldrick Robinson,MIN,WR,16,DET,16,23,3200,5.63
87,Cody Core,CIN,WR,16,CLE,24,16,3500,5.6
88,Keelan Cole,JAX,WR,16,MIA,28,18,3200,5.55
88,Deandre Carter,HOU,WR,16,PHI,25,31,3300,5.55
90,Cordarrelle Patterson,NE,WR,16,BUF,4,4,3200,5.29
91,Jarius Wright,CAR,WR,16,ATL,27,27,3100,5.22
92,Russell Shepard,NYG,WR,16,IND,9,6,3400,5.16
92,Devante Parker,MIA,WR,16,JAX,6,1,3600,5.16
94,Breshad Perriman,CLE,WR,16,CIN,32,19,3200,4.99
95,Brice Butler,MIA,WR,16,JAX,6,1,3000,4.65
96,Maurice Harris,WAS,WR,16,TEN,3,22,3000,4.64
97,Chester Rogers,IND,WR,16,NYG,17,7,3200,4.59
98,Devin Funchess,CAR,WR,16,ATL,27,27,4200,4.52
99,Zach Pascal,IND,WR,16,NYG,17,7,3200,4.34
99,Tajae Sharpe,TEN,WR,16,WAS,12,24,3200,4.34
101,Dontrelle Inman,IND,WR,16,NYG,17,7,3600,4.32
102,Tyler Boyd,CIN,WR,16,CLE,24,16,5800,4.25
103,Travis Benjamin,LAC,WR,16,BAL,1,5,3400,4.24
104,Andre Roberts,NYJ,WR,16,GB,18,28,3200,4.18
105,Bennie Fowler,NYG,WR,16,IND,9,6,3000,4.07
106,Andy Jones,DET,WR,16,MIN,5,2,3000,4.05
107,Ryan Switzer,PIT,WR,16,NO,13,32,3400,4.03
107,Laquon Treadwell,MIN,WR,16,DET,16,23,3000,4.03
109,Bruce Ellington,DET,WR,16,MIN,5,2,3700,4.01
110,Chad Williams,ARI,WR,16,LAR,20,21,3000,3.94
111,Keke Coutee,HOU,WR,16,PHI,25,31,4300,3.87
112,Eli Rogers,PIT,WR,16,NO,13,32,3000,3.78
113,D.J. Chark,JAX,WR,16,MIA,28,18,3300,3.61
114,Andre Holmes,DEN,WR,16,OAK,29,15,3000,3.59
115,Kelvin Benjamin,KC,WR,16,SEA,11,20,3500,3.57
116,Michael Floyd,WAS,WR,16,TEN,3,22,3000,3.4
117,Ryan Grant,IND,WR,16,NYG,17,7,3300,3.32
118,Allen Hurns,DAL,WR,16,TB,30,26,3000,3.31
118,TJ Jones,DET,WR,16,MIN,5,2,3100,3.31
120,Jordan Matthews,PHI,WR,16,HOU,10,9,3000,3.3
121,Deonte Thompson,BUF,WR,16,NE,21,11,3000,3.24
122,Trent Taylor,SF,WR,16,CHI,2,12,3000,3.12
123,Jalen Tolliver,ARI,WR,16,LAR,20,21,3000,3.09
124,Cameron Batson,TEN,WR,16,WAS,12,24,3000,3.02
125,Chris Moore,BAL,WR,16,LAC,8,8,3000,2.75
125,Justin Hardy,ATL,WR,16,CAR,22,25,3000,2.75
127,Auden Tate,CIN,WR,16,CLE,24,16,3000,2.68
128,JJ Nelson,ARI,WR,16,LAR,20,21,3200,2.64
129,Torrey Smith,CAR,WR,16,ATL,27,27,3100,2.57
130,Jaron Brown,SEA,WR,16,KC,31,17,3000,2.19
131,Jesus Wilson,TB,WR,16,DAL,7,3,3000,2.06
132,Tommylee Lewis,NO,WR,16,PIT,14,13,3000,1.88
133,Corey Coleman,NYG,WR,16,IND,9,6,3000,1.87
134,Rishard Matthews,NYJ,WR,16,GB,18,28,3000,1.84
135,Austin Carr,NO,WR,16,PIT,14,13,3000,1.72
135,Charone Peake,NYJ,WR,16,GB,18,28,3000,1.72
137,Chad Beebe,MIN,WR,16,DET,16,23,3000,1.67
138,Josh Bellamy,CHI,WR,16,SF,26,29,3000,1.65
139,Vyncint Smith,HOU,WR,16,PHI,25,31,3000,1.61
140,Brandon Powell,DET,WR,16,MIN,5,2,3000,1.6
141,Lance Lenoir,DAL,WR,16,TB,30,26,3000,1.5
142,Marvin Hall,ATL,WR,16,CAR,22,25,3000,1.49
143,Tavon Austin,DAL,WR,16,TB,30,26,3000,1.3
144,Phillip Dorsett,NE,WR,16,BUF,4,4,3000,1.27
145,Damion Ratley,CLE,WR,16,CIN,32,19,3000,1.24
146,Ray-Ray McCloud,BUF,WR,16,NE,21,11,3000,1.22
147,Jake Kumerow,GB,WR,16,NYJ,23,30,3000,1.16
148,Rashad Greene,JAX,WR,16,MIA,28,18,3000,1.09
149,Darius Jennings,TEN,WR,16,WAS,12,24,3000,1.04
149,Dwayne Harris,OAK,WR,16,DEN,19,14,3000,1.04
151,Jawill Davis,NYG,WR,16,IND,9,6,3000,1
152,Justin Watson,TB,WR,16,DAL,7,3,3000,0.96
153,Marcus Johnson,IND,WR,16,NYG,17,7,null,0.83
154,Russell Gage,ATL,WR,16,CAR,22,25,3000,0.79
154,Josh Malone,CIN,WR,16,CLE,24,16,3000,0.79
156,Sammy Watkins,KC,WR,16,SEA,11,20,5000,0.75
156,Jordan Taylor,DEN,WR,16,OAK,29,15,3000,0.75
158,Leonte Carroo,MIA,WR,16,JAX,6,1,3000,0.71
159,Marcus Kemp,KC,WR,16,SEA,11,20,3000,0.62
160,Jojo Natson,LAR,WR,16,ARI,15,10,3000,0.6
161,Keon Hatcher,OAK,WR,16,DEN,19,14,3000,0.59
162,Richie James,SF,WR,16,CHI,2,12,3000,0.58
163,Shelton Gibson,PHI,WR,16,HOU,10,9,3000,0.53
163,J'mon Moore,GB,WR,16,NYJ,23,30,3000,0.53
165,Kevin White,CHI,WR,16,SF,26,29,3000,0.52
166,Brian Quick,WAS,WR,16,TEN,3,22,null,0.48
167,River Cracraft,DEN,WR,16,OAK,29,15,3000,0.47
168,Geremy Davis,LAC,WR,16,BAL,1,5,3000,0.45
169,Noah Brown,DAL,WR,16,TB,30,26,3000,0.4
169,Johnny Holton,OAK,WR,16,DEN,19,14,null,0.4
171,Nick Williams,LAR,WR,16,ARI,15,10,null,0.36
