Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Tim White,BAL,WR,3,2,0.7,0.8,0,50,50,50,2.4,120
2,Darren Waller,OAK,WR,2,13,6.5,10.3,7.7,7.7,15.4,15.4,7.5,57.7
3,Leonte Carroo,MIA,WR,7,40,5.7,10,2.5,7.5,7.5,10,18.8,47
4,Albert Wilson,MIA,WR,7,231,33,48.2,3.5,15.2,15.2,19,99.78,43.2
5,Cordarrelle Patterson,NE,WR,14,214,15.3,21.9,17.8,12.1,27.1,29.9,89.6,41.9
6,Tavon Austin,DAL,WR,6,106,17.7,12,5.7,9.4,12.3,15.1,37.5,35.4
6,Brandon Zylstra,MIN,WR,14,8,0.6,0.9,0,12.5,12.5,12.5,3.3,41.2
8,Aldrick Robinson,MIN,WR,12,186,15.5,23.6,0,15.6,9.1,15.6,70.1,37.7
9,De'Anthony Thomas,KC,WR,5,36,7.2,10.7,2.8,13.9,11.1,16.7,12.5,34.7
10,Tyreek Hill,KC,WR,14,813,58.1,87.2,2.3,14.9,11.9,17.2,307.3,37.8
11,DeSean Jackson,TB,WR,11,424,38.5,43.5,1.2,16.5,10.6,17.7,156.5,36.9
12,Julio Jones,ATL,WR,14,743,53.1,79.5,0.3,20.5,13.7,20.7,313.3,42.2
13,Davante Adams,GB,WR,14,867,61.9,93.4,0,17.4,11.5,17.4,320.5,37
14,Curtis Samuel,CAR,WR,11,348,31.6,45.8,2.3,13.8,10.9,16.1,111.5,32
15,Mike Williams,LAC,WR,14,555,39.6,63.5,0.9,10.3,7.6,11.2,161.7,29.1
15,AJ Green,CIN,WR,9,459,51,60.9,0,16.8,10,16.8,156.4,34.1
17,T.Y. Hilton,IND,WR,12,641,53.4,76.6,0,16.5,10.5,16.5,222.1,34.6
18,Keenan Allen,LAC,WR,14,691,49.4,79.1,1.3,17.5,14,18.8,248.9,36
19,Cooper Kupp,LAR,WR,8,439,54.9,72,0.9,12.8,10,13.7,138.1,31.5
20,Odell Beckham Jr,NYG,WR,12,716,59.7,80.2,0.7,17.3,11.7,18.3,246.34,34.4
21,Calvin Ridley,ATL,WR,14,570,40.7,61,1.1,14.4,10.9,15.4,178.6,31.3
