Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,14,256,1251,4.9,17,81,59,580,4,1,1,27.9,391.1
2,Christian McCaffrey,CAR,RB,14,194,979,5,7,110,94,768,6,4,1,26.2,366.7
3,Saquon Barkley,NYG,RB,14,223,1155,5.2,9,106,82,654,4,0,0,25.8,360.9
4,Alvin Kamara,NO,RB,14,187,860,4.6,12,99,77,627,4,1,0,24,336.7
5,Ezekiel Elliott,DAL,RB,14,286,1350,4.7,6,89,72,543,3,5,1,24,335.3
6,James Conner,PIT,RB,12,201,909,4.5,12,68,52,467,1,4,2,23.7,284.6
7,Melvin Gordon,LAC,RB,10,153,802,5.2,9,60,44,453,4,1,0,26.4,263.5
8,James White,NE,RB,14,82,354,4.3,4,114,81,699,6,0,0,17.6,246.3
9,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,21.5,236.2
10,Joe Mixon,CIN,RB,12,207,995,4.8,8,52,40,284,1,0,0,19.2,230.9
11,Tarik Cohen,CHI,RB,14,88,408,4.6,2,87,68,710,5,6,3,16.3,228.84
12,David Johnson,ARI,RB,14,231,843,3.6,7,67,46,408,2,3,2,16.2,226.1
13,Phillip Lindsay,DEN,RB,14,182,991,5.4,9,45,33,230,1,0,0,16,224.1
14,Nick Chubb,CLE,RB,14,164,860,5.2,8,23,16,150,2,0,0,13.3,186
15,Adrian Peterson,WAS,RB,14,221,923,4.2,7,24,19,200,1,3,2,13.1,183.3
15,Kenyan Drake,MIA,RB,14,103,469,4.6,4,63,44,394,5,1,1,13.1,183.3
17,Tevin Coleman,ATL,RB,14,149,704,4.7,3,42,31,267,5,2,0,13,182.1
18,Derrick Henry,TEN,RB,14,178,882,5,11,16,13,78,0,1,1,12.9,180.56
19,Aaron Jones,GB,RB,12,133,728,5.5,8,35,26,206,1,1,1,14.6,175.4
