Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,14,132,93,70.5,1220,10,43,9.2,13.1,0,0,0,0,2,1,20.6,289
2,Zach Ertz,PHI,TE,14,136,101,74.3,1038,6,34,7.6,10.3,0,0,0,0,0,0,18.1,252.8
3,George Kittle,SF,TE,14,110,72,65.5,1154,4,85,10.5,16,1,10,10,0,0,0,16,223.4
4,Eric Ebron,IND,TE,14,99,59,59.6,662,12,53,6.7,11.2,3,-8,-2.7,1,1,1,14.6,204.4
5,Jared Cook,OAK,TE,14,93,63,67.7,848,6,45,9.1,13.5,0,0,0,0,0,0,14,195.8
6,Austin Hooper,ATL,TE,14,80,64,80,557,4,36,7,8.7,0,0,0,0,0,0,10.4,145.7
7,Trey Burton,CHI,TE,14,66,44,66.7,506,6,47,7.7,11.5,1,2,2,0,1,1,9.6,134.8
8,Rob Gronkowski,NE,TE,11,67,45,67.2,658,3,42,9.8,14.6,0,0,0,0,1,1,12.2,133.8
9,Vance McDonald,PIT,TE,13,63,46,73,522,4,75,8.3,11.3,0,0,0,0,2,1,9.6,124.2
10,Jimmy Graham,GB,TE,14,81,49,60.5,581,2,54,7.2,11.9,0,0,0,0,0,0,8.7,122.1
11,Jordan Reed,WAS,TE,13,84,54,64.3,558,2,34,6.6,10.3,0,0,0,0,1,1,9.3,120.8
12,OJ Howard,TB,TE,10,48,34,70.8,565,5,75,11.8,16.6,0,0,0,0,0,0,12,120.5
13,David Njoku,CLE,TE,14,78,50,64.1,504,3,28,6.5,10.1,0,0,0,0,0,0,8.5,118.4
14,Kyle Rudolph,MIN,TE,14,67,51,76.1,493,2,25,7.4,9.7,0,0,0,0,0,0,8,112.3
15,Chris Herndon IV,NYJ,TE,12,46,32,69.6,412,3,32,9,12.9,0,0,0,0,1,0,7.6,91.2
16,CJ Uzomah,CIN,TE,14,58,38,65.5,384,2,29,6.6,10.1,0,0,0,0,0,0,6.3,88.4
17,Evan Engram,NYG,TE,9,50,34,68,409,2,54,8.2,12,1,10,10,0,0,0,9.8,87.9
18,Jesse James,PIT,TE,14,38,30,78.9,423,2,51,11.1,14.1,0,0,0,0,0,0,6.2,87.3
19,Cameron Brate,TB,TE,14,42,26,61.9,242,6,21,5.8,9.3,0,0,0,0,1,1,6.1,85.2
20,Mark Andrews,BAL,TE,14,43,28,65.1,415,2,74,9.7,14.8,0,0,0,0,0,0,5.8,81.5
21,Benjamin Watson,NO,TE,14,41,32,78,365,2,32,8.9,11.4,0,0,0,0,0,0,5.8,80.5
22,Greg Olsen,CAR,TE,9,38,27,71.1,291,4,23,7.7,10.8,0,0,0,0,0,0,8.9,80.1
23,Dallas Goedert,PHI,TE,14,38,27,71.1,277,4,32,7.3,10.3,0,0,0,0,0,0,5.6,78.7
24,Gerald Everett,LAR,TE,14,44,28,63.6,292,3,40,6.6,10.4,0,0,0,0,0,0,5.5,77.2
25,Vernon Davis,WAS,TE,14,36,25,69.4,367,2,53,10.2,14.7,0,0,0,0,0,0,5.4,75.7
26,Ricky Seals-Jones,ARI,TE,14,69,33,47.8,340,1,40,4.9,10.3,0,0,0,0,0,0,5.2,73
27,Antonio Gates,LAC,TE,14,39,25,64.1,312,2,27,8,12.5,0,0,0,0,0,0,5.2,72.2
28,Jeff Heuerman,DEN,TE,11,48,31,64.6,281,2,36,5.9,9.1,0,0,0,0,0,0,6.5,71.1
29,Jordan Thomas,HOU,TE,14,25,19,76,209,4,39,8.4,11,0,0,0,0,0,0,4.6,63.9
30,Jonnu Smith,TEN,TE,13,31,20,64.5,258,3,61,8.3,12.9,0,0,0,0,1,0,4.9,63.8
31,Jack Doyle,IND,TE,6,33,26,78.8,245,2,20,7.4,9.4,0,0,0,0,1,1,10.2,61.5
32,Nick Vannett,SEA,TE,13,38,25,65.8,241,2,32,6.3,9.6,0,0,0,0,1,0,4.7,61.1
33,Tyler Higbee,LAR,TE,14,32,22,68.8,240,2,33,7.5,10.9,0,0,0,0,1,0,4.1,58
34,Rhett Ellison,NYG,TE,13,32,23,71.9,254,1,29,7.9,11,0,0,0,0,0,0,4.3,56.4
35,Geoff Swaim,DAL,TE,9,32,26,81.2,242,1,43,7.6,9.3,0,0,0,0,0,0,6.2,56.2
36,Ian Thomas,CAR,TE,14,37,27,73,224,0,27,6.1,8.3,0,0,0,0,0,0,3.5,49.4
37,Ryan Griffin,HOU,TE,12,38,21,55.3,282,0,47,7.4,13.4,0,0,0,0,0,0,4.1,49.2
38,Matt LaCosse,DEN,TE,14,29,19,65.5,217,1,44,7.5,11.4,0,0,0,0,0,0,3.3,46.7
39,Demetrius Harris,KC,TE,13,24,12,50,164,3,35,6.8,13.7,0,0,0,0,0,0,3.6,46.4
40,Jason Croom,BUF,TE,13,25,16,64,172,1,26,6.9,10.8,0,0,0,1,1,1,3.4,44.2
41,Virgil Green,LAC,TE,14,24,17,70.8,198,1,26,8.2,11.6,0,0,0,0,0,0,3.1,42.8
42,Anthony Firkser,TEN,TE,8,16,16,100,201,1,28,12.6,12.6,0,0,0,0,0,0,5.3,42.1
43,Nick Boyle,BAL,TE,14,35,21,60,198,0,25,5.7,9.4,0,0,0,0,0,0,2.9,40.8
44,James O'Shaughnessy,JAX,TE,12,34,21,61.8,189,0,17,5.6,9,0,0,0,0,0,0,3.3,39.9
45,Tyler Eifert,CIN,TE,4,19,15,78.9,179,1,29,9.4,11.9,0,0,0,0,0,0,9.7,38.9
46,Will Dissly,SEA,TE,4,14,8,57.1,156,2,66,11.1,19.5,0,0,0,0,0,0,9.6,38.6
47,Josh Hill,NO,TE,14,20,14,70,184,1,23,9.2,13.1,0,0,0,0,0,0,2.7,38.4
47,Charles Clay,BUF,TE,12,36,21,58.3,184,0,21,5.1,8.8,0,0,0,0,1,1,3.2,38.4
49,Lance Kendricks,GB,TE,14,22,17,77.3,144,1,22,6.5,8.5,0,0,0,0,0,0,2.7,37.4
50,Maxx Williams,BAL,TE,11,17,16,94.1,143,1,25,8.4,8.9,2,8,4,0,0,0,3.4,37.1
51,Michael Roberts,DET,TE,8,20,9,45,100,3,29,5,11.1,0,0,0,0,0,0,4.6,37
52,Mike Gesicki,MIA,TE,14,29,20,69,179,0,27,6.2,9,0,0,0,0,1,1,2.6,36.9
53,Levine Toilolo,DET,TE,14,19,16,84.2,204,0,39,10.7,12.8,0,0,0,0,0,0,2.6,36.4
54,Blake Jarwin,DAL,TE,14,25,18,72,180,0,22,7.2,10,0,0,0,0,0,0,2.6,36
55,Lee Smith,OAK,TE,14,11,10,90.9,73,3,30,6.6,7.3,0,0,0,0,0,0,2.5,35.3
56,Erik Swoope,NO,TE,7,10,8,80,87,3,26,8.7,10.9,0,0,0,0,0,0,5,34.7
57,Luke Stocker,TEN,TE,14,18,14,77.8,143,1,31,7.9,10.2,1,0,0,0,0,0,2.4,34.3
58,Jordan Akins,HOU,TE,14,20,15,75,192,0,28,9.6,12.8,0,0,0,0,0,0,2.4,34.2
59,Ed Dickson,SEA,TE,8,10,9,90,124,2,42,12.4,13.8,0,0,0,0,0,0,4.2,33.4
60,Dan Arnold,NO,TE,9,19,12,63.2,150,1,25,7.9,12.5,0,0,0,0,1,0,3.7,33
61,Mo Alie-Cox,IND,TE,7,11,6,54.5,112,2,34,10.2,18.7,0,0,0,0,0,0,4.2,29.2
62,Darren Fells,CLE,TE,14,8,7,87.5,96,2,49,12,13.7,0,0,0,0,0,0,2,28.6
63,Jordan Leggett,NYJ,TE,13,20,12,60,98,1,16,4.9,8.2,0,0,0,0,0,0,2.1,27.8
64,Hayden Hurst,BAL,TE,10,17,10,58.8,102,1,26,6,10.2,1,0,0,0,0,0,2.6,26.2
65,Garrett Celek,SF,TE,14,8,5,62.5,90,2,41,11.2,18,0,0,0,0,0,0,1.9,26
