Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Jeff Driskel,CIN,QB,4,61,15.2,8.9,9.8,0,68.9,68.9,30.46,49.9
2,Patrick Mahomes,KC,QB,11,715,65,100,5.9,0,60.6,60.6,338.72,47.4
3,Ryan Fitzpatrick,TB,QB,8,428,53.5,54.2,8.4,0,65.9,65.9,190.84,44.6
4,Cam Newton,CAR,QB,11,684,62.2,98.8,12.4,0,64.9,64.9,264.66,38.7
5,Drew Brees,NO,QB,11,722,65.6,97.3,3.3,0.1,52.8,52.8,277.9,38.5
6,Matt Ryan,ATL,QB,11,735,66.8,98.8,3,0,62,62,282.02,38.4
7,Jared Goff,LAR,QB,11,741,67.4,98.7,4.7,0,56.1,56.1,279.68,37.7
8,Philip Rivers,LAC,QB,11,659,59.9,96.9,2.1,0,54.3,54.3,237.66,36.1
9,Mitch Trubisky,CHI,QB,10,666,66.6,91.4,7.7,0,55.9,55.9,240.06,36
10,Ben Roethlisberger,PIT,QB,11,771,70.1,98.6,3.1,0.1,64.5,64.5,283.86,36.8
11,Andrew Luck,IND,QB,11,757,68.8,97.8,3,0.3,60.9,61,267.48,35.3
12,Aaron Rodgers,GB,QB,11,705,64.1,98.1,4.1,0,62.7,62.7,232.64,33
13,Kirk Cousins,MIN,QB,11,745,67.7,100,4.6,0.1,64.7,64.7,244.76,32.9
14,Deshaun Watson,HOU,QB,11,750,68.2,99.9,8.3,0,52.7,52.7,239.78,32
14,Jameis Winston,TB,QB,6,362,60.3,61.1,8.6,0,64.4,64.4,125.58,34.7
14,Colt McCoy,WAS,QB,2,87,43.5,11.8,11.5,0,69,69,28.18,32.4
17,Russell Wilson,SEA,QB,11,726,66,100,5.6,0.1,48.3,48.3,220.24,30.3
18,Andy Dalton,CIN,QB,11,627,57,91.4,2.6,0,60.8,60.8,191.54,30.5
19,Chase Daniel,CHI,QB,4,65,16.2,8.9,13.8,1.5,72.3,72.3,18.9,29.1
20,Dak Prescott,DAL,QB,11,704,64,99.2,8.2,0.1,56,56.1,199.98,28.4
21,Lamar Jackson,BAL,QB,11,236,21.5,28.7,27.5,0.8,51.3,52.1,69.5,29.4
22,Tom Brady,NE,QB,11,745,67.7,98.2,2.7,0.1,56.8,56.8,213.54,28.7
23,Carson Wentz,PHI,QB,9,597,66.3,88.3,4.4,0.2,59.8,59.8,178,29.8
24,Baker Mayfield,CLE,QB,9,603,67,76.5,4.1,0.2,55.7,55.9,166.38,27.6
24,Ryan Tannehill,MIA,QB,6,319,53.2,61,6.9,0,55.2,55.2,89.54,28.1
26,Marcus Mariota,TEN,QB,10,554,55.4,81.1,9.6,0.2,52.9,52.9,152.84,27.6
27,Jimmy Garoppolo,SF,QB,3,197,65.7,99.5,4.1,0,49.2,49.2,51.02,25.9
28,Eli Manning,NYG,QB,11,692,62.9,100,1.7,0,59.7,59.7,185.52,26.8
29,Cody Kessler,JAX,QB,1,38,38,5.1,5.3,0,84.2,84.2,10.04,26.4
30,Blake Bortles,JAX,QB,11,706,64.2,94.9,7.1,0,59.3,59.3,191.38,27.1
30,Josh Allen,BUF,QB,7,380,54.3,57.2,12.6,0,54.2,54.2,95.08,25
30,Matt Barkley,BUF,QB,1,73,73,32.9,4.1,0,38.4,38.4,17.08,23.4
33,Tyrod Taylor,CLE,QB,4,185,46.2,26.2,8.6,0,54.6,54.6,43.42,23.5
34,Matthew Stafford,DET,QB,11,732,66.5,99.1,2.9,0,58.3,58.3,184.04,25.1
34,CJ Beathard,SF,QB,6,340,56.7,46.6,5.6,0,55.3,55.3,87.98,25.9
36,Derek Carr,OAK,QB,11,703,63.9,98.3,2.6,0,57.2,57.2,174.38,24.8
37,Joe Flacco,BAL,QB,9,640,71.1,77.9,3,0,62.2,62.2,150.1,23.5
37,Nick Mullens,SF,QB,3,192,64,100,4.2,0,52.6,52.6,45.02,23.4
39,Alex Smith,WAS,QB,10,651,65.1,88.2,6.3,0,56.7,56.7,147,22.6
40,Case Keenum,DEN,QB,11,721,65.5,99.9,1.7,0,55.8,55.8,171.28,23.8
41,Brock Osweiler,MIA,QB,6,338,56.3,51.4,2.4,0,55,55,75.98,22.5
42,Sam Darnold,NYJ,QB,9,567,63,82.5,5.3,0,56.3,56.3,121.46,21.4
43,Taysom Hill,NO,QB,11,137,12.5,18.5,23.4,3.6,29.2,31.4,27.06,19.8
44,Josh Rosen,ARI,QB,9,488,54.2,78.3,2.7,0,53.3,53.3,94.44,19.4
45,Blaine Gabbert,TEN,QB,4,129,32.2,21.1,1.6,0,48.8,48.8,20.6,16
45,Josh McCown,NYJ,QB,2,120,60,17.5,3.3,0,69.2,69.2,20.34,17
47,Nick Foles,PHI,QB,2,151,75.5,20.2,2.6,0.7,57.6,57.6,26.24,17.4
48,Sam Bradford,ARI,QB,3,135,45,34.8,1.5,0,60.7,60.7,18.7,13.9
49,Nathan Peterman,BUF,QB,4,148,37,22.4,6.8,0,61.5,61.5,19.84,13.4
50,Derek Anderson,BUF,QB,2,118,59,34.5,0.8,0,60.2,60.2,12.5,10.6
51,Taylor Heinicke,CAR,QB,3,7,2.3,1,28.6,0,57.1,57.1,0.32,4.6
52,Geno Smith,LAC,QB,3,21,7,3.1,28.6,0,47.6,47.6,0.72,3.4
53,Joshua Dobbs,PIT,QB,4,11,2.8,1.4,18.2,0,45.5,45.5,0.36,3.3
54,AJ McCarron,OAK,QB,2,12,6,1.7,25,0,50,50,0.12,1
54,Matt Schaub,ATL,QB,2,10,5,1.3,10,10,90,90,1.1,11
54,Sean Mannion,LAR,QB,1,10,10,1.3,30,0,30,30,0.1,1
57,Joe Webb,HOU,QB,11,3,0.3,0.4,0,0,0,0,0,0
57,Cooper Rush,DAL,QB,1,6,6,0.8,0,0,0,0,0,0
57,Robert Griffin III,BAL,QB,1,1,1,0.3,0,0,0,0,0,0
60,Brian Hoyer,NE,QB,3,14,4.7,1.8,42.9,0,50,50,-0.02,-0.1
61,Jacoby Brissett,IND,QB,4,18,4.5,2.3,38.9,0,61.1,61.1,-0.62,-3.4
62,Teddy Bridgewater,NO,QB,4,19,4.8,2.6,36.8,0,42.1,42.1,-0.7,-3.7
63,Brandon Weeden,HOU,QB,1,1,1,0.1,100,0,100,100,-0.1,-10
63,Chad Kelly,DEN,QB,1,1,1,0.2,100,0,100,100,-0.1,-10
65,Deshone Kizer,GB,QB,1,14,14,1.9,0,0,50,50,0.2,1.4
66,Matt Cassel,DET,QB,1,7,7,0.9,14.3,0,100,100,-0.54,-7.7
