Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,11,210,1043,5,13,56,43,441,4,1,1,28.5,313.4
2,Saquon Barkley,NYG,RB,11,171,829,4.8,8,87,71,581,4,0,0,27.1,298
3,Alvin Kamara,NO,RB,11,150,706,4.7,11,73,57,519,4,0,0,25.7,282.5
4,Christian McCaffrey,CAR,RB,11,153,757,4.9,5,82,71,608,5,4,1,25.3,278.5
5,Melvin Gordon,LAC,RB,10,153,802,5.2,9,60,44,453,4,1,0,26.4,263.5
6,James Conner,PIT,RB,11,186,849,4.6,10,64,49,453,1,4,2,23.8,262.2
7,Ezekiel Elliott,DAL,RB,11,217,1074,4.9,6,62,47,363,2,4,1,23.2,255.7
8,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,21.5,236.2
9,James White,NE,RB,11,70,303,4.3,4,94,67,567,6,0,0,19.5,214
10,David Johnson,ARI,RB,11,185,692,3.7,6,49,34,325,2,2,2,16.8,184.7
11,Phillip Lindsay,DEN,RB,11,135,780,5.8,6,31,24,187,1,0,0,15.3,168.7
12,Tarik Cohen,CHI,RB,11,66,285,4.3,2,63,47,503,4,4,2,14.8,162.8
13,Joe Mixon,CIN,RB,9,142,673,4.7,5,40,31,243,1,0,0,18,161.6
14,TJ Yeldon,JAX,RB,11,92,385,4.2,1,66,46,423,4,1,1,14.2,155.8
15,Adrian Peterson,WAS,RB,11,183,758,4.1,6,20,16,177,1,3,2,14.1,155.5
16,Tevin Coleman,ATL,RB,11,122,506,4.1,2,37,29,268,5,1,0,13.8,151.4
17,Kenyan Drake,MIA,RB,11,89,408,4.6,4,55,38,298,3,1,1,13.6,149.6
18,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,14.6,146.4
19,Matt Breida,SF,RB,11,127,738,5.8,3,22,18,158,2,1,1,13.2,145.6
20,Aaron Jones,GB,RB,9,101,606,6,6,28,19,162,1,1,1,15.5,139.8
21,Lamar Miller,HOU,RB,10,157,773,4.9,3,26,17,132,1,1,1,14,139.5
22,Nick Chubb,CLE,RB,11,122,663,5.4,6,13,9,92,2,0,0,12.6,138.5
23,Austin Ekeler,LAC,RB,11,70,409,5.8,1,39,32,354,3,1,1,11.9,131.3
24,Isaiah Crowell,NYJ,RB,11,120,582,4.8,6,22,16,141,0,0,0,11.8,130.3
25,Dion Lewis,TEN,RB,11,129,428,3.3,1,48,43,311,1,1,1,11.6,127.9
26,Marlon Mack,IND,RB,7,109,556,5.1,4,17,11,84,1,0,0,16.4,115
27,Chris Carson,SEA,RB,9,144,635,4.4,4,13,10,88,0,3,2,12.6,113.3
