Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
379,Austin Ekeler,LAC,RB,6,CLE,7,60,8.6,0,0,0,0,0,0,0,6,6
379,Isaiah Crowell,NYJ,RB,7,MIN,11,29,2.6,0,3,1,21,0,0,0,6,6
379,Peyton Barber,TB,RB,9,CAR,11,31,2.8,0,3,2,9,0,0,0,6,6
382,Derrick Henry,TEN,RB,2,HOU,18,56,3.1,0,0,0,0,0,0,0,5.9,5.92
383,Chris Carson,SEA,RB,6,OAK,14,59,4.2,0,0,0,0,0,0,0,5.9,5.9
383,Bilal Powell,NYJ,RB,6,IND,16,59,3.7,0,1,0,0,0,1,0,5.9,5.9
383,Jordan Howard,CHI,RB,6,MIA,14,69,4.9,0,1,0,0,0,1,1,5.9,5.9
383,Sony Michel,NE,RB,3,DET,14,50,3.6,0,3,1,-1,0,0,0,5.9,5.9
383,Isaiah Crowell,NYJ,RB,2,MIA,12,35,2.9,0,3,2,4,0,0,0,5.9,5.9
383,Duke Johnson,CLE,RB,7,TB,1,-4,-4,0,4,4,23,0,0,0,5.9,5.9
389,Latavius Murray,MIN,RB,4,LAR,2,2,1,0,2,2,16,0,0,0,5.8,5.8
389,Jordan Wilkins,IND,RB,5,NE,6,39,6.5,0,2,2,9,0,1,1,5.8,5.8
391,Derrick Henry,TEN,RB,3,JAX,18,57,3.2,0,1,0,0,0,0,0,5.7,5.7
391,Aaron Jones,GB,RB,3,WAS,6,42,7,0,1,1,5,0,0,0,5.7,5.7
391,Matt Breida,SF,RB,9,OAK,12,44,3.7,0,1,1,3,0,0,0,5.7,5.7
391,Mark Walton,CIN,RB,4,ATL,5,9,1.8,0,4,2,28,0,0,0,5.7,5.7
391,Wendell Smallwood,PHI,RB,7,CAR,9,32,3.6,0,2,2,5,0,0,0,5.7,5.7
396,Derrick Henry,TEN,RB,5,BUF,11,56,5.1,0,1,0,0,0,0,0,5.6,5.6
397,Chris Ivory,BUF,RB,8,NE,6,34,5.7,0,2,1,11,0,0,0,5.5,5.5
397,Nyheim Hines,IND,RB,6,NYJ,3,14,4.7,0,3,2,21,0,0,0,5.5,5.5
399,Frank Gore,MIA,RB,2,NYJ,9,25,2.8,0,1,1,19,0,0,0,5.4,5.4
