Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,2,ARI,10,33,3.3,3,1,1,11,0,0,0,27.4,27.4
2,Alvin Kamara,NO,RB,1,TB,4,9,2.2,2,5,3,22,1,0,0,26.1,26.1
3,Melvin Gordon,LAC,RB,2,BUF,3,28,9.3,1,3,3,19,2,0,0,25.7,25.7
4,Kareem Hunt,KC,RB,7,CIN,3,9,3,1,4,3,29,2,0,0,24.8,24.8
5,Todd Gurley,LAR,RB,5,SEA,12,35,2.9,3,2,1,8,0,0,0,23.3,23.3
6,Alvin Kamara,NO,RB,9,LAR,3,8,2.7,2,2,2,17,1,0,0,22.5,22.5
7,Todd Gurley,LAR,RB,7,SF,6,13,2.2,2,2,1,12,1,0,0,21.5,21.5
8,Melvin Gordon,LAC,RB,6,CLE,4,23,5.8,3,1,0,0,0,0,0,20.3,20.3
9,Alvin Kamara,NO,RB,8,MIN,3,5,1.7,1,2,2,20,1,0,0,16.5,16.5
10,Duke Johnson,CLE,RB,9,KC,0,0,0,0,2,2,24,2,0,0,16.4,16.4
11,Nyheim Hines,IND,RB,4,HOU,0,0,0,0,2,2,23,2,0,0,16.3,16.3
12,Giovani Bernard,CIN,RB,4,ATL,2,11,5.5,2,1,1,14,0,0,0,15.5,15.5
13,Jay Ajayi,PHI,RB,1,ATL,2,12,6,2,0,0,0,0,0,0,15.2,15.2
13,Alvin Kamara,NO,RB,4,NYG,5,21,4.2,2,2,1,1,0,0,0,15.2,15.2
15,Todd Gurley,LAR,RB,6,DEN,5,17,3.4,2,3,1,4,0,0,0,15.1,15.1
16,Mike Davis,SEA,RB,4,ARI,4,29,7.2,2,0,0,0,0,0,0,14.9,14.9
16,Christian McCaffrey,CAR,RB,9,TB,6,15,2.5,2,1,1,4,0,0,0,14.9,14.9
18,James White,NE,RB,7,CHI,1,1,1,0,2,2,7,2,0,0,14.8,14.8
19,Isaiah Crowell,NYJ,RB,3,CLE,5,24,4.8,2,0,0,0,0,0,0,14.4,14.4
19,Javorius Allen,BAL,RB,3,DEN,2,2,1,1,1,1,12,1,0,0,14.4,14.4
21,Joe Mixon,CIN,RB,8,TB,3,9,3,2,1,1,4,0,0,0,14.3,14.3
21,Christian McCaffrey,CAR,RB,8,BAL,4,7,1.8,1,1,1,6,1,0,0,14.3,14.3
23,James White,NE,RB,9,GB,6,10,1.7,2,2,1,2,0,0,0,14.2,14.2
24,Kareem Hunt,KC,RB,9,CLE,3,20,6.7,2,0,0,0,0,0,0,14,14
25,David Johnson,ARI,RB,5,SF,5,19,3.8,2,0,0,0,0,0,0,13.9,13.9
26,Jordan Howard,CHI,RB,9,BUF,3,18,6,2,0,0,0,0,0,0,13.8,13.8
27,Alex Collins,BAL,RB,6,TEN,3,15,5,2,0,0,0,0,0,0,13.5,13.5
28,Marlon Mack,IND,RB,8,OAK,5,14,2.8,2,0,0,0,0,0,0,13.4,13.4
29,Melvin Gordon,LAC,RB,4,SF,2,8,4,0,5,3,14,1,2,0,13.2,13.2
30,Carlos Hyde,CLE,RB,3,NYJ,5,9,1.8,2,1,0,0,0,0,0,12.9,12.9
30,Adrian Peterson,WAS,RB,3,GB,4,9,2.2,2,0,0,0,0,0,0,12.9,12.9
32,James Conner,PIT,RB,6,CIN,5,7,1.4,2,0,0,0,0,0,0,12.7,12.7
33,Kareem Hunt,KC,RB,3,SF,3,6,2,2,0,0,0,0,0,0,12.6,12.6
33,Sony Michel,NE,RB,6,KC,4,6,1.5,2,0,0,0,0,0,0,12.6,12.6
35,Mark Ingram,NO,RB,5,WAS,3,4,1.3,2,0,0,0,0,0,0,12.4,12.4
35,James White,NE,RB,5,IND,1,0,0,0,4,4,24,1,0,0,12.4,12.4
37,Wendell Smallwood,PHI,RB,5,MIN,0,0,0,0,3,2,21,1,0,0,12.1,12.1
38,Tevin Coleman,ATL,RB,9,WAS,1,9,9,0,3,3,21,1,0,0,12,12
39,James Conner,PIT,RB,9,BAL,3,5,1.7,0,3,3,22,1,0,0,11.7,11.7
40,Dion Lewis,TEN,RB,9,DAL,4,9,2.2,0,2,2,27,1,0,0,11.6,11.6
41,Alvin Kamara,NO,RB,3,ATL,8,16,2,0,7,6,35,0,0,0,11.1,11.1
42,Todd Gurley,LAR,RB,1,OAK,5,19,3.8,0,2,1,19,1,0,0,10.8,10.8
43,Marlon Mack,IND,RB,7,BUF,5,24,4.8,1,0,0,0,0,0,0,10.4,10.4
44,Chris Thompson,WAS,RB,1,ARI,0,0,0,0,2,2,21,1,0,0,10.1,10.1
45,Joe Mixon,CIN,RB,5,MIA,3,12,4,0,1,1,18,1,0,0,10,10
46,James Conner,PIT,RB,2,KC,2,1,0.5,1,1,1,5,0,0,0,9.6,9.6
47,James White,NE,RB,4,MIA,3,10,3.3,0,2,1,14,1,0,0,9.4,9.4
48,Todd Gurley,LAR,RB,4,MIN,2,2,1,0,3,2,11,1,0,0,9.3,9.3
49,Chris Carson,SEA,RB,8,DET,4,20,5,1,1,1,2,0,0,0,9.2,9.2
