Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Nick Chubb,CLE,RB,4,OAK,3,3.7,100,0,100,100,25.5,850
2,CJ Anderson,CAR,RB,3,CIN,3,4.5,66.7,33.3,100,100,10.3,343.3
3,Malcolm Brown,LAR,RB,9,NO,6,10,0,16.7,16.7,16.7,8.8,146.7
4,Isaiah Crowell,NYJ,RB,5,DEN,25,40.3,60,4,64,64,33.1,132.4
5,Chris Ivory,BUF,RB,2,LAC,9,14.5,22.2,22.2,33.3,44.4,10.7,118.9
6,Raheem Mostert,SF,RB,9,OAK,14,25.5,50,0,50,50,14.6,104.3
7,Alfred Blue,HOU,RB,1,NE,10,13.5,50,0,50,50,9.6,96
8,Matt Breida,SF,RB,5,ARI,13,13.3,61.5,7.7,69.2,69.2,13.1,100.8
9,Isaiah Crowell,NYJ,RB,1,DET,24,40,41.7,0,41.7,41.7,25.2,105
10,Melvin Gordon,LAC,RB,6,CLE,38,63.3,47.4,10.5,52.6,57.9,38,100
11,Kapri Bibbs,WAS,RB,5,NO,8,13.1,50,0,50,50,6.9,86.2
12,Austin Ekeler,LAC,RB,1,KC,22,26.8,22.7,22.7,45.5,45.5,23.6,107.3
13,Matt Breida,SF,RB,2,DET,26,40.6,42.3,15.4,53.8,57.7,27.9,107.3
14,Marlon Mack,IND,RB,7,BUF,37,56.1,51.4,8.1,56.8,59.5,34.9,94.3
15,Tarik Cohen,CHI,RB,4,TB,29,47.5,44.8,27.6,69,72.4,33.4,115.2
16,Royce Freeman,DEN,RB,4,KC,16,26.7,50,0,50,50,12.7,79.4
17,Kareem Hunt,KC,RB,6,NE,31,57.4,32.3,19.4,48.4,51.6,32.5,104.8
18,LeGarrette Blount,DET,RB,5,GB,18,29,66.7,0,66.7,66.7,14.2,78.9
19,Roc Thomas,MIN,RB,7,NYJ,3,4.3,33.3,0,33.3,33.3,2.3,76.7
20,Adrian Peterson,WAS,RB,3,GB,32,52.5,59.4,0,59.4,59.4,27,84.4
21,Todd Gurley,LAR,RB,7,SF,36,59,41.7,13.9,52.8,55.6,30.6,85
22,Alvin Kamara,NO,RB,9,LAR,41,57.7,46.3,12.2,56.1,58.5,33.6,82
23,Tevin Coleman,ATL,RB,9,WAS,39,57.4,33.3,17.9,46.2,51.3,32.6,83.6
24,Kareem Hunt,KC,RB,7,CIN,46,65.7,32.6,13,43.5,45.7,37.1,80.7
25,Jay Ajayi,PHI,RB,1,ATL,29,40.3,51.7,0,51.7,51.7,20.2,69.7
26,Melvin Gordon,LAC,RB,2,BUF,36,63.2,25,19.4,41.7,44.4,30.6,85
27,James Conner,PIT,RB,5,ATL,45,73.8,46.7,8.9,55.6,55.6,37.5,83.3
28,Mike Boone,MIN,RB,6,ARI,3,4.2,33.3,0,33.3,33.3,2,66.7
29,Derrick Henry,TEN,RB,9,DAL,14,20,42.9,14.3,57.1,57.1,11.2,80
30,Alvin Kamara,NO,RB,1,TB,52,81.2,15.4,23.1,32.7,38.5,46.1,88.7
31,Kareem Hunt,KC,RB,9,CLE,50,78.1,34,4,36,38,33.1,66.2
31,Jordan Howard,CHI,RB,9,BUF,26,51,53.8,0,53.8,53.8,16.7,64.2
33,Adrian Peterson,WAS,RB,8,NYG,41,60.3,63.4,2.4,65.9,65.9,30.6,74.6
34,Phillip Lindsay,DEN,RB,1,SEA,26,35.1,57.7,11.5,65.4,69.2,18.2,70
35,Alvin Kamara,NO,RB,4,NYG,59,84.3,32.2,15.3,40.7,47.5,44.1,74.7
36,Sony Michel,NE,RB,6,KC,37,47.4,64.9,2.7,64.9,67.6,25.6,69.2
37,Alex Armah,CAR,RB,9,TB,10,16.1,10,0,10,10,6.1,61
38,Sony Michel,NE,RB,5,IND,28,40.6,64.3,3.6,67.9,67.9,18,64.3
39,Todd Gurley,LAR,RB,2,ARI,49,68.1,38.8,6.1,44.9,44.9,32.3,65.9
40,Todd Gurley,LAR,RB,6,DEN,58,78.4,48.3,8.6,51.7,56.9,39.5,68.1
41,James Conner,PIT,RB,8,CLE,56,78.9,42.9,10.7,51.8,53.6,41.2,73.6
42,Isaiah Crowell,NYJ,RB,3,CLE,29,46,55.2,10.3,62.1,65.5,19.1,65.9
43,Duke Johnson,CLE,RB,9,KC,35,46.7,2.9,25.7,28.6,28.6,29.6,84.6
44,Ito Smith,ATL,RB,5,PIT,12,16.7,25,8.3,33.3,33.3,8,66.7
45,Kenyan Drake,MIA,RB,8,HOU,37,56.1,32.4,5.4,37.8,37.8,23.5,63.5
46,James White,NE,RB,4,MIA,40,49.4,20,25,40,45,31.2,78
46,Kerryon Johnson,DET,RB,4,DAL,20,37,45,5,50,50,12.6,63
48,Phillip Lindsay,DEN,RB,4,KC,24,40,50,8.3,58.3,58.3,15.9,66.2
48,Spencer Ware,KC,RB,9,CLE,14,21.9,14.3,35.7,42.9,50,12.1,86.4
50,Saquon Barkley,NYG,RB,6,PHI,50,76.9,26,24,44,50,40.9,81.8
51,Malcolm Brown,LAR,RB,1,OAK,4,6.3,25,50,75,75,4.3,107.5
52,Chris Thompson,WAS,RB,1,ARI,33,41.8,15.2,21.2,33.3,36.4,24.8,75.2
53,Lamar Miller,HOU,RB,8,MIA,34,55.7,52.9,5.9,52.9,58.8,22.3,65.6
54,Ezekiel Elliott,DAL,RB,4,DET,53,76.8,47.2,7.5,54.7,54.7,37,69.8
55,Anthony Sherman,KC,FB,1,LAC,17,30.4,0,5.9,5.9,5.9,10.6,62.4
56,Alfred Morris,SF,RB,3,KC,23,33.8,60.9,0,60.9,60.9,12.7,55.2
57,Royce Freeman,DEN,RB,2,OAK,16,24.2,50,6.2,50,56.2,8.8,55
57,Zach Line,NO,FB,3,ATL,12,15.2,0,16.7,16.7,16.7,8.6,71.7
59,Marlon Mack,IND,RB,8,OAK,49,62.8,51,8.2,55.1,59.2,31.9,65.1
60,Mike Davis,SEA,RB,5,LAR,25,41.7,48,8,56,56,15.5,62
61,Royce Freeman,DEN,RB,7,ARI,18,30.5,72.2,0,72.2,72.2,9.7,53.9
62,Rashaad Penny,SEA,RB,6,OAK,13,20.3,69.2,15.4,84.6,84.6,9,69.2
63,Mark Ingram,NO,RB,5,WAS,36,54.5,44.4,8.3,50,52.8,21.3,59.2
64,Jamaal Williams,GB,RB,8,LAR,13,25,30.8,7.7,30.8,38.5,6.9,53.1
65,Nick Chubb,CLE,RB,1,PIT,4,4.5,75,0,75,75,2.1,52.5
66,LeGarrette Blount,DET,RB,7,MIA,21,32.8,47.6,0,47.6,47.6,11,52.4
67,Kareem Hunt,KC,RB,4,DEN,45,57.7,42.2,8.9,48.9,51.1,29.5,65.6
68,Sony Michel,NE,RB,4,MIA,33,40.7,75.8,0,75.8,75.8,20.2,61.2
