Week,Team,Home,PointSpread,OverUnder
9,GB,FALSE,-2,46
9,MIN,TRUE,-2,40
9,NE,TRUE,-14,52
9,NO,TRUE,-6,50
9,NYJ,TRUE,-8,42
9,PIT,TRUE,-6,48
9,ATL,FALSE,-8,44
9,NYG,FALSE,-2,49
9,DEN,FALSE,-4,45
9,PHI,FALSE,-3,44
9,LAC,TRUE,-4,50
9,CLE,FALSE,13,46
9,MIA,FALSE,4,44
9,CAR,TRUE,2,46
9,LAR,FALSE,2,40
9,WAS,FALSE,14,52
9,TEN,FALSE,6,50
9,JAX,FALSE,8,42
9,OAK,FALSE,6,48
9,SF,TRUE,8,44
9,TB,TRUE,2,49
9,IND,TRUE,4,45
9,DAL,TRUE,3,44
9,CHI,FALSE,4,50
10,NYJ,TRUE,-2,42
10,PHI,TRUE,-6,50
10,PIT,TRUE,-7,43
10,BAL,TRUE,-5,47
10,GB,TRUE,-10,50
10,LAR,TRUE,-7,42
10,DAL,FALSE,-1,44
10,CAR,FALSE,-4,42
10,NO,FALSE,-2,52
10,OAK,TRUE,-3,44
10,NE,FALSE,-7,52
10,DEN,TRUE,-4,42
10,SEA,TRUE,-3,44
10,CIN,TRUE,-10,46
10,BUF,FALSE,2,42
10,MIA,FALSE,6,50
10,CLE,FALSE,7,43
10,JAX,FALSE,5,47
10,DET,FALSE,10,50
10,CHI,FALSE,7,42
10,TB,TRUE,1,44
10,TEN,TRUE,4,42
10,WAS,TRUE,2,52
10,MIN,FALSE,3,44
10,NYG,TRUE,7,52
10,KC,FALSE,4,42
10,ARI,FALSE,3,44
10,HOU,FALSE,10,46
11,JAX,TRUE,-3,42
11,DAL,FALSE,-2,46
11,ATAL,TRUE,-4,48
11,BAL,TRUE,-3,41
11,CAR,TRUE,-7,44
11,DEN,FALSE,-2,42
11,OAK,FALSE,-1,50
11,NYJ,FALSE,-4,40
11,PHI,TRUE,-6,46
11,KC,FALSE,-3,46
11,MIN,TRUE,-1,45
11,SEA,TRUE,-14,40
11,ARI,TRUE,-4,48
11,NE,TRUE,-7,48
11,TEN,FALSE,3,42
11,MIA,TRUE,2,46
11,IND,FALSE,4,48
11,LAR,FALSE,3,41
11,WAS,FALSE,7,44
11,CHI,TRUE,2,42
11,DET,TRUE,1,50
11,HOU,TRUE,4,40
11,TB,FALSE,6,46
11,LAC,TRUE,3,46
11,GB,FALSE,1,45
11,SF,FALSE,14,40
11,CIN,FALSE,4,48
11,BUF,FALSE,7,48
12,DET,TRUE,-3,47
12,CAR,FALSE,-1,44
12,GB,TRUE,-8,45
12,HOU,TRUE,-4,51
12,IND,TRUE,-3,46
12,JAX,TRUE,-5,47
12,KC,TRUE,-4,41
12,NYJ,TRUE,-4,44
12,ATL,TRUE,-2,45
12,CIN,TRUE,-10,42
12,OAK,FALSE,-1,45
12,NYG,FALSE,-1,48
12,ARI,FALSE,-8,45
12,SEA,TRUE,-3,46
12,NE,FALSE,-2,43
12,CLE,TRUE,-6,41
12,PHI,FALSE,3,47
12,DAL,TRUE,1,44
12,CHI,FALSE,8,45
12,NO,FALSE,4,51
12,TB,FALSE,3,46
12,LAC,FALSE,5,47
12,BUF,FALSE,4,41
12,MIA,FALSE,4,44
12,MIN,FALSE,2,45
12,LAR,FALSE,10,42
12,TEN,TRUE,1,45
12,WAS,TRUE,1,48
12,SF,TRUE,8,45
12,PIT,FALSE,3,46
12,DEN,TRUE,2,43
12,BAL,FALSE,6,41
13,GB,FALSE,-2.5,46.5
13,BUF,TRUE,-3,42
13,CHI,TRUE,-6.5,43
13,CIN,FALSE,-7.5,44.5
13,ARI,FALSE,-3.5,43
13,MIA,TRUE,-3.5,43.5
13,SEA,FALSE,-2.5,43
13,NYJ,FALSE,-2.5,46.5
13,TB,TRUE,-1,46.5
13,TEN,TRUE,-3,43.5
13,KC,FALSE,-3,45.5
13,DEN,FALSE,-5.5,45
13,NE,TRUE,-7.5,49
13,CAR,FALSE,-6,50.5
13,PIT,TRUE,-10,50.5
13,WAS,TRUE,-2,43
13,DET,TRUE,2.5,46.5
13,HOU,FALSE,3,42
13,SF,FALSE,6.5,43
13,CLE,TRUE,7.5,44.5
13,LAR,TRUE,3.5,43
13,BAL,FALSE,3.5,43.5
13,MIN,TRUE,2.5,43
13,NYG,TRUE,2.5,46.5
13,ATL,FALSE,1,46.5
13,JAX,FALSE,3,43.5
13,OAK,TRUE,3,45.5
13,LAC,TRUE,5.5,45
13,PHI,FALSE,7.5,49
13,NO,TRUE,6,50.5
13,IND,FALSE,10,50.5
13,DAL,FALSE,2,43
14,ARI,TRUE,-10,46.5
14,SEA,FALSE,-10.5,42
14,CAR,TRUE,-8,45.5
14,CHI,TRUE,-4,43.5
14,CIN,TRUE,-1,49
14,CLE,TRUE,-2.5,43
14,JAX,TRUE,-1,46
14,KC,TRUE,-11.5,42
14,DET,FALSE,-3,41.5
14,NYJ,TRUE,-8,43
14,PHI,TRUE,-1,48
14,TB,TRUE,-6,52
14,CLE,TRUE,-6,43
14,GB,TRUE,-6,42.5
14,NE,FALSE,-4.5,46.5
14,NYG,FALSE,-2,47.5
14,MIN,FALSE,10,46.5
14,BAL,TRUE,10.5,42
14,ATL,FALSE,8,45.5
14,WAS,FALSE,4,43.5
14,PIT,FALSE,1,49
14,SF,FALSE,2.5,43
14,IND,FALSE,1,46
14,LAC,FALSE,11.5,42
14,LAR,TRUE,3,41.5
14,TEN,FALSE,8,43
14,BUF,FALSE,1,48
14,NO,FALSE,6,52
14,OAK,FALSE,6,43
14,DAL,FALSE,6,42.5
14,HOU,TRUE,4.5,46.5
14,MIA,TRUE,2,47.5
15,LAR,TRUE,-1,41.5
15,NYJ,FALSE,-3,41
15,IND,TRUE,-1.5,42
15,JAX,TRUE,-2,48
15,MIN,TRUE,-4,44
15,NE,TRUE,-14.5,48
15,CAR,FALSE,-4.5,46.5
15,KC,FALSE,-6.5,41
15,BUF,FALSE,-2,45.5
15,SEA,TRUE,-14.5,45.5
15,GB,FALSE,-4,47
15,PIT,TRUE,-7,45.5
15,CIN,FALSE,-7,40.5
15,LAC,TRUE,-1,46.5
15,ARI,FALSE,-3.5,51
15,NO,TRUE,-2.5,52
15,TB,FALSE,1,41.5
