Team,Home,PointSpread,OverUnder
SF,TRUE,-1,44
WAS,TRUE,-1.5,48.5
BAL,TRUE,-3,47.5
CHI,FALSE,-10,37.5
CAR,TRUE,-6,55
KC,FALSE,-8,51
MIA,TRUE,-3,44
MIN,TRUE,-4.5,49
DEN,TRUE,-1,46
SEA,TRUE,-1,48
LAR,FALSE,-1,60
NE,TRUE,-5.5,56.5
DAL,TRUE,-5.5,40.5
OAK,FALSE,1,44
ATL,FALSE,1.5,48.5
PIT,FALSE,3,47.5
BUF,TRUE,10,37.5
TB,FALSE,6,55
CLE,TRUE,8,51
NYJ,FALSE,3,44
DET,FALSE,4.5,49
HOU,FALSE,1,46
LAC,FALSE,1,48
NO,TRUE,1,60
GB,FALSE,5.5,56.5
TEN,FALSE,5.5,40.5
