Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
100,Jake Kumerow,GB,WR,13,ARI,2,1,50,11,0,11,5.5,11,0,0,0,0,0,0,2.1,2.1
100,Bennie Fowler,NYG,WR,13,CHI,2,1,50,11,0,11,5.5,11,0,0,0,0,0,0,2.1,2.1
100,Trent Taylor,SF,WR,13,SEA,1,1,100,11,0,11,11,11,0,0,0,0,0,0,2.1,2.1
103,Noah Brown,DAL,WR,13,NO,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
103,Dwayne Harris,OAK,WR,13,KC,1,1,100,9,0,9,9,9,0,0,0,0,0,0,1.9,1.9
103,Michael Floyd,WAS,WR,13,PHI,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.9,1.9
106,Willie Snead,BAL,WR,13,ATL,3,1,33.3,8,0,8,2.7,8,0,0,0,0,0,0,1.8,1.8
106,Josh Bellamy,CHI,WR,13,NYG,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
108,Russell Gage,ATL,WR,13,BAL,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
108,AJ Green,CIN,WR,13,DEN,1,1,100,7,0,7,7,7,0,0,0,0,0,0,1.7,1.7
108,Cameron Batson,TEN,WR,13,NYJ,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,1.7,1.7
111,Damion Ratley,CLE,WR,13,HOU,1,1,100,2,0,2,2,2,0,0,0,0,0,0,1.2,1.2
112,Malik Turner,SEA,WR,13,SF,1,1,100,1,0,1,1,1,0,0,0,0,0,0,1.1,1.1
113,Alex Erickson,CIN,WR,13,DEN,1,1,100,2,0,2,2,2,1,0,0,0,1,1,0.2,0.2
114,Allen Hurns,DAL,WR,13,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Austin Carr,NO,WR,13,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Justin Hardee,NO,WR,13,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Lance Lenoir,DAL,WR,13,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Tre'Quan Smith,NO,WR,13,DAL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Marvin Hall,ATL,WR,13,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
