Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Tarik Cohen,CHI,RB,13,NYG,8,30,3.8,0,14,12,156,0,1,0,37.6,37.64
2,Todd Gurley,LAR,RB,13,DET,23,132,5.7,2,5,3,33,0,0,0,34.5,34.5
3,Christian McCaffrey,CAR,RB,13,TB,10,106,10.6,0,10,9,55,1,0,0,34.1,34.1
4,Phillip Lindsay,DEN,RB,13,CIN,19,157,8.3,2,1,1,2,0,0,0,31.9,31.9
5,Ezekiel Elliott,DAL,RB,13,NO,23,76,3.3,0,6,6,60,1,0,0,25.6,25.6
6,James Conner,PIT,RB,13,LAC,15,60,4,2,4,3,14,0,0,0,22.4,22.4
7,Chase Edmonds,ARI,RB,13,GB,5,53,10.6,2,2,2,13,0,0,0,20.6,20.6
7,Saquon Barkley,NYG,RB,13,CHI,24,125,5.2,0,4,3,21,0,0,0,20.6,20.6
9,Jeffery Wilson,SF,RB,13,SEA,15,61,4.1,0,9,8,73,0,1,1,20.4,20.4
10,James White,NE,RB,13,MIN,6,26,4.3,0,9,7,92,0,0,0,18.8,18.8
11,Dalvin Cook,MIN,RB,13,NE,9,84,9.3,0,10,8,22,0,0,0,18.6,18.6
12,Nick Chubb,CLE,RB,13,HOU,9,31,3.4,1,3,3,41,0,0,0,16.2,16.2
13,Adrian Peterson,WAS,RB,13,PHI,9,98,10.9,1,0,0,0,0,0,0,15.8,15.8
14,Lamar Miller,HOU,RB,13,CLE,19,103,5.4,0,1,1,12,0,0,0,15.5,15.5
15,Justin Jackson,LAC,RB,13,PIT,8,63,7.9,1,1,1,19,0,0,0,15.2,15.2
15,Aaron Jones,GB,RB,13,ARI,11,36,3.3,1,4,4,16,0,0,0,15.2,15.2
15,Alvin Kamara,NO,RB,13,DAL,11,36,3.3,0,11,8,36,0,1,0,15.2,15.2
18,Isaiah Crowell,NYJ,RB,13,TEN,21,98,4.7,0,5,4,9,0,0,0,14.7,14.7
19,Jalen Richard,OAK,RB,13,KC,6,95,15.8,0,4,3,31,0,1,1,14.6,14.6
20,Nyheim Hines,IND,RB,13,JAX,4,5,1.2,0,9,9,50,0,0,0,14.5,14.5
21,James Develin,NE,RB,13,MIN,4,5,1.2,2,1,1,9,0,0,0,14.4,14.4
22,Chris Carson,SEA,RB,13,SF,13,69,5.3,0,4,3,39,0,0,0,13.8,13.8
23,Doug Martin,OAK,RB,13,KC,18,61,3.4,1,2,2,6,0,1,1,13.7,13.7
24,TJ Yeldon,JAX,RB,13,IND,8,16,2,0,8,7,49,0,0,0,13.5,13.5
25,Rashaad Penny,SEA,RB,13,SF,7,65,9.3,1,0,0,0,0,0,0,12.5,12.5
25,Derrick Henry,TEN,RB,13,NYJ,10,40,4,1,2,2,5,0,0,0,12.5,12.5
27,Kenyan Drake,MIA,RB,13,BUF,7,31,4.4,0,4,2,13,1,0,0,12.4,12.4
28,Spencer Ware,KC,RB,13,OAK,14,47,3.4,1,1,1,5,0,0,0,12.2,12.2
29,Joe Mixon,CIN,RB,13,DEN,12,82,6.8,0,2,2,13,0,0,0,11.5,11.5
29,Jaylen Samuels,PIT,FB,13,LAC,2,5,2.5,0,3,3,20,1,1,0,11.5,11.5
31,Giovani Bernard,CIN,RB,13,DEN,5,14,2.8,0,8,6,32,0,0,0,10.6,10.6
32,Ty Montgomery,BAL,RB,13,ATL,3,13,4.3,0,7,5,42,0,0,0,10.5,10.5
33,Corey Clement,PHI,RB,13,WAS,5,27,5.4,0,3,3,47,0,1,0,10.4,10.4
33,LeSean McCoy,BUF,RB,13,MIA,15,52,3.5,0,4,4,12,0,0,0,10.4,10.4
35,Peyton Barber,TB,RB,13,CAR,16,45,2.8,1,1,0,0,0,1,1,9.5,9.5
36,Austin Ekeler,LAC,RB,13,PIT,13,21,1.6,0,8,5,22,0,0,0,9.3,9.3
37,Jordan Howard,CHI,RB,13,NYG,16,76,4.8,0,1,1,4,0,0,0,9,9
38,Theo Riddick,DET,RB,13,LAR,8,32,4,0,4,3,26,0,0,0,8.8,8.8
39,Matt Breida,SF,RB,13,SEA,5,6,1.2,0,3,3,51,0,0,0,8.7,8.7
40,Josh Adams,PHI,RB,13,WAS,20,85,4.2,0,0,0,0,0,0,0,8.5,8.5
41,Gus Edwards,BAL,RB,13,ATL,21,82,3.9,0,0,0,0,0,0,0,8.2,8.2
41,Darren Sproles,PHI,RB,13,WAS,4,22,5.5,1,0,0,0,0,0,0,8.2,8.2
41,David Johnson,ARI,RB,13,GB,20,69,3.4,0,2,1,3,0,0,0,8.2,8.2
44,Sony Michel,NE,RB,13,MIN,17,63,3.7,0,1,1,7,0,0,0,8,8
44,Dontrell Hilliard,CLE,RB,13,HOU,0,0,0,0,4,4,40,0,0,0,8,8
46,Jamaal Williams,GB,RB,13,ARI,7,13,1.9,0,4,4,14,0,0,0,6.7,6.7
47,Damien Williams,KC,RB,13,OAK,5,38,7.6,0,2,2,7,0,0,0,6.5,6.5
48,Devontae Booker,DEN,RB,13,CIN,1,4,4,0,2,2,38,0,0,0,6.2,6.2
49,LeGarrette Blount,DET,RB,13,LAR,16,61,3.8,0,1,0,0,0,0,0,6.1,6.1
49,Rex Burkhead,NE,RB,13,MIN,7,20,2.9,0,2,2,21,0,0,0,6.1,6.1
51,Alfred Blue,HOU,RB,13,CLE,13,54,4.2,0,0,0,0,0,0,0,5.4,5.4
51,Dion Lewis,TEN,RB,13,NYJ,6,36,6,0,3,2,-2,0,0,0,5.4,5.4
53,Kenneth Dixon,BAL,RB,13,ATL,8,37,4.6,0,1,1,6,0,1,0,5.3,5.3
54,Chris Thompson,WAS,RB,13,PHI,3,3,1,0,5,3,18,0,1,0,5.1,5.1
55,Kyle Juszczyk,SF,FB,13,SEA,0,0,0,0,3,3,20,0,0,0,5,5
56,Patrick DiMarco,BUF,FB,13,MIA,0,0,0,0,1,1,38,0,0,0,4.8,4.8
56,Mark Ingram,NO,RB,13,DAL,7,27,3.9,0,3,2,1,0,0,0,4.8,4.8
58,Marlon Mack,IND,RB,13,JAX,8,27,3.4,0,1,1,6,0,0,0,4.3,4.3
