Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Travis Kelce,KC,TE,13,OAK,13,12,92.3,168,2,28,12.9,14,0,0,0,0,1,1,42.8,42.8
2,Jared Cook,OAK,TE,13,KC,8,7,87.5,100,1,29,12.5,14.3,0,0,0,0,0,0,26,26
3,Zach Ertz,PHI,TE,13,WAS,10,9,90,83,0,20,8.3,9.2,0,0,0,0,0,0,17.3,17.3
4,Eric Ebron,IND,TE,13,JAX,16,10,62.5,81,0,20,5.1,8.1,1,-9,-9,0,1,1,16.2,16.2
5,Austin Hooper,ATL,TE,13,BAL,5,5,100,44,1,17,8.8,8.8,0,0,0,0,0,0,15.4,15.4
6,Anthony Firkser,TEN,TE,13,NYJ,3,3,100,42,1,25,14,14,0,0,0,0,0,0,13.2,13.2
7,Levine Toilolo,DET,TE,13,LAR,6,4,66.7,90,0,39,15,22.5,0,0,0,0,0,0,13,13
7,George Kittle,SF,TE,13,SEA,9,6,66.7,70,0,28,7.8,11.7,0,0,0,0,0,0,13,13
7,Jimmy Graham,GB,TE,13,ARI,11,8,72.7,50,0,10,4.5,6.2,0,0,0,0,0,0,13,13
10,Demetrius Harris,KC,TE,13,OAK,6,3,50,39,1,16,6.5,13,0,0,0,0,0,0,12.9,12.9
11,Jordan Thomas,HOU,TE,13,CLE,3,3,100,32,1,15,10.7,10.7,0,0,0,0,0,0,12.2,12.2
12,Ian Thomas,CAR,TE,13,TB,5,5,100,46,0,20,9.2,9.2,0,0,0,0,0,0,9.6,9.6
13,Adam Shaheen,CHI,TE,13,NYG,2,2,100,5,1,3,2.5,2.5,0,0,0,0,0,0,8.5,8.5
14,CJ Uzomah,CIN,TE,13,DEN,7,5,71.4,33,0,20,4.7,6.6,0,0,0,0,0,0,8.3,8.3
15,Rhett Ellison,NYG,TE,13,CHI,7,4,57.1,42,0,15,6,10.5,0,0,0,0,0,0,8.2,8.2
16,Mark Andrews,BAL,TE,13,ATL,3,3,100,47,0,21,15.7,15.7,0,0,0,0,0,0,7.7,7.7
17,Lee Smith,OAK,TE,13,KC,1,1,100,1,1,1,1,1,0,0,0,0,0,0,7.1,7.1
18,Kyle Rudolph,MIN,TE,13,NE,3,3,100,38,0,23,12.7,12.7,0,0,0,0,0,0,6.8,6.8
18,Vance McDonald,PIT,TE,13,LAC,7,4,57.1,28,0,10,4,7,0,0,0,0,0,0,6.8,6.8
20,Cameron Brate,TB,TE,13,CAR,6,3,50,36,0,18,6,12,0,0,0,0,0,0,6.6,6.6
