Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections
Anthony Sherman,3000,29.24,TRUE,-10,53.5,31.75,KC,74,0,0,0,0,0.571428571,0.571428571,9.285714286,0.142857143,2.4,0,0,0,0,0.285714286,0.285714286,2,0,0.5,8.107276561
Ty Montgomery,3600,22.03,FALSE,9.5,56.5,23.5,GB,48,4,16.5,4.1,0.166666667,3.5,2.333333333,28,0,7.8,0.5,1.166666667,2.3,0.166666667,0.166666667,0,0,0,1.1,8.056770973
Doug Martin,4400,25.47,TRUE,3,50,23.5,OAK,78,4.5,16.5,3.7,0,0.833333333,0.666666667,0.833333333,0,2.4,0.5,1.833333333,3.7,0,0,0,0,0,0.2,8.003622437
Rashaad Penny,3900,31.28,FALSE,3,49.5,23.25,SEA,64,6.333333333,22.5,3.6,0,1.5,1,10.33333333,0,4.3,0.166666667,-0.333333333,-2,0,0,0,0,0,0,7.541420393
LeGarrette Blount,3500,22.97,TRUE,-3,49.5,26.25,DET,56,9.5,27.83333333,2.9,0.5,0.5,0.5,2.333333333,0,6.5,1.666666667,2.333333333,1.4,0.333333333,0,0,0,0,2.2,7.145457369
Nick Chubb,4700,17.07,FALSE,8,51,21.5,CLE,49,4.857142857,36.14285714,7.4,0.428571429,0.428571429,0,0,0,6.6,0.571428571,1.714285714,3,0.142857143,0,0,0,0,1,7.079235786
Damien Williams,3000,29.24,TRUE,-10,53.5,31.75,KC,95,0.428571429,0.142857143,0.3,0,0.428571429,0.428571429,2.571428571,0,0.7,0,0,0,0,0.142857143,0.142857143,1,0,0.2,6.584383189
CJ Anderson,3300,14.57,TRUE,2,44,21,CAR,73,2.666666667,14,5.2,0,0.5,0.166666667,4,0.166666667,3,0.5,1.833333333,3.7,0,0,0,0,0,0.2,6.503391446
Chase Edmonds,4200,28.93,TRUE,-1,43,22,ARI,68,2.857142857,7.428571429,2.6,0,1.857142857,1.714285714,7.285714286,0,3.2,0,0,0,0,0,0,0,0,0,6.130402468
Kenneth Dixon,3000,19.58,FALSE,-2,44,23,BAL,82,13,44,3.4,1,0,0,0,0,10.4,1,2,2,1,0,0,0,0,6.2,6.051897665
Duke Johnson,3900,17.07,FALSE,8,51,21.5,CLE,42,2.857142857,15.28571429,5.4,0,3.714285714,2.571428571,26.71428571,0,7.3,0.142857143,0,0,0,0.285714286,0.142857143,0.428571429,0,0.8,5.979727578
Tre Madden,3000,31.28,FALSE,3,49.5,23.25,SEA,113,0.166666667,0.333333333,2,0,0.333333333,0.166666667,1.166666667,0,0.3,0,0,0,0,0,0,0,0,0,5.710463213
Andy Janovich,3000,33.57,FALSE,10,53.5,21.75,DEN,88,0.142857143,0.285714286,2,0,0.285714286,0.285714286,6.142857143,0,0.9,0,0,0,0,0,0,0,0,0,5.599209652
Roosevelt Nix,3000,28.66,TRUE,-8,51,29.5,PIT,109,0,0,0,0,0.333333333,0.166666667,3.166666667,0,0.5,0,0,0,0,0,0,0,0,0,5.437681225
Wayne Gallman,3500,19.95,TRUE,1,43,21,NYG,72,2,7,3.5,0,1.714285714,1.142857143,8.857142857,0,2.6,0.285714286,0.714285714,2.5,0,0.285714286,0,0,0,0.1,5.385920813
CJ Prosise,3000,31.28,FALSE,3,49.5,23.25,SEA,91,0,0,0,0,1,1,7.333333333,0,1.7,0,0,0,0,0,0,0,0,0,5.357587569
Jaylen Samuels,3000,28.66,TRUE,-8,51,29.5,PIT,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.216292391
Alan Cross,2500,31.57,FALSE,4,54.5,25.25,TB,115,0,0,0,0,0.5,0.166666667,1,0,0.3,0,0,0,0,0.166666667,0,0,0,0,5.20152259
Gus Edwards,3000,19.58,FALSE,-2,44,23,BAL,102,6,21,3.5,0,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,5.089646018
Benjamin Cunningham,3200,24.5,TRUE,-7.5,44.5,26,CHI,110,0.666666667,1.333333333,2,0,0.333333333,0.166666667,1.5,0,0.4,0,0,0,0,0,0,0,0,0,4.668397537
Rob Kelley,3000,25.43,FALSE,-1,43,22,WAS,123,2,4,2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,4.605362399
Samaje Perine,3000,25.43,FALSE,-1,43,22,WAS,120,1.5,2.5,1.7,0,0.5,0.5,-1.5,0,0.6,0,0,0,0,0,0,0,0,0,4.476507159
Derrick Coleman,3000,28.93,TRUE,-1,43,22,ARI,105,0.285714286,0.428571429,1.5,0,0.285714286,0.285714286,2.428571429,0,0.6,0,0,0,0,0,0,0,0,0,4.331580178
Justin Davis,3000,21.97,TRUE,-9.5,56.5,33,LAR,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.136659442
Michael Burton,3000,24.5,TRUE,-7.5,44.5,26,CHI,115,0,0,0,0,0.333333333,0.333333333,2,0,0.5,0,0,0,0,0,0,0,0,0,3.732964809
Ameer Abdullah,3000,22.97,TRUE,-3,49.5,26.25,DET,112,0.5,0.5,1,0,0.5,0.5,6,0,1.2,0,0,0,0,0,0,0,0,0,3.65652194
TJ Logan,3000,28.93,TRUE,-1,43,22,ARI,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.420893839
Keith Smith,3000,25.47,TRUE,3,50,23.5,OAK,100,0.166666667,0,0,0,0.666666667,0.5,2.333333333,0,0.7,0.166666667,0,0,0,0.166666667,0.166666667,0.333333333,0,0.2,2.922616467
Jonathan Stewart,3300,19.95,TRUE,1,43,21,NYG,114,2,5.666666667,2.8,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,2.356136846
Trenton Cannon,3400,18.65,FALSE,7.5,44.5,18.5,NYJ,78,1.142857143,2.714285714,2.4,0,0.857142857,0.714285714,10.71428571,0,2.1,0,0,0,0,0,0,0,0,0,2.172089443
Elijhaa Penny,3000,19.95,TRUE,1,43,21,NYG,127,0.333333333,0.666666667,2,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,1.620339006
Alex Armah,3000,14.57,TRUE,2,44,21,CAR,87,0.666666667,1.666666667,2.5,0.166666667,0,0,0,0,1.2,0.166666667,0.166666667,1,0.166666667,0,0,0,0,1,0.633902697
Dontrell Hilliard,3000,17.07,FALSE,8,51,21.5,CLE,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139411444
Cameron Artis-Payne,3000,14.57,TRUE,2,44,21,CAR,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.838851154
