Team,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownAttempts,ThirdDownPercentage,RedZoneAttempts,RedZonePercentage,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSackedPercentage,OpponentQuarterbackHitsPercentage,PassingAttempts,CompletionPercentage,PassingYards,TeamPassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PasserRating
SF,21.2,255,767,4359,5.7,263,145,38.6,38,44.7,90,27.3,8.7,21.3,351,61.5,2423,6.9,11.2,18,83
CHI,28.7,344,766,4219,5.5,258,149,39.6,41,65.9,70,20.6,6.6,12.9,359,66.3,2576,7.2,10.8,22,97
CIN,23.8,286,709,3978,5.6,243,135,38.5,33,75.8,65,26.6,5.6,11.2,402,61.9,2636,6.6,10.6,22,88
BUF,14.8,178,754,3428,4.5,202,166,30.7,25,60,85,24.4,8.9,19.3,336,55.1,1758,5.2,9.5,6,56
DEN,23,276,738,4388,5.9,238,150,34.7,36,55.6,52,17.5,6.3,16.6,392,62.8,2655,6.8,10.8,14,84
CLE,22.2,266,795,4324,5.4,240,164,33.5,36,69.4,78,24.4,7.4,14.3,397,59.7,2480,6.2,10.5,19,83
TB,26.5,318,812,5312,6.5,307,140,49.3,47,59.6,67,22.3,6.3,17,449,67,3914,8.7,13,27,93
ARI,14.6,175,655,2872,4.4,172,142,30.3,21,71.4,68,25.2,8.3,19.7,327,57.2,1707,5.2,9.1,12,65
LAC,28.3,340,710,4793,6.8,260,130,39.2,41,61,57,18.8,5.4,16.3,348,69,3005,8.6,12.5,26,113
KC,37,444,746,5246,7,292,129,47.3,55,72.7,47,15.8,4.5,16.7,391,67.5,3503,9,13.3,37,117
IND,27.1,325,802,4535,5.7,271,166,48.2,47,66,54,18.4,2.8,12,442,68.1,3028,6.9,10.1,32,101
DAL,20.6,247,745,3982,5.3,232,159,39,37,48.6,74,22.1,11,21.2,337,65,2195,6.5,10,13,90
MIA,20.3,244,676,3625,5.4,192,146,32.9,25,48,67,23.3,8,18.5,334,65,2278,6.8,10.5,18,91
PHI,21.5,258,784,4329,5.5,263,153,40.5,43,55.8,74,24.8,7,17.3,413,69,2784,6.7,9.8,17,94
ATL,24.7,296,753,4531,6,264,155,47.7,35,65.7,87,34.9,7.1,19,441,71.4,3486,7.9,11.1,24,108
NYG,22.2,267,729,4202,5.8,221,150,36.7,38,47.4,87,34.8,8.6,16.5,402,69.2,2855,7.1,10.3,15,94
JAX,16.9,203,780,4022,5.2,224,179,43,27,48.1,64,19.9,7.4,17.5,400,61.2,2555,6.4,10.4,14,80
NYJ,20.2,243,734,3612,4.9,187,160,29.4,30,36.7,72,23.4,6.6,14.6,368,54.9,2185,5.9,10.8,12,64
DET,21.2,254,768,4080,5.3,253,153,35.9,42,47.6,70,24.5,7.5,13.9,412,66.5,2655,6.4,9.7,17,87
GB,23.4,281,764,4567,6,246,149,35.6,37,62.2,63,24.6,7.3,14.8,421,61.5,3072,7.3,11.9,20,98
CAR,25.3,304,733,4522,6.2,267,129,40.3,44,68.2,51,16.7,5.6,12.6,361,69.5,2556,7.1,10.2,22,102
NE,27.6,331,805,4741,5.9,275,152,40.8,41,63.4,42,11.9,3.5,11.3,405,65.4,2970,7.3,11.2,19,96
OAK,18.3,220,751,4163,5.5,231,148,38.5,35,51.4,72,25.1,8.4,15.9,387,68.2,2628,6.8,10,13,90
LAR,34.9,419,787,5279,6.7,303,142,44.4,63,58.7,61,17.7,5.9,12,383,67.6,3411,8.9,13.2,26,112
BAL,24.8,297,860,4484,5.2,280,176,47.2,43,62.8,46,12.2,4.8,10.7,435,61.1,2775,6.4,10.4,14,82
WAS,19.4,233,746,3881,5.2,227,157,36.9,33,54.5,77,24.6,6.9,16.6,378,62.2,2351,6.2,10,13,82
NO,34.9,419,767,4759,6.2,296,137,45.3,54,70.4,42,11.6,3.2,9.4,363,75.8,3119,8.6,11.3,29,125
SEA,26.6,319,743,4239,5.7,245,150,38.7,40,67.5,67,17.6,10.2,20.4,309,66.7,2290,7.4,11.1,25,109
PIT,28.8,346,802,4965,6.2,286,150,44.7,36,77.8,49,18.6,3.2,8.5,477,66,3577,7.5,11.4,25,95
HOU,25.2,302,784,4488,5.7,245,157,39.5,45,48.9,84,22.2,10.1,23.9,334,65.9,2602,7.8,11.8,20,98
TEN,18.4,221,714,3722,5.2,215,160,40,35,54.3,86,25.7,11.1,17.1,303,68.3,2097,6.9,10.1,12,90
MIN,22.9,275,774,4331,5.6,244,157,38.9,36,52.8,72,28.5,5.8,14.4,447,71.1,3115,7,9.8,22,100
