Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Christian McCaffrey,CAR,RB,16,ATL,21,101,4.8,0,13,12,77,0,0,0,32.8,32.8
2,Damien Williams,KC,RB,16,SEA,13,103,7.9,0,7,7,37,1,1,1,29,29
3,Jamaal Williams,GB,RB,16,NYJ,15,95,6.3,1,9,6,61,0,0,0,27.6,27.6
4,Chris Carson,SEA,RB,16,KC,27,116,4.3,2,0,0,0,0,0,0,26.6,26.6
5,Alvin Kamara,NO,RB,16,PIT,7,23,3.3,2,6,4,82,0,0,0,26.5,26.5
6,CJ Anderson,LAR,RB,16,ARI,20,167,8.4,1,3,1,-5,0,0,0,26.2,26.2
7,Elijah McGuire,NYJ,RB,16,GB,14,35,2.5,1,5,3,50,1,0,0,23.5,23.5
8,Doug Martin,OAK,RB,16,DEN,21,107,5.1,1,2,1,9,0,0,0,21.6,21.6
9,Sony Michel,NE,RB,16,BUF,18,116,6.4,1,0,0,0,0,0,0,20.6,20.6
10,Darren Sproles,PHI,RB,16,HOU,9,32,3.6,0,6,3,76,1,0,0,19.8,19.8
11,Saquon Barkley,NYG,RB,16,IND,21,43,2,1,7,5,34,0,0,0,18.7,18.7
11,Jacquizz Rodgers,TB,RB,16,DAL,2,2,1,1,7,7,55,0,0,0,18.7,18.7
13,Adrian Peterson,WAS,RB,16,TEN,26,119,4.6,0,2,1,8,0,0,0,16.7,16.7
14,Nick Chubb,CLE,RB,16,CIN,19,112,5.9,0,3,2,3,0,0,0,16.5,16.5
15,Derrick Henry,TEN,RB,16,WAS,21,84,4,1,1,1,8,0,0,0,16.2,16.2
16,Leonard Fournette,JAX,RB,16,MIA,18,43,2.4,1,5,3,28,0,0,0,16.1,16.1
17,Ezekiel Elliott,DAL,RB,16,TB,18,85,4.7,0,6,5,24,0,1,0,15.9,15.9
18,Jaylen Samuels,PIT,FB,16,NO,12,53,4.4,0,3,3,11,1,0,0,15.4,15.4
19,Jalen Richard,OAK,RB,16,DEN,4,11,2.8,1,5,4,40,0,0,0,15.1,15.1
20,Jordan Howard,CHI,RB,16,SF,13,53,4.1,1,3,2,17,0,0,0,15,15
21,Melvin Gordon,LAC,RB,16,BAL,12,41,3.4,1,3,3,13,0,0,0,14.4,14.4
