Rank,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Aaron Rodgers,GB,QB,16,NYJ,37,55,67.3,442,8,2,0,103.75,5,32,6.4,2,45.9,45.88
2,Deshaun Watson,HOU,QB,16,PHI,29,40,72.5,339,8.5,2,0,114.48,8,49,6.1,2,40.5,40.46
3,Nick Foles,PHI,QB,16,HOU,35,49,71.4,471,9.6,4,1,120.37,1,1,1,0,35.9,35.94
4,Ben Roethlisberger,PIT,QB,16,NO,33,50,66,380,7.6,3,0,108.75,2,4,2,0,32.6,32.6
5,Sam Darnold,NYJ,QB,16,GB,24,35,68.6,341,9.7,3,0,128.39,3,4,1.3,0,29,29.04
6,Russell Wilson,SEA,QB,16,KC,18,29,62.1,271,9.3,3,0,127.23,8,57,7.1,0,28.5,28.54
7,Patrick Mahomes,KC,QB,16,SEA,23,40,57.5,273,6.8,3,0,103.44,3,33,11,0,28.2,28.22
8,Andrew Luck,IND,QB,16,NYG,31,47,66,357,7.6,2,1,94.02,2,13,6.5,0,25.6,25.58
9,Baker Mayfield,CLE,QB,16,CIN,27,37,73,284,7.7,3,0,121.9,6,16,2.7,0,25,24.96
10,Eli Manning,NYG,QB,16,IND,25,33,75.8,309,9.4,1,1,101.7,2,0,0,1,24.4,24.36
11,Kirk Cousins,MIN,QB,16,DET,21,28,75,253,9,3,0,137.95,1,1,1,0,22.2,22.22
12,Matt Ryan,ATL,QB,16,CAR,15,26,57.7,239,9.2,3,0,126.92,1,-1,-1,0,20.5,20.46
13,Drew Brees,NO,QB,16,PIT,27,39,69.2,326,8.4,1,0,103.15,1,-1,-1,0,19.9,19.94
14,Jameis Winston,TB,QB,16,DAL,34,48,70.8,336,7,1,0,97.22,4,14,3.5,0,19.8,19.84
15,Jared Goff,LAR,QB,16,ARI,19,24,79.2,216,9,1,0,118.06,2,6,3,1,18.2,18.24
16,Jeff Driskel,CIN,QB,16,CLE,13,19,68.4,133,7,2,0,123.36,5,21,4.2,0,17.4,17.42
17,Dak Prescott,DAL,QB,16,TB,20,25,80,161,6.4,1,0,106.83,4,2,0.5,1,16.6,16.64
18,Lamar Jackson,BAL,QB,16,LAC,12,22,54.5,204,9.3,1,0,101.33,13,39,3,0,16.1,16.06
19,Case Keenum,DEN,QB,16,OAK,23,37,62.2,202,5.5,2,2,72.13,3,19,6.3,0,16,15.98
20,Taylor Heinicke,CAR,QB,16,ATL,33,53,62.3,274,5.2,1,3,58.22,3,33,11,0,15.3,15.26
21,Josh Allen,BUF,QB,16,NE,20,41,48.8,217,5.3,1,2,52.59,5,30,6,0,13.7,13.68
22,Mitch Trubisky,CHI,QB,16,SF,25,29,86.2,246,8.5,1,0,113.51,5,3,0.6,0,13.1,13.14
23,Ryan Tannehill,MIA,QB,16,JAX,15,22,68.2,146,6.6,1,1,82.77,3,22,7.3,0,11,11.04
24,Josh Johnson,WAS,QB,16,TEN,13,23,56.5,153,6.7,1,2,55.16,4,22,5.5,0,10.3,10.32
25,Nick Mullens,SF,QB,16,CHI,22,38,57.9,241,6.3,0,1,65.79,0,0,0,0,8.6,8.64
26,Josh Rosen,ARI,QB,16,LAR,12,23,52.2,87,3.8,0,0,61.32,4,49,12.2,0,8.4,8.38
27,Blaine Gabbert,TEN,QB,16,WAS,7,11,63.6,101,9.2,1,0,123.67,0,0,0,0,8,8.04
28,Tom Brady,NE,QB,16,BUF,13,24,54.2,126,5.2,1,2,48.26,0,0,0,0,7,7.04
29,Derek Carr,OAK,QB,16,DEN,19,26,73.1,167,6.4,0,0,89.74,4,-3,-0.8,0,6.4,6.38
30,Philip Rivers,LAC,QB,16,BAL,23,37,62.2,181,4.9,0,2,51.75,1,1,1,0,5.3,5.34
31,Marcus Mariota,TEN,QB,16,WAS,10,13,76.9,110,8.5,0,0,101.44,1,7,7,0,5.1,5.1
32,Matthew Stafford,DET,QB,16,MIN,18,32,56.2,116,3.6,0,0,64.06,0,0,0,0,4.6,4.64
33,Blake Bortles,JAX,QB,16,MIA,5,6,83.3,39,6.5,0,0,93.75,4,25,6.2,0,4.1,4.06
34,Cody Kessler,JAX,QB,16,MIA,12,17,70.6,106,6.2,0,0,86.89,1,2,2,0,3.4,3.44
35,Matt Cassel,DET,QB,16,MIN,5,11,45.5,45,4.1,0,0,57.01,1,14,14,0,3.2,3.2
36,Mike Glennon,ARI,QB,16,LAR,5,7,71.4,63,9,0,0,99.11,0,0,0,0,2.5,2.52
37,Kyle Allen,CAR,QB,16,ATL,4,4,100,38,9.5,0,0,106.25,0,0,0,0,1.5,1.52
38,Joe Webb,HOU,QB,16,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Nate Sudfeld,PHI,QB,16,HOU,0,1,0,0,0,0,0,39.58,0,0,0,0,0,0
40,Brian Hoyer,NE,QB,16,BUF,0,1,0,0,0,0,0,39.58,2,-2,-1,0,-0.2,-0.2
40,Sean Mannion,LAR,QB,16,ARI,0,0,0,0,0,0,0,0,2,-2,-1,0,-0.2,-0.2
42,Taysom Hill,NO,QB,16,PIT,0,1,0,0,0,0,1,0,0,0,0,0,-1,-1
