Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,12,61,197,3.2,15,16,8,69,3,0,0,12.4,148.6
2,Alvin Kamara,NO,RB,12,44,137,3.1,10,22,18,114,3,0,0,10.4,125.1
3,Melvin Gordon,LAC,RB,10,20,111,5.6,7,13,8,33,3,2,0,8.6,86.4
4,Christian McCaffrey,CAR,RB,12,32,85,2.7,5,13,11,69,5,2,1,7.1,85.4
5,James Conner,PIT,RB,12,33,88,2.7,9,7,6,36,1,1,0,6.9,82.4
6,Kareem Hunt,KC,RB,11,27,69,2.6,7,9,6,54,3,0,0,7.1,78.3
7,James White,NE,RB,12,16,29,1.8,3,18,12,84,6,0,0,6.4,77.3
8,Saquon Barkley,NYG,RB,12,38,86,2.3,5,13,9,58,3,0,0,6.1,73.4
9,Ezekiel Elliott,DAL,RB,12,31,96,3.1,5,14,9,56,2,1,0,5.5,66.2
10,Alex Collins,BAL,RB,10,21,94,4.5,7,4,2,11,1,1,1,6,59.5
11,David Johnson,ARI,RB,12,23,65,2.8,6,7,4,12,1,0,0,4.5,53.7
12,Joe Mixon,CIN,RB,10,19,47,2.5,5,6,5,36,1,0,0,4.9,49.3
13,Aaron Jones,GB,RB,10,18,88,4.9,6,4,2,9,0,0,0,4.8,47.7
14,Nick Chubb,CLE,RB,12,16,37,2.3,4,4,4,39,2,0,0,4,47.6
15,Tevin Coleman,ATL,RB,12,15,36,2.4,1,9,8,51,4,0,0,3.9,46.7
16,Tarik Cohen,CHI,RB,12,10,46,4.6,1,11,8,54,3,0,0,3.8,46.04
17,Adrian Peterson,WAS,RB,12,27,46,1.7,5,2,2,15,1,1,1,3.6,43.1
18,Phillip Lindsay,DEN,RB,12,22,60,2.7,5,5,4,23,0,0,0,3.5,42.3
19,Javorius Allen,BAL,RB,12,11,12,1.1,3,6,6,36,2,0,0,3.4,40.8
20,Jordan Howard,CHI,RB,12,24,76,3.2,5,3,2,5,0,1,1,3.3,39.1
21,Marlon Mack,IND,RB,8,20,69,3.4,4,2,2,11,0,0,0,4.8,38
22,Peyton Barber,TB,RB,12,27,52,1.9,4,5,2,12,1,1,1,3.1,37.4
23,Matt Breida,SF,RB,12,21,56,2.7,2,4,4,37,2,0,0,3.1,37.3
24,Derrick Henry,TEN,RB,12,23,63,2.7,5,1,1,-6,0,0,0,3.1,36.7
25,TJ Yeldon,JAX,RB,12,12,44,3.7,1,7,4,41,3,0,0,3,36.5
26,Leonard Fournette,JAX,RB,5,14,26,1.9,4,2,2,6,1,0,0,7,35.2
27,Kerryon Johnson,DET,RB,10,18,58,3.2,3,6,3,19,1,0,0,3.5,34.7
28,Carlos Hyde,JAX,RB,11,22,38,1.7,5,2,0,0,0,1,0,3.1,33.8
29,Nyheim Hines,IND,RB,12,18,52,2.9,1,7,6,42,2,0,0,2.8,33.4
30,Chris Carson,SEA,RB,10,22,47,2.1,4,3,3,15,0,0,0,3.3,33.2
31,Ito Smith,ATL,RB,12,18,58,3.2,4,2,2,13,0,1,0,2.8,33.1
32,Sony Michel,NE,RB,9,30,65,2.2,4,1,1,7,0,0,0,3.6,32.2
33,Mike Davis,SEA,RB,11,15,57,3.8,3,1,1,3,1,0,0,2.8,31
34,Duke Johnson,CLE,RB,12,3,1,0.3,0,6,4,38,3,0,0,2.5,29.9
35,Kenyan Drake,MIA,RB,12,11,38,3.5,3,6,2,3,1,1,1,2.4,29.1
36,Mark Ingram,NO,RB,8,16,44,2.8,4,0,0,0,0,0,0,3.6,28.4
37,Royce Freeman,DEN,RB,10,16,43,2.7,4,0,0,0,0,0,0,2.8,28.3
37,Isaiah Crowell,NYJ,RB,12,16,43,2.7,4,1,0,0,0,0,0,2.4,28.3
39,LeGarrette Blount,DET,RB,12,23,25,1.1,4,0,0,0,0,1,0,2.2,26.5
40,Latavius Murray,MIN,RB,12,13,29,2.2,3,2,2,10,0,0,0,2.2,25.9
41,Marshawn Lynch,OAK,RB,6,14,28,2,3,5,4,5,0,0,0,4.2,25.3
42,Dion Lewis,TEN,RB,12,20,39,2,1,7,5,35,1,0,0,2,24.4
43,Jay Ajayi,PHI,RB,4,11,28,2.5,3,2,1,4,0,1,1,5.8,23.2
44,Corey Clement,PHI,RB,10,16,57,3.6,2,2,2,13,0,1,0,2.3,23
45,Lamar Miller,HOU,RB,11,25,34,1.4,2,2,1,4,1,0,0,2.1,22.8
46,Austin Ekeler,LAC,RB,12,13,38,2.9,1,4,4,28,1,0,0,1.9,22.6
47,Giovani Bernard,CIN,RB,8,6,20,3.3,3,1,1,14,0,0,0,2.8,22.4
48,Wendell Smallwood,PHI,RB,12,10,24,2.4,1,5,3,28,1,0,0,1.8,22.2
49,Kapri Bibbs,WAS,RB,10,7,23,3.3,3,0,0,0,0,0,0,2,20.3
50,James Develin,NE,RB,12,3,4,1.3,3,1,1,-1,0,0,0,1.6,19.3
51,Rashaad Penny,SEA,RB,12,9,52,5.8,2,1,1,4,0,0,0,1.6,18.6
52,Doug Martin,OAK,RB,12,18,45,2.5,2,1,1,6,0,0,0,1.5,18.1
53,Jaylen Samuels,PIT,FB,10,1,-1,-1,0,3,3,22,2,0,0,1.7,17.1
54,Spencer Ware,KC,RB,12,11,20,1.8,2,2,1,4,0,0,0,1.3,15.4
55,Frank Gore,MIA,RB,12,13,41,3.2,0,3,3,22,1,0,0,1.3,15.3
56,Jordan Wilkins,IND,RB,12,4,25,6.2,1,6,5,17,0,0,0,1.3,15.2
57,Chase Edmonds,ARI,RB,12,5,26,5.2,2,0,0,0,0,0,0,1.2,14.6
58,Theo Riddick,DET,RB,10,7,19,2.7,0,10,8,39,0,0,0,1.4,13.8
59,Malcolm Brown,LAR,RB,12,8,16,2,0,1,1,18,1,0,0,1,12.4
60,Alex Armah,CAR,RB,12,3,2,0.7,2,0,0,0,0,0,0,1,12.2
61,Jamaal Williams,GB,RB,12,6,7,1.2,1,3,2,12,0,0,0,1,11.9
62,Chris Thompson,WAS,RB,6,3,1,0.3,0,4,3,24,1,0,0,1.9,11.5
63,Devontae Booker,DEN,RB,12,2,17,8.5,1,3,2,17,0,0,0,1,11.4
64,Zach Line,NO,FB,12,1,-1,-1,0,5,4,13,1,0,0,0.9,11.2
65,Josh Adams,PHI,RB,9,14,30,2.1,1,0,0,0,0,0,0,1.2,11
66,LeSean McCoy,BUF,RB,11,18,35,1.9,1,1,1,3,0,0,0,1,10.8
67,Gus Edwards,BAL,RB,7,7,23,3.3,1,0,0,0,0,0,0,1.5,10.3
68,Darren Sproles,PHI,RB,2,3,19,6.3,1,1,1,3,0,0,0,4.6,9.2
69,Ronald Jones II,TB,RB,5,5,13,2.6,1,2,1,5,0,0,0,1.8,8.8
70,Ty Montgomery,BAL,RB,10,4,27,6.8,1,2,0,0,0,0,0,0.9,8.7
71,Alfred Blue,HOU,RB,12,11,10,0.9,1,2,1,4,0,0,0,0.7,8.4
72,Justin Jackson,LAC,RB,5,2,23,11.5,1,0,0,0,0,0,0,1.7,8.3
73,Taquan Mizzell,CHI,RB,5,1,0,0,0,2,1,10,1,0,0,1.6,8
74,Alfred Morris,SF,RB,10,22,22,1,1,0,0,0,0,1,1,0.7,7.2
