Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
139,Keon Hatcher,OAK,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Marcus Johnson,IND,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Brian Quick,WAS,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Jehu Chesson,WAS,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Geremy Davis,LAC,WR,10,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Kamar Aiken,PHI,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Jojo Natson,LAR,WR,9,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Richie James,SF,WR,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Keenan Reynolds,SEA,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Daniel Brown,CHI,WR,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Ray-Ray McCloud,BUF,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Tim White,BAL,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Cody Core,CIN,WR,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Brice Butler,MIA,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Rod Streater,CLE,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,J'mon Moore,GB,WR,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Justin Watson,TB,WR,9,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Brandon Tate,NO,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Jawill Davis,NYG,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Javon Wims,CHI,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Nick Williams,LAR,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Cayleb Jones,MIN,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Rashad Greene,JAX,WR,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Cameron Batson,TEN,WR,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Deontay Burnett,NYJ,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Cam Phillips,BUF,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Breshad Perriman,CLE,WR,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Quadree Henderson,NYG,WR,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Leonte Carroo,MIA,WR,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Brandon Powell,DET,WR,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Tony Lippett,NYG,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Malik Turner,SEA,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Andy Jones,DET,WR,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Chad Beebe,MIN,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
