Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Jake Stoneburner,MIA,TE,4,NYJ,6,9.4,0,33.3,33.3,33.3,9.6,160
2,Gavin Escobar,DAL,TE,1,NYG,9,12.7,0,22.2,22.2,22.2,8.8,97.8
3,Austin Seferian-Jenkins,TB,TE,16,CHI,16,28.6,0,25,12.5,25,14,87.5
4,MyCole Pruitt,MIN,TE,14,ARI,5,7.4,0,40,40,40,5.6,112
5,Justin Perillo,GB,TE,10,DET,17,19.5,0,35.3,29.4,35.3,16.8,98.8
6,Richard Rodgers,GB,TE,13,DET,34,50.7,0,23.5,23.5,23.5,31.6,92.9
7,Mychal Rivera,OAK,TE,14,DEN,20,35.1,0,20,15,20,13.9,69.5
8,Antonio Gates,LAC,TE,12,JAX,33,43.4,0,18.2,12.1,18.2,21.3,64.5
9,Clive Walford,OAK,TE,10,MIN,15,23.4,0,20,13.3,20,9.8,65.3
10,Jordan Reed,WAS,TE,7,TB,38,59.4,0,34.2,28.9,34.2,30.2,79.5
11,Delanie Walker,TEN,TE,9,NO,47,66.2,0,17,14.9,17,30.5,64.9
12,Scott Chandler,NE,TE,7,NYJ,7,10.4,0,28.6,28.6,28.6,5.4,77.1
13,Tyler Eifert,CIN,TE,14,PIT,9,15.5,0,22.2,22.2,22.2,6.2,68.9
14,Cameron Brate,TB,TE,11,PHI,23,29.5,0,17.4,13,17.4,13.7,59.6
15,Rob Gronkowski,NE,TE,1,PIT,61,100,0,13.1,8.2,13.1,32.4,53.1
16,Zach Miller,CHI,TE,10,LAR,52,80,0,9.6,9.6,9.6,30.7,59
17,Jordan Reed,WAS,TE,15,BUF,50,87.7,0,14,14,14,27.4,54.8
18,Travis Kelce,KC,TE,1,HOU,56,80,0,10.7,10.7,10.7,31.6,56.4
19,Cameron Brate,TB,TE,8,ATL,27,38.6,0,7.4,7.4,7.4,12.8,47.4
19,Maxx Williams,BAL,TE,10,JAX,25,36.8,0,16,16,16,14,56
19,Phillip Supernaw,TEN,TE,14,NYJ,4,6.6,0,50,25,50,2.6,65
22,Austin Seferian-Jenkins,TB,TE,1,TEN,58,78.4,0,12.1,8.6,12.1,31,53.4
23,Clay Harbor,JAX,TE,3,NE,26,45.6,0,19.2,11.5,19.2,13.3,51.2
24,Troy Niklas,ARI,TE,8,CLE,34,42,0,5.9,5.9,5.9,15.2,44.7
25,James O'Shaughnessy,KC,TE,2,DEN,14,21.9,0,14.3,14.3,14.3,7.4,52.9
26,Greg Olsen,CAR,TE,3,NO,66,100,0,16.7,12.1,16.7,36.4,55.2
26,Ed Dickson,CAR,TE,4,TB,34,58.6,0,5.9,2.9,5.9,14.1,41.5
28,Jordan Reed,WAS,TE,16,PHI,66,88,0,16.7,13.6,16.7,36.9,55.9
28,Owen Daniels,DEN,TE,9,IND,43,82.7,0,20.9,14,20.9,25.2,58.6
28,Eric Ebron,DET,TE,1,LAC,30,63.8,0,16.7,13.3,16.7,15.3,51
31,Antonio Gates,LAC,TE,5,PIT,57,76,0,19.3,15.8,19.3,30.2,53
32,Delanie Walker,TEN,TE,15,NE,50,80.6,0,10,4,10,20.4,40.8
32,Brent Celek,PHI,TE,4,WAS,19,33.9,0,10.5,5.3,10.5,8,42.1
34,Clive Walford,OAK,TE,7,LAC,28,45.2,0,7.1,7.1,7.1,12.2,43.6
35,Luke Willson,SEA,TE,8,DAL,28,45.2,0,7.1,7.1,7.1,12.1,43.2
36,Rob Gronkowski,NE,TE,14,HOU,41,61.2,0,9.8,9.8,9.8,18.7,45.6
36,Kellen Davis,NYJ,TE,8,OAK,17,23.3,0,5.9,5.9,5.9,7.1,41.8
38,Tyler Eifert,CIN,TE,9,CLE,66,98.5,0,9.1,7.6,9.1,28.3,42.9
38,Blake Bell,SF,TE,12,ARI,19,33.9,0,15.8,15.8,15.8,9.7,51.1
40,Julius Thomas,JAX,TE,12,LAC,50,70.4,0,20,18,20,29.6,59.2
41,Tyler Eifert,CIN,TE,1,OAK,67,98.5,0,17.9,13.4,17.9,34.4,51.3
42,Zach Miller,CHI,TE,9,LAC,25,34.7,0,8,8,8,10.3,41.2
43,Tim Wright,DET,TE,7,MIN,4,7.4,0,25,25,25,2.3,57.5
44,Eric Ebron,DET,TE,7,MIN,46,85.2,0,10.9,10.9,10.9,19.9,43.3
45,Ryan Griffin,HOU,TE,12,NO,41,58.6,0,12.2,9.8,12.2,17.2,42
46,Benjamin Watson,NO,TE,8,NYG,65,83.3,0,15.4,13.8,15.4,32.7,50.3
47,Jordan Reed,WAS,TE,10,NO,48,77.4,0,8.3,6.2,8.3,17.9,37.3
48,Craig Stevens,TEN,TE,12,OAK,26,41.9,0,7.7,3.8,7.7,9,34.6
