Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
451,Vernon Davis,DEN,TE,13,LAC,3,2,66.7,25,0,16,8.3,12.5,0,0,0,0,0,0,4.5,4.5
451,Mychal Rivera,OAK,TE,2,BAL,5,3,60,15,0,7,3,5,0,0,0,0,0,0,4.5,4.5
451,Nick Boyle,BAL,TE,13,MIA,4,3,75,15,0,7,3.8,5,0,0,0,0,0,0,4.5,4.5
458,Owen Daniels,DEN,TE,6,CLE,3,2,66.7,24,0,18,8,12,0,0,0,0,0,0,4.4,4.4
458,Julius Thomas,JAX,TE,9,NYJ,8,3,37.5,14,0,7,1.8,4.7,0,0,0,0,0,0,4.4,4.4
458,Martellus Bennett,CHI,TE,13,SF,4,3,75,14,0,7,3.5,4.7,0,0,0,0,1,0,4.4,4.4
461,Clive Walford,OAK,TE,5,DEN,1,1,100,33,0,33,33,33,0,0,0,0,0,0,4.3,4.3
461,Crockett Gillmore,BAL,TE,1,DEN,4,2,50,23,0,14,5.8,11.5,0,0,0,0,0,0,4.3,4.3
461,James O'Shaughnessy,KC,TE,6,MIN,3,2,66.7,23,0,13,7.7,11.5,0,0,0,0,0,0,4.3,4.3
461,Jordan Cameron,MIA,TE,7,HOU,2,2,100,23,0,12,11.5,11.5,0,0,0,0,0,0,4.3,4.3
461,Julius Thomas,JAX,TE,10,BAL,5,2,40,23,0,12,4.6,11.5,0,0,0,0,0,0,4.3,4.3
461,Kyle Rudolph,MIN,TE,13,SEA,4,3,75,13,0,6,3.2,4.3,0,0,0,0,0,0,4.3,4.3
467,Kyle Rudolph,MIN,TE,8,CHI,2,2,100,22,0,16,11,11,0,0,0,0,0,0,4.2,4.2
467,Eric Ebron,DET,TE,4,SEA,3,2,66.7,22,0,19,7.3,11,0,0,0,0,0,0,4.2,4.2
467,Will Tye,NYG,TE,6,PHI,3,2,66.7,22,0,17,7.3,11,0,0,0,0,0,0,4.2,4.2
467,Anthony Fasano,TEN,TE,12,OAK,2,2,100,22,0,17,11,11,0,0,0,0,0,0,4.2,4.2
467,Nick Boyle,BAL,TE,4,PIT,4,3,75,12,0,8,3,4,0,0,0,0,0,0,4.2,4.2
467,Tim Wright,DET,TE,5,ARI,5,3,60,12,0,8,2.4,4,0,0,0,0,0,0,4.2,4.2
467,Heath Miller,PIT,TE,15,DEN,5,3,60,12,0,5,2.4,4,0,0,0,0,0,0,4.2,4.2
474,Clay Harbor,JAX,TE,14,IND,2,2,100,21,0,17,10.5,10.5,0,0,0,0,0,0,4.1,4.1
474,Ladarius Green,LAC,TE,13,DEN,6,2,33.3,21,0,16,3.5,10.5,0,0,0,0,0,0,4.1,4.1
474,Kyle Rudolph,MIN,TE,15,CHI,2,2,100,21,0,12,10.5,10.5,0,0,0,0,0,0,4.1,4.1
474,Anthony Fasano,TEN,TE,16,HOU,7,2,28.6,21,0,12,3,10.5,0,0,0,0,0,0,4.1,4.1
474,Jerome Cunningham,NYG,TE,16,MIN,2,2,100,21,0,12,10.5,10.5,0,0,0,0,0,0,4.1,4.1
479,Gavin Escobar,DAL,TE,11,MIA,3,2,66.7,20,0,15,6.7,10,0,0,0,0,0,0,4,4
479,Cooper Helfet,SEA,TE,14,BAL,2,2,100,20,0,17,10,10,0,0,0,0,0,0,4,4
479,Julius Thomas,JAX,TE,5,TB,2,2,100,20,0,15,10,10,0,0,0,0,0,0,4,4
479,CJ Fiedorowicz,HOU,TE,12,NO,2,2,100,20,0,14,10,10,0,0,0,0,0,0,4,4
483,Jermaine Gresham,ARI,TE,8,CLE,4,2,50,19,0,13,4.8,9.5,0,0,0,0,0,0,3.9,3.9
483,Jordan Cameron,MIA,TE,4,NYJ,9,2,22.2,19,0,11,2.1,9.5,0,0,0,0,0,0,3.9,3.9
483,Nick Boyle,BAL,TE,3,CIN,2,2,100,19,0,13,9.5,9.5,0,0,0,0,0,0,3.9,3.9
483,Ed Dickson,CAR,TE,3,NO,3,2,66.7,19,0,10,6.3,9.5,0,0,0,0,0,0,3.9,3.9
483,Rhett Ellison,MIN,TE,11,GB,3,2,66.7,19,0,18,6.3,9.5,0,0,0,0,0,0,3.9,3.9
483,Will Tye,NYG,TE,9,TB,6,2,33.3,19,0,15,3.2,9.5,0,0,0,0,0,0,3.9,3.9
483,Vance McDonald,SF,TE,9,ATL,5,2,40,19,0,13,3.8,9.5,0,0,0,0,0,0,3.9,3.9
483,Vernon Davis,DEN,TE,10,KC,4,2,50,19,0,11,4.8,9.5,0,0,0,0,0,0,3.9,3.9
483,Dwayne Allen,IND,TE,12,TB,4,2,50,19,0,11,4.8,9.5,0,0,0,0,0,0,3.9,3.9
483,Chris Gragg,BUF,TE,16,DAL,3,2,66.7,19,0,15,6.3,9.5,0,0,0,0,0,0,3.9,3.9
493,Jesse James,PIT,TE,12,SEA,2,1,50,8,0,8,4,8,0,0,0,0,0,0,3.8,3.8
493,Derek Carrier,WAS,TE,4,PHI,2,2,100,18,0,15,9,9,0,0,0,0,0,0,3.8,3.8
493,Levine Toilolo,ATL,TE,6,NO,3,2,66.7,18,0,11,6,9,0,0,0,0,0,0,3.8,3.8
