Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Davante Adams,GB,WR,14,28,15,53.6,133,11,16,4.8,8.9,0,0,0,0,0,0,6.9,96.3
2,DeAndre Hopkins,HOU,WR,14,23,13,56.5,119,8,16,5.2,9.2,0,0,0,0,0,0,5.2,72.9
3,Michael Thomas,NO,WR,14,24,19,79.2,129,6,17,5.4,6.8,0,0,0,0,0,0,4.8,67.9
4,Adam Thielen,MIN,WR,14,19,14,73.7,84,6,15,4.4,6,0,0,0,0,1,1,4.2,59.4
5,Keenan Allen,LAC,WR,14,15,11,73.3,102,6,20,6.8,9.3,0,0,0,0,0,0,4.2,59.2
6,Mike Williams,LAC,WR,14,13,7,53.8,48,6,20,3.7,6.9,2,22,11,1,0,0,4.1,58
7,JuJu Smith-Schuster,PIT,WR,14,27,15,55.6,88,4,18,3.3,5.9,0,0,0,0,0,0,3.6,49.8
8,Tyler Boyd,CIN,WR,14,10,9,90,73,5,14,7.3,8.1,0,0,0,0,0,0,3.3,46.3
9,Tyreek Hill,KC,WR,14,16,10,62.5,51,5,14,3.2,5.1,2,2,1,0,0,0,3.2,45.3
10,Alshon Jeffery,PHI,WR,11,12,7,58.3,58,5,16,4.8,8.3,0,0,0,0,0,0,3.9,42.8
11,Julian Edelman,NE,WR,10,19,13,68.4,101,3,17,5.3,7.8,1,15,15,0,0,0,4.3,42.6
12,Odell Beckham Jr,NYG,WR,12,20,7,35,54,5,20,2.7,7.7,1,-1,-1,0,0,0,3.5,42.3
13,Jaron Brown,SEA,WR,13,6,6,100,60,5,18,10,10,0,0,0,0,0,0,3.2,42
14,Chris Conley,KC,WR,14,9,7,77.8,48,5,15,5.3,6.9,0,0,0,0,0,0,3,41.8
