Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Brice Butler,DAL,WR,3,ARI,7,14.9,0,28.6,28.6,28.6,17,242.9
2,Jesus Wilson,TB,WR,16,CAR,4,6,0,25,25,25,8.8,220
3,Mack Hollins,PHI,WR,7,WAS,8,12.3,0,12.5,12.5,12.5,13.4,167.5
4,Jakeem Grant,MIA,WR,16,KC,11,19.3,9.1,54.5,45.5,63.6,24,218.2
5,Tommylee Lewis,NO,WR,14,ATL,6,11.5,0,33.3,33.3,33.3,11,183.3
6,Johnny Holton,OAK,WR,9,MIA,7,11.1,0,14.3,14.3,14.3,11.4,162.9
7,Josh Reynolds,LAR,WR,2,WAS,2,4,0,50,50,50,3.8,190
8,Andre Roberts,ATL,WR,3,DET,1,1.5,0,100,100,100,2.2,220
9,Jakeem Grant,MIA,WR,14,NE,9,12.3,0,44.4,22.2,44.4,12.2,135.6
10,Justin Hunter,PIT,WR,16,HOU,6,9.8,0,16.7,16.7,16.7,7.5,125
11,Johnny Holton,OAK,WR,4,DEN,12,22.2,0,8.3,8.3,8.3,13.4,111.7
12,Alex Erickson,CIN,WR,11,DEN,11,20,0,18.2,18.2,18.2,12.2,110.9
13,Darrius Heyward-Bey,PIT,WR,7,CIN,5,7.2,0,20,20,20,5.4,108
14,Julio Jones,ATL,WR,12,TB,46,71.9,2.2,32.6,28.3,34.8,53.8,117
15,Aldrick Robinson,SF,WR,6,WAS,15,20.8,0,33.3,13.3,33.3,14.6,97.3
16,Marvin Hall,ATL,WR,6,MIA,12,21.1,0,16.7,8.3,16.7,11,91.7
17,Braxton Miller,HOU,WR,6,CLE,7,10.6,0,28.6,28.6,28.6,7.5,107.1
18,Bernard Reedy,TB,WR,9,NO,2,3.4,0,50,50,50,2.5,125
19,Michael Crabtree,OAK,WR,2,NYJ,35,61.4,0,17.1,17.1,17.1,32,91.4
20,Tyreek Hill,KC,WR,13,NYJ,42,91.3,0,21.4,14.3,21.4,39.5,94
21,Cordarrelle Patterson,OAK,WR,6,LAC,17,29.3,17.6,5.9,23.5,23.5,13,76.5
22,Jordan Taylor,DEN,WR,11,CIN,2,2.5,0,50,50,50,2.4,120
23,Vince Mayle,BAL,WR,5,OAK,9,13.6,11.1,0,11.1,11.1,6.2,68.9
24,TJ Jones,DET,WR,15,CHI,13,20.6,0,23.1,23.1,23.1,11.6,89.2
25,De'Anthony Thomas,KC,WR,5,HOU,11,14.3,0,9.1,9.1,9.1,8,72.7
26,Freddie Martino,TB,WR,16,CAR,9,13.4,0,22.2,22.2,22.2,7.7,85.6
26,Chris Thompson,HOU,WR,5,KC,3,4.7,0,33.3,33.3,33.3,2.9,96.7
28,Jaydon Mickens,JAX,WR,15,HOU,30,41.7,0,16.7,13.3,16.7,22.1,73.7
29,Kenny Golladay,DET,WR,10,CLE,11,21.2,0,27.3,18.2,27.3,8.4,76.4
30,Allen Robinson,JAX,WR,1,HOU,3,4.7,0,33.3,33.3,33.3,2.7,90
31,Russell Shepard,CAR,WR,1,SF,20,29.9,0,10,10,10,13.3,66.5
32,Stefon Diggs,MIN,WR,3,TB,52,70.3,0,21.2,15.4,21.2,40.3,77.5
33,Robert Woods,LAR,WR,10,HOU,52,78.8,0,19.2,15.4,19.2,40.1,77.1
34,Khalif Raymond,NYG,WR,11,KC,2,2.9,50,50,100,100,2.1,105
35,Bennie Fowler,DEN,WR,12,OAK,17,28.8,0,23.5,17.6,23.5,12.3,72.4
36,Jamison Crowder,WAS,WR,12,NYG,37,52.1,0,27,18.9,27,30.1,81.4
37,Keenan Allen,LAC,WR,11,BUF,53,71.6,1.9,24.5,24.5,26.4,43.2,81.5
38,Andre Holmes,BUF,WR,8,OAK,21,30.4,0,19,14.3,19,14.1,67.1
39,Brandon Tate,BUF,WR,15,MIA,4,6.3,0,25,25,25,3.1,77.5
40,Sammy Watkins,LAR,WR,3,SF,44,65.7,0,15.9,13.6,15.9,31.6,71.8
41,Tyler Boyd,CIN,WR,12,CLE,15,24.6,0,13.3,13.3,13.3,9.7,64.7
42,Deonte Thompson,BUF,WR,7,TB,21,30.9,4.8,19,23.8,23.8,17.7,84.3
43,Tavon Austin,LAR,WR,5,SEA,16,21.6,37.5,31.2,56.2,68.8,12.1,75.6
44,Josh Malone,CIN,WR,8,IND,19,33.9,0,15.8,10.5,15.8,11.5,60.5
44,Kelvin Benjamin,BUF,WR,11,LAC,4,6.2,0,25,25,25,3,75
44,Bernard Reedy,TB,WR,7,BUF,2,2.8,50,0,50,50,1,50
44,Eric Weems,TEN,WR,7,CLE,1,1.4,0,100,100,100,1.5,150
48,JuJu Smith-Schuster,PIT,WR,8,DET,51,79.7,0,19.6,13.7,19.6,35.3,69.2
49,T.Y. Hilton,IND,WR,9,HOU,60,90.9,0,15,8.3,15,37.5,62.5
