Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Robert Tonyan Jr.,GB,WR,10,13,1.3,2,0,15.4,7.7,15.4,12.4,95.4
2,Tim White,BAL,WR,3,2,0.7,0.8,0,50,50,50,2.4,120
3,Isaiah McKenzie,BUF,WR,2,10,5,6.8,30,10,40,40,5.6,56
4,Curtis Samuel,CAR,WR,7,112,16,22.4,3.6,20.5,18.8,24.1,68.2,60.9
5,Aldrick Robinson,MIN,WR,8,97,12.1,18.3,0,15.5,9.3,15.5,46.9,48.4
6,Brandon Zylstra,MIN,WR,10,7,0.7,1,0,14.3,14.3,14.3,3.3,47.1
7,Dwayne Harris,OAK,WR,9,14,1.6,2.4,14.3,35.7,50,50,9.3,66.4
8,Albert Wilson,MIA,WR,7,231,33,48.2,3.5,15.2,15.2,19,99.78,43.2
9,Tyreek Hill,KC,WR,11,632,57.5,88.4,2.1,14.9,12.3,16.9,267.7,42.4
10,Tavon Austin,DAL,WR,6,106,17.7,18.5,5.7,9.4,12.3,15.1,37.5,35.4
11,DeSean Jackson,TB,WR,10,388,38.8,54.1,1,16,10.6,17,151,38.9
12,Cordarrelle Patterson,NE,WR,10,161,16.1,23.4,19.9,9.9,27.3,29.8,61.7,38.3
13,De'Anthony Thomas,KC,WR,5,36,7.2,10.7,2.8,13.9,11.1,16.7,12.5,34.7
14,Michael Thomas,NO,WR,10,596,59.6,87,0,15.3,13.8,15.3,241.2,40.5
15,Calvin Ridley,ATL,WR,10,396,39.6,58.8,1.5,13.4,11.4,14.9,139.9,35.3
16,Julio Jones,ATL,WR,10,545,54.5,80.9,0.2,20.4,13.6,20.6,227.9,41.8
17,Davante Adams,GB,WR,10,622,62.2,93.4,0,17,11.6,17,233.3,37.5
18,AJ Green,CIN,WR,8,442,55.2,72.2,0,17.2,10.2,17.2,154.7,35
19,T.Y. Hilton,IND,WR,8,420,52.5,75.9,0,15,9,15,138.5,33
20,Adam Thielen,MIN,WR,10,653,65.3,96.7,0.3,17.9,13.3,18.2,255.3,39.1
21,Antonio Brown,PIT,WR,10,668,66.8,94.9,0,16.3,9.3,16.3,217.7,32.6
22,Odell Beckham Jr,NYG,WR,10,597,59.7,94.8,0.8,17.8,12.6,18.8,214.38,35.9
22,Cooper Kupp,LAR,WR,8,439,54.9,72,0.9,12.8,10,13.7,138.1,31.5
24,Mike Evans,TB,WR,10,602,60.2,84,0,15.1,9.3,15.1,201.7,33.5
25,DeAndre Hopkins,HOU,WR,10,682,68.2,99.4,0.1,14.1,10.3,14.4,220.3,32.3
25,Derrick Willies,CLE,WR,5,30,6,7.7,0,16.7,10,16.7,9.1,30.3
27,Leonte Carroo,MIA,WR,3,17,5.7,8.9,5.9,5.9,11.8,11.8,4.4,25.9
28,Tyler Boyd,CIN,WR,10,532,53.2,86.9,0.4,15.2,11.1,15.8,170.9,32.1
29,Keenan Allen,LAC,WR,10,510,51,83.5,1.6,17.1,13.7,18.6,170.1,33.4
29,Will Fuller,HOU,WR,7,375,53.6,77,0,12,8.5,12,115.3,30.7
31,D.J. Moore,CAR,WR,10,343,34.3,54.2,2.3,11.4,11.1,13.7,102.6,29.9
32,Mike Williams,LAC,WR,10,363,36.3,59.4,1.1,9.6,6.6,10.7,91,25.1
33,Stefon Diggs,MIN,WR,9,547,60.8,81,1.3,19,14.3,20.3,189.9,34.7
34,Emmanuel Sanders,DEN,WR,10,574,57.4,86.3,0.7,13.9,11.3,14.8,179.72,31.3
35,Chris Godwin,TB,WR,10,403,40.3,56.2,0,14.1,9.9,14.1,121.3,30.1
36,Golden Tate,PHI,WR,9,421,46.8,73.5,1,19.2,13.1,20.2,136.8,32.5
37,Ryan Switzer,PIT,WR,10,117,11.7,16.6,3.4,21.4,21.4,24.8,43.1,36.8
38,Brandin Cooks,LAR,WR,11,672,61.1,89.5,1,12.5,9.8,13.5,198.5,29.5
39,JuJu Smith-Schuster,PIT,WR,10,590,59,83.8,0.2,15.8,11,15.9,186.9,31.7
40,Tyler Lockett,SEA,WR,10,565,56.5,85.1,1.2,8.7,8,9.9,140.4,24.8
41,Geronimo Allison,GB,WR,5,241,48.2,59.1,0,12.4,8.3,12.4,62.3,25.9
42,Robert Woods,LAR,WR,11,725,65.9,96.5,1.8,12.4,9.9,14.2,193.5,26.7
42,John Brown,BAL,WR,10,501,50.1,66.6,0.6,13.6,7.6,14.2,127.8,25.5
44,Anthony Miller,CHI,WR,9,391,43.4,64.1,0.8,11.3,7.4,12,96.2,24.6
45,Tyrell Williams,LAC,WR,10,491,49.1,80.4,0.4,8.6,6.1,9,117.4,23.9
45,Marvin Hall,ATL,WR,10,119,11.9,17.7,0.8,9.2,8.4,10.1,29.2,24.5
47,Kenny Golladay,DET,WR,10,609,60.9,90.5,0.2,12.3,7.9,12.5,155.2,25.5
47,Marcus Johnson,IND,WR,5,95,19,26.2,1.1,8.4,7.4,9.5,22,23.2
49,Josh Gordon,NE,WR,8,405,50.6,68.2,0,12.8,6.7,12.8,100.4,24.8
50,Ted Ginn,NO,WR,4,170,42.5,60.9,1.8,12.9,8.8,14.7,41.1,24.2
51,Julian Edelman,NE,WR,6,373,62.2,88,1.3,15,12.6,16.9,107.12,28.7
51,Tre'Quan Smith,NO,WR,10,372,37.2,54.3,0,8.9,5.9,8.9,89.1,24
53,Sammy Watkins,KC,WR,10,462,46.2,64.6,1.1,11.9,9.7,13,121.1,26.2
