Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,11,210,1043,5,13,56,43,441,4,1,1,28.5,313.4
2,Alvin Kamara,NO,RB,10,136,617,4.5,11,72,56,510,4,0,0,27.2,271.7
3,Saquon Barkley,NYG,RB,10,158,728,4.6,7,79,64,540,3,0,0,26.2,261.8
4,James Conner,PIT,RB,10,173,796,4.6,10,60,45,411,1,3,1,25,249.7
5,Melvin Gordon,LAC,RB,9,143,741,5.2,7,58,42,448,4,1,0,27,242.9
6,Kareem Hunt,KC,RB,11,181,824,4.6,7,35,26,378,7,0,0,21.5,236.2
7,Ezekiel Elliott,DAL,RB,10,191,953,5,5,56,42,341,2,4,1,22.7,227.4
8,Christian McCaffrey,CAR,RB,10,136,632,4.6,4,71,60,496,4,1,1,22.6,225.8
9,James White,NE,RB,10,61,230,3.8,4,89,66,562,6,0,0,20.5,205.2
10,David Johnson,ARI,RB,10,168,629,3.7,6,46,32,309,2,2,2,17.5,174.8
11,TJ Yeldon,JAX,RB,10,89,369,4.1,1,62,44,406,4,1,1,15,150.5
12,Adrian Peterson,WAS,RB,10,171,723,4.2,6,18,14,168,1,3,2,14.9,149.1
13,Phillip Lindsay,DEN,RB,10,121,670,5.5,5,31,24,187,1,0,0,14.9,148.7
14,Kerryon Johnson,DET,RB,10,118,641,5.4,3,39,32,213,1,1,1,14.6,146.4
15,Tarik Cohen,CHI,RB,10,63,271,4.3,2,54,40,458,3,4,2,14.4,143.9
16,Tevin Coleman,ATL,RB,10,114,500,4.4,2,33,26,251,4,1,0,14,140.1
17,Joe Mixon,CIN,RB,8,128,584,4.6,5,33,24,177,1,0,0,17.4,139.1
18,Matt Breida,SF,RB,10,113,632,5.6,3,18,15,124,2,1,1,12.6,125.6
19,Kenyan Drake,MIA,RB,10,81,376,4.6,3,49,33,234,2,1,1,12.3,123
20,Aaron Jones,GB,RB,8,84,534,6.4,5,23,16,141,1,1,1,15.2,121.5
21,Isaiah Crowell,NYJ,RB,10,114,552,4.8,6,18,13,111,0,0,0,12.1,121.3
22,Dion Lewis,TEN,RB,10,122,420,3.4,1,41,36,278,1,1,1,11.7,116.8
