Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Jeff Driskel,CIN,QB,3,17,5.7,2.8,17.6,0,58.8,58.8,13.36,78.6
2,Patrick Mahomes,KC,QB,11,715,65,100,5.9,0,60.6,60.6,338.72,47.4
3,Colt McCoy,WAS,QB,1,24,24,3.6,20.8,0,70.8,70.8,9.66,40.2
4,Ryan Fitzpatrick,TB,QB,8,428,53.5,59.7,8.4,0,65.9,65.9,190.84,44.6
5,Cam Newton,CAR,QB,10,625,62.5,98.7,12.3,0,65,65,241.12,38.6
6,Drew Brees,NO,QB,10,665,66.5,97.1,3,0.2,53.4,53.4,256.46,38.6
7,Matt Ryan,ATL,QB,10,665,66.5,98.7,3,0,61.2,61.2,256.34,38.5
8,Jared Goff,LAR,QB,11,741,67.4,98.7,4.7,0,56.1,56.1,279.68,37.7
9,Ben Roethlisberger,PIT,QB,10,693,69.3,98.4,3.2,0.1,63.3,63.3,258.58,37.3
9,Philip Rivers,LAC,QB,10,603,60.3,98.7,2.2,0,54.4,54.4,216,35.8
11,Mitch Trubisky,CHI,QB,10,666,66.6,99.3,7.7,0,55.9,55.9,240.06,36
12,Aaron Rodgers,GB,QB,10,652,65.2,97.9,4.4,0,63.5,63.5,220.72,33.9
13,Andrew Luck,IND,QB,10,688,68.8,97.6,3.1,0.1,61.2,61.3,238.86,34.7
14,Jameis Winston,TB,QB,5,289,57.8,55.7,8.3,0,65.1,65.1,99.7,34.5
15,Russell Wilson,SEA,QB,10,664,66.4,100,5.7,0.2,47.7,47.7,195.28,29.4
16,Kirk Cousins,MIN,QB,10,675,67.5,100,4.1,0.1,64.9,64.9,214.38,31.8
16,Andy Dalton,CIN,QB,10,597,59.7,97.5,2.3,0,60.6,60.6,182.44,30.6
18,Deshaun Watson,HOU,QB,10,685,68.5,99.9,7.7,0,52.8,52.8,210.38,30.7
19,Carson Wentz,PHI,QB,8,532,66.5,87.1,4.5,0.2,61.5,61.5,164.76,31
20,Tom Brady,NE,QB,10,675,67.5,98,2.8,0.1,57.9,57.9,194.32,28.8
20,Lamar Jackson,BAL,QB,10,166,16.6,22.1,33.1,1.2,51.8,53,47.08,28.4
22,Dak Prescott,DAL,QB,10,634,63.4,99.1,8.2,0.2,56.3,56.5,172.62,27.2
23,Nick Mullens,SF,QB,2,128,64,100,4.7,0,52.3,52.3,34.28,26.8
24,Blake Bortles,JAX,QB,10,636,63.6,94.4,6.9,0,61.3,61.3,180.4,28.4
25,Eli Manning,NYG,QB,10,630,63,100,1.9,0,59.7,59.7,170.64,27.1
25,Jimmy Garoppolo,SF,QB,3,197,65.7,99.5,4.1,0,49.2,49.2,51.02,25.9
27,Ryan Tannehill,MIA,QB,5,266,53.2,56.6,7.1,0,55.6,55.6,71.98,27.1
28,Baker Mayfield,CLE,QB,8,539,67.4,74.4,3.9,0.2,56.8,57,140.46,26.1
28,Cody Kessler,JAX,QB,1,38,38,5.6,5.3,0,84.2,84.2,10.04,26.4
30,Matthew Stafford,DET,QB,10,666,66.6,99,3.2,0,58.4,58.4,176.6,26.5
31,Matt Barkley,BUF,QB,1,73,73,44.5,4.1,0,38.4,38.4,17.08,23.4
32,Marcus Mariota,TEN,QB,9,499,55.4,79.5,9.4,0.2,52.9,52.9,126.92,25.4
33,Tyrod Taylor,CLE,QB,4,185,46.2,28.8,8.6,0,54.6,54.6,43.42,23.5
34,Derek Carr,OAK,QB,10,647,64.7,98.5,2.8,0,56.9,56.9,163.62,25.3
35,CJ Beathard,SF,QB,6,340,56.7,51.1,5.6,0,55.3,55.3,87.98,25.9
36,Joe Flacco,BAL,QB,9,640,71.1,85.1,3,0,62.2,62.2,150.1,23.5
37,Alex Smith,WAS,QB,10,651,65.1,96.4,6.3,0,56.7,56.7,147,22.6
38,Case Keenum,DEN,QB,10,664,66.4,99.8,1.4,0,55.9,55.9,155.7,23.4
39,Brock Osweiler,MIA,QB,6,338,56.3,56,2.4,0,55,55,75.98,22.5
40,Josh Allen,BUF,QB,6,322,53.7,53.1,10.9,0,54,54,68.78,21.4
41,Sam Darnold,NYJ,QB,9,567,63,91,5.3,0,56.3,56.3,121.46,21.4
42,Taysom Hill,NO,QB,10,126,12.6,18.4,23.8,4,30.2,32.5,25.76,20.4
43,Josh Rosen,ARI,QB,8,441,55.1,76.6,2.5,0,54.2,54.2,87.34,19.8
44,Blaine Gabbert,TEN,QB,4,129,32.2,23.2,1.6,0,48.8,48.8,20.6,16
45,Nick Foles,PHI,QB,2,151,75.5,22.1,2.6,0.7,57.6,57.6,26.24,17.4
46,Sam Bradford,ARI,QB,3,135,45,39.6,1.5,0,60.7,60.7,18.7,13.9
47,Nathan Peterman,BUF,QB,4,148,37,22.4,6.8,0,61.5,61.5,19.84,13.4
48,Derek Anderson,BUF,QB,2,118,59,41.5,0.8,0,60.2,60.2,12.5,10.6
49,Taylor Heinicke,CAR,QB,3,7,2.3,1.1,28.6,0,57.1,57.1,0.32,4.6
50,Joshua Dobbs,PIT,QB,4,11,2.8,1.6,18.2,0,45.5,45.5,0.36,3.3
51,Josh McCown,NYJ,QB,1,56,56,9,1.8,0,62.5,62.5,3.8,6.8
51,AJ McCarron,OAK,QB,1,10,10,1.5,10,0,40,40,0.32,3.2
53,Matt Schaub,ATL,QB,2,10,5,1.5,10,10,90,90,1.1,11
53,Sean Mannion,LAR,QB,1,10,10,1.3,30,0,30,30,0.1,1
55,Geno Smith,LAC,QB,2,8,4,1.3,37.5,0,50,50,0.02,0.2
56,Joe Webb,HOU,QB,10,3,0.3,0.4,0,0,0,0,0,0
56,Cooper Rush,DAL,QB,1,6,6,0.9,0,0,0,0,0,0
56,Robert Griffin III,BAL,QB,1,1,1,0.3,0,0,0,0,0,0
59,Brian Hoyer,NE,QB,3,14,4.7,2,42.9,0,50,50,-0.02,-0.1
60,Teddy Bridgewater,NO,QB,4,19,4.8,2.8,36.8,0,42.1,42.1,-0.7,-3.7
61,Jacoby Brissett,IND,QB,3,17,5.7,2.4,41.2,0,58.8,58.8,-0.78,-4.6
62,Chase Daniel,CHI,QB,3,7,2.3,1,71.4,0,71.4,71.4,-0.5,-7.1
63,Brandon Weeden,HOU,QB,1,1,1,0.1,100,0,100,100,-0.1,-10
63,Chad Kelly,DEN,QB,1,1,1,0.2,100,0,100,100,-0.1,-10
65,Deshone Kizer,GB,QB,1,14,14,2.1,0,0,50,50,0.2,1.4
66,Matt Cassel,DET,QB,1,7,7,1,14.3,0,100,100,-0.54,-7.7
