Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,9,NO,26,5,9500,25.3
2,Alvin Kamara,NO,RB,9,LAR,7,9,7300,21.67
3,Christian McCaffrey,CAR,RB,9,TB,32,23,7800,20.63
4,Kareem Hunt,KC,RB,9,CLE,22,27,7700,19.62
5,James Conner,PIT,RB,9,BAL,1,1,7200,19.16
6,Ezekiel Elliott,DAL,RB,9,TEN,5,6,7600,18.62
7,James White,NE,RB,9,GB,16,18,7500,18.1
8,Melvin Gordon,LAC,RB,9,SEA,3,12,8200,17.3
9,Adrian Peterson,WAS,RB,9,ATL,30,25,6000,14.75
10,Tarik Cohen,CHI,RB,9,BUF,10,22,6200,14.53
11,Nick Chubb,CLE,RB,9,KC,28,31,4500,13.86
12,Chris Thompson,WAS,RB,9,ATL,30,25,5400,13.52
13,Kenyan Drake,MIA,RB,9,NYJ,20,19,5300,13.47
14,Kerryon Johnson,DET,RB,9,MIN,11,13,5600,13.18
15,Chris Carson,SEA,RB,9,LAC,15,16,4700,13.14
16,Lamar Miller,HOU,RB,9,DEN,19,24,5200,13.04
16,Mark Ingram,NO,RB,9,LAR,7,9,5000,13.04
18,Latavius Murray,MIN,RB,9,DET,23,28,5100,13.01
19,Phillip Lindsay,DEN,RB,9,HOU,9,14,5500,12.69
20,Tevin Coleman,ATL,RB,9,WAS,6,7,4800,12.67
21,LeSean McCoy,BUF,RB,9,CHI,8,3,4900,12.55
22,Matt Breida,SF,RB,9,OAK,29,30,5200,11.79
23,Jalen Richard,OAK,RB,9,SF,27,21,4900,11.67
24,Alex Collins,BAL,RB,9,PIT,24,4,4600,11.27
25,Isaiah Crowell,NYJ,RB,9,MIA,25,29,4200,11.13
26,Dion Lewis,TEN,RB,9,DAL,2,8,4700,11.1
27,Jordan Howard,CHI,RB,9,BUF,10,22,4700,10.82
28,Sony Michel,NE,RB,9,GB,16,18,5400,10.73
29,Doug Martin,OAK,RB,9,SF,27,21,4300,10.43
30,Austin Ekeler,LAC,RB,9,SEA,3,12,4300,10.37
30,Duke Johnson,CLE,RB,9,KC,28,31,3800,10.37
32,Aaron Jones,GB,RB,9,NE,21,17,4400,10.2
33,Peyton Barber,TB,RB,9,CAR,14,11,3600,9.51
34,Ito Smith,ATL,RB,9,WAS,6,7,3700,8.81
35,Javorius Allen,BAL,RB,9,PIT,24,4,3800,8.69
36,Frank Gore,MIA,RB,9,NYJ,20,19,3500,7.79
37,Derrick Henry,TEN,RB,9,DAL,2,8,4000,7.2
38,Devontae Booker,DEN,RB,9,HOU,9,14,3700,6.88
39,Royce Freeman,DEN,RB,9,HOU,9,14,3800,6.59
40,Chris Ivory,BUF,RB,9,CHI,8,3,3900,6.52
41,Trenton Cannon,NYJ,RB,9,MIA,25,29,3600,6.44
42,Jamaal Williams,GB,RB,9,NE,21,17,3500,6.09
43,Mike Davis,SEA,RB,9,LAC,15,16,3400,6.02
44,Theo Riddick,DET,RB,9,MIN,11,13,3800,5.92
45,LeGarrette Blount,DET,RB,9,MIN,11,13,3400,5.14
46,Ty Montgomery,GB,RB,9,NE,21,17,3300,5.01
47,Kyle Juszczyk,SF,FB,9,OAK,29,30,3300,4.97
48,Alfred Morris,SF,RB,9,OAK,29,30,3500,4.94
49,Elijah McGuire,NYJ,RB,9,MIA,25,29,3000,4.46
50,Alfred Blue,HOU,RB,9,DEN,19,24,3600,4.37
51,Raheem Mostert,SF,RB,9,OAK,29,30,3900,3.94
52,Spencer Ware,KC,RB,9,CLE,22,27,4000,3.91
53,Jacquizz Rodgers,TB,RB,9,CAR,14,11,3000,3.42
54,Kenjon Barner,NE,RB,9,GB,16,18,4000,3.23
55,Malcolm Brown,LAR,RB,9,NO,26,5,4200,3.19
56,Rashaad Penny,SEA,RB,9,LAC,15,16,3700,2.92
57,CJ Anderson,CAR,RB,9,TB,32,23,3300,2.64
58,D'Onta Foreman,HOU,RB,9,DEN,19,24,3600,2.61
59,Mike Boone,MIN,RB,9,DET,23,28,3000,2.18
60,Kapri Bibbs,WAS,RB,9,ATL,30,25,3500,2.05
61,Gus Edwards,BAL,RB,9,PIT,24,4,3000,1.94
62,Rod Smith,DAL,RB,9,TEN,5,6,4000,1.92
63,Stevan Ridley,PIT,RB,9,BAL,1,1,3800,1.87
64,Marcus Murphy,BUF,RB,9,CHI,8,3,3300,1.71
65,Tyler Ervin,HOU,RB,9,DEN,19,24,3200,1.62
66,Dalvin Cook,MIN,RB,9,DET,23,28,5300,1.54
67,CJ Ham,MIN,RB,9,DET,23,28,3000,1.32
68,Anthony Sherman,KC,FB,9,CLE,22,27,3000,1.16
69,Justin Jackson,LAC,RB,9,SEA,3,12,3000,1.12
70,Deandre Washington,OAK,RB,9,SF,27,21,3300,1.1
71,Ameer Abdullah,DET,RB,9,MIN,11,13,3000,1.04
72,James Develin,NE,RB,9,GB,16,18,3000,0.98
73,Roc Thomas,MIN,RB,9,DET,23,28,3000,0.87
74,Shaun Wilson,TB,RB,9,CAR,14,11,3000,0.78
75,Kalen Ballage,MIA,RB,9,NYJ,20,19,3200,0.66
76,Dontrell Hilliard,CLE,RB,9,KC,28,31,3000,0.64
77,De'Angelo Henderson,NYJ,RB,9,MIA,25,29,3000,0.62
78,De'Lance Turner,BAL,RB,9,PIT,24,4,null,0.58
78,CJ Prosise,SEA,RB,9,LAC,15,16,3000,0.58
80,Damien Williams,KC,RB,9,CLE,22,27,3000,0.56
81,Keith Smith,OAK,FB,9,SF,27,21,3000,0.52
82,Brandon Bolden,MIA,RB,9,NYJ,20,19,3000,0.49
83,Andy Janovich,DEN,FB,9,HOU,9,14,3000,0.46
84,Dwayne Washington,NO,RB,9,LAR,7,9,3000,0.44
