Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
1,Zach Zenner,DET,RB,1,2,2,2.6,50,0,50,50,1.2,60
2,Nick Chubb,CLE,RB,10,188,18.8,26,50,5.3,53.2,55.3,110.7,58.9
3,Melvin Gordon,LAC,RB,8,360,45,73.5,34.7,14.4,44.7,49.2,221.3,61.5
4,Kenneth Dixon,BAL,RB,1,22,22,27.5,59.1,0,59.1,59.1,10.4,47.3
5,Marlon Mack,IND,RB,5,161,32.2,48.9,48.4,8.1,53.4,56.5,89.5,55.6
6,Alvin Kamara,NO,RB,9,412,45.8,67,29.9,17.2,43.2,47.1,253.9,61.6
7,Sony Michel,NE,RB,7,157,22.4,25.6,67.5,5.1,70.1,72.6,81.4,51.8
8,Todd Gurley,LAR,RB,10,567,56.7,84.5,34.9,9.3,42,44.3,301,53.1
9,Kareem Hunt,KC,RB,10,443,44.3,68.9,37.7,7,42.9,44.7,216.1,48.8
10,Aaron Jones,GB,RB,8,248,31,46.9,33.9,9.3,40.3,43.1,121.5,49
11,Isaiah Crowell,NYJ,RB,10,258,25.8,41.4,44.2,7,49.2,51.2,121.3,47
12,Phillip Lindsay,DEN,RB,9,252,28,41.4,43.7,10.3,51.6,54,122.1,48.5
13,Matt Breida,SF,RB,10,270,27,40.6,41.9,6.7,47.4,48.5,125.6,46.5
14,Leonard Fournette,JAX,RB,3,84,28,30.1,52.4,10.7,63.1,63.1,40.9,48.7
15,Adrian Peterson,WAS,RB,9,290,32.2,48.3,53.4,6.2,58.3,59.7,132,45.5
16,Austin Ekeler,LAC,RB,9,202,22.4,37.8,29.2,12.9,39.1,42.1,96.1,47.6
17,Raheem Mostert,SF,RB,9,89,9.9,15,38.2,7.9,44.9,46.1,39.6,44.5
18,James Conner,PIT,RB,9,515,57.2,80.6,31.8,9.9,39.4,41.7,238.8,46.4
19,Mark Ingram,NO,RB,5,159,31.8,47.3,39.6,8.2,46.5,47.8,71.5,45
20,Royce Freeman,DEN,RB,7,163,23.3,26.8,43.6,3.7,46,47.2,61,37.4
20,TJ Logan,ARI,RB,3,4,1.3,2.2,0,50,50,50,3.4,85
22,CJ Anderson,CAR,RB,9,55,6.1,9.6,43.6,5.5,45.5,49.1,19.8,36
23,Tarik Cohen,CHI,RB,9,281,31.2,47.1,19.9,17.8,33.1,37.7,136.9,48.7
24,Derrick Henry,TEN,RB,9,193,21.4,34.2,52.3,5.2,57,58,73.52,38.1
25,Chris Carson,SEA,RB,8,237,29.6,39.6,54,4.6,57.4,58.6,99,41.8
25,Jaylen Samuels,PIT,FB,7,32,4.6,5,31.2,12.5,40.6,43.8,13.8,43.1
27,Joe Mixon,CIN,RB,7,299,42.7,61.8,38.8,10,45.8,48.8,124.9,41.8
28,James White,NE,RB,10,416,41.6,60.4,14.7,21.4,30.5,36.1,205.2,49.3
29,Saquon Barkley,NYG,RB,9,490,54.4,84.9,26.7,15.5,39.4,42.2,223.6,45.6
30,Jay Ajayi,PHI,RB,4,121,30.2,42,37.2,5,41.3,42.1,44.4,36.7
31,Kapri Bibbs,WAS,RB,7,109,15.6,24.4,14.7,11,22,25.7,42.1,38.6
32,Rashaad Penny,SEA,RB,10,140,14,21.1,44.3,8.6,50.7,52.9,55.5,39.6
33,Marshawn Lynch,OAK,RB,6,211,35.2,50.4,42.7,9.5,49.8,52.1,82,38.9
33,Ito Smith,ATL,RB,9,179,19.9,29,29.6,11.2,39.1,40.8,71.3,39.8
33,Malcolm Brown,LAR,RB,10,106,10.6,15.8,34.9,6.6,39.6,41.5,37.1,35
36,Christine Michael,IND,RB,1,3,3,0.8,66.7,0,66.7,66.7,0.9,30
37,Mike Davis,SEA,RB,9,252,28,41.5,32.5,11.1,41.7,43.7,100.6,39.9
37,Josh Adams,PHI,RB,6,54,9,13.4,50,1.9,51.9,51.9,17,31.5
39,LeGarrette Blount,DET,RB,9,137,15.2,22.5,51.8,3.6,55.5,55.5,45.1,32.9
40,Kerryon Johnson,DET,RB,9,314,34.9,51.6,32.8,11.8,42.4,44.6,128.7,41
40,Alex Collins,BAL,RB,9,294,32.7,43.7,36.4,7.1,41.5,43.5,103.8,35.3
42,David Johnson,ARI,RB,9,429,47.7,82.2,33.3,10,40.6,43.4,155.4,36.2
42,Tevin Coleman,ATL,RB,9,360,40,58.3,29.4,8.3,35.8,37.8,128.6,35.7
44,Ezekiel Elliott,DAL,RB,9,513,57,89.1,32.7,9.4,39.6,42.1,191.3,37.3
45,Dwayne Washington,NO,RB,3,18,6,8.3,72.2,0,72.2,72.2,4.9,27.2
