Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,10,198,988,5,13,53,40,402,4,1,1,30.1,301
2,Alvin Kamara,NO,RB,9,123,546,4.4,11,71,55,473,3,0,0,28.2,253.9
3,James Conner,PIT,RB,9,164,771,4.7,10,51,39,387,1,3,1,26.5,238.8
4,Saquon Barkley,NYG,RB,9,131,586,4.5,5,76,62,530,2,0,0,24.8,223.6
5,Melvin Gordon,LAC,RB,8,125,672,5.4,7,52,36,361,4,1,0,27.7,221.3
6,Kareem Hunt,KC,RB,10,167,754,4.5,7,31,23,337,6,0,0,21.6,216.1
7,Christian McCaffrey,CAR,RB,9,123,579,4.7,4,63,54,439,4,1,1,23.2,208.8
8,James White,NE,RB,10,61,230,3.8,4,89,66,562,6,0,0,20.5,205.2
9,Ezekiel Elliott,DAL,RB,9,168,831,4.9,4,48,35,262,2,3,1,21.3,191.3
10,David Johnson,ARI,RB,9,143,492,3.4,6,43,31,292,2,2,2,17.3,155.4
11,TJ Yeldon,JAX,RB,9,84,346,4.1,1,59,42,397,4,1,1,16.1,145.3
12,Tarik Cohen,CHI,RB,9,56,244,4.4,2,50,37,435,3,3,1,15.2,136.9
13,Adrian Peterson,WAS,RB,9,155,672,4.3,4,18,14,168,1,2,2,14.7,132
14,Kerryon Johnson,DET,RB,9,103,554,5.4,2,37,30,203,1,1,1,14.3,128.7
15,Tevin Coleman,ATL,RB,9,106,442,4.2,2,30,23,224,4,1,0,14.3,128.6
16,Matt Breida,SF,RB,10,113,632,5.6,3,18,15,124,2,1,1,12.6,125.6
17,Joe Mixon,CIN,RB,7,116,570,4.9,4,30,21,139,1,0,0,17.8,124.9
18,Kenyan Drake,MIA,RB,10,81,376,4.6,3,49,33,234,2,1,1,12.3,123
19,Phillip Lindsay,DEN,RB,9,110,591,5.4,3,26,20,160,1,0,0,13.6,122.1
20,Isaiah Crowell,NYJ,RB,10,114,552,4.8,6,18,13,111,0,0,0,12.1,121.3
21,Dion Lewis,TEN,RB,9,112,396,3.5,1,39,35,270,1,1,1,12.5,112.6
22,Nick Chubb,CLE,RB,10,94,579,6.2,5,10,6,48,1,0,0,11.1,110.7
23,Latavius Murray,MIN,RB,9,92,417,4.5,5,22,18,132,0,0,0,12,107.9
24,Alex Collins,BAL,RB,9,107,393,3.7,6,21,15,105,1,3,3,11.5,103.8
25,Nyheim Hines,IND,RB,9,55,241,4.4,1,46,37,206,2,0,0,11.1,99.7
26,Duke Johnson,CLE,RB,10,26,130,5,0,42,33,312,3,1,0,9.9,99.2
27,Lamar Miller,HOU,RB,8,125,525,4.2,2,20,13,105,1,1,1,12.4,99
28,Jordan Howard,CHI,RB,9,137,460,3.4,5,16,12,98,0,1,1,10.8,96.8
29,Austin Ekeler,LAC,RB,9,59,345,5.8,0,26,20,246,3,1,1,10.7,96.1
29,LeSean McCoy,BUF,RB,9,111,380,3.4,2,34,24,191,0,0,0,10.7,96.1
31,Aaron Jones,GB,RB,7,73,494,6.8,4,17,11,78,0,1,1,13.5,94.2
31,Javorius Allen,BAL,RB,9,39,106,2.7,3,43,35,196,2,1,1,10.5,94.2
33,Jalen Richard,OAK,RB,9,18,57,3.2,0,55,48,400,0,0,0,10.4,93.7
34,Mike Davis,SEA,RB,8,78,346,4.4,3,26,21,110,1,0,0,11.7,93.6
35,Marlon Mack,IND,RB,5,78,410,5.3,3,13,8,65,1,0,0,17.9,89.5
