Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
610,Charles Clay,BUF,TE,11,CIN,60,92.3,0,11.7,8.3,11.7,7.3,12.2
610,Will Tye,NYG,TE,16,PHI,60,67.4,0,13.3,8.3,13.3,7.3,12.2
610,Virgil Green,DEN,TE,6,LAC,56,76.7,0,7.1,5.4,7.1,5.1,9.1
610,Crockett Gillmore,BAL,TE,4,OAK,42,47.2,0,4.8,4.8,4.8,3.6,8.6
610,Garrett Celek,SF,TE,2,CAR,32,49.2,0,6.2,3.1,6.2,2.2,6.9
610,Matthew Mulligan,DET,TE,16,DAL,21,29.6,0,4.8,4.8,4.8,1.8,8.6
610,Luke Willson,SEA,TE,2,LAR,16,23.9,0,6.2,6.2,6.2,1.6,10
618,Jason Witten,DAL,TE,3,CHI,68,100,0,2.9,2.9,2.9,4.5,6.6
618,Will Tye,NYG,TE,14,DAL,51,76.1,0,3.9,3.9,3.9,3.9,7.6
618,Dennis Pitta,BAL,TE,14,NE,49,70,0,10.2,8.2,10.2,5.8,11.8
618,Charles Clay,BUF,TE,12,JAX,46,83.6,0,8.7,4.3,8.7,3.7,8
618,Demetrius Harris,KC,TE,7,NO,27,51.9,0,11.1,3.7,11.1,2,7.4
623,Jacob Tamme,ATL,TE,6,SEA,45,67.2,0,6.7,4.4,6.7,3.6,8
623,Demetrius Harris,KC,TE,8,IND,36,48.6,0,11.1,8.3,11.1,4.3,11.9
623,Lance Kendricks,LAR,TE,14,ATL,36,50,0,8.3,2.8,8.3,2.3,6.4
623,Darren Fells,ARI,TE,13,WAS,25,32.9,0,4,4,4,1.9,7.6
623,Cole Wick,DET,TE,1,IND,14,21.5,0,7.1,7.1,7.1,1.5,10.7
628,Lance Kendricks,LAR,TE,11,MIA,52,83.9,0,13.5,7.7,13.5,6.8,13.1
628,Luke Willson,SEA,TE,11,PHI,34,50.7,0,2.9,2.9,2.9,2.2,6.5
628,Nick O'Leary,BUF,TE,7,MIA,20,35.1,0,5,5,5,1.7,8.5
631,Hunter Henry,LAC,TE,7,ATL,47,62.7,0,6.4,2.1,6.4,2.6,5.5
631,Dwayne Allen,IND,TE,9,GB,44,64.7,0,4.5,2.3,4.5,2.5,5.7
633,Dion Sims,MIA,TE,11,LAR,60,100,0,6.7,5,6.7,5,8.3
633,Jesse James,PIT,TE,7,NE,54,74,0,3.7,3.7,3.7,3.8,7
633,Garrett Celek,SF,TE,1,LAR,46,56.8,0,8.7,2.2,8.7,2.5,5.4
633,Zach Miller,CHI,TE,1,HOU,43,76.8,0,9.3,7,9.3,4.4,10.2
633,Xavier Grimble,PIT,TE,7,NE,42,57.5,0,11.9,4.8,11.9,3.4,8.1
633,Rhett Ellison,MIN,TE,13,DAL,18,24.3,0,5.6,5.6,5.6,1.6,8.9
633,Ryan Hewitt,CIN,TE,12,BAL,15,20,0,13.3,6.7,13.3,1.5,10
633,Dominique Jones,MIA,TE,5,TEN,12,27.3,0,16.7,16.7,16.7,2.4,20
641,Dwayne Allen,IND,TE,4,JAX,62,79.5,0,6.5,3.2,6.5,4,6.5
641,Richard Rodgers,GB,TE,6,DAL,47,67.1,0,6.4,4.3,6.4,3.5,7.4
641,John Phillips,NO,TE,16,TB,47,66.2,0,4.3,4.3,4.3,3.5,7.4
641,Brent Celek,PHI,TE,10,ATL,28,35.4,0,3.6,3.6,3.6,1.9,6.8
641,Dominique Jones,MIA,TE,6,PIT,25,35.7,0,8,4,8,1.8,7.2
641,Tyler Kroft,CIN,TE,8,WAS,19,21.6,0,5.3,5.3,5.3,1.6,8.4
641,Jordan Reed,WAS,TE,15,CAR,19,29.2,0,5.3,5.3,5.3,1.6,8.4
648,Cameron Brate,TB,TE,11,KC,59,76.6,0,5.1,3.4,5.1,3.8,6.4
648,Hunter Henry,LAC,TE,8,DEN,45,55.6,0,8.9,4.4,8.9,3.4,7.6
648,Demetrius Harris,KC,TE,6,OAK,36,56.2,0,5.6,2.8,5.6,2.1,5.8
648,Antonio Gates,LAC,TE,15,OAK,35,63.6,0,5.7,2.9,5.7,2.1,6
648,MarQueis Gray,MIA,TE,11,LAR,16,26.7,0,6.2,6.2,6.2,1.5,9.4
653,Zach Ertz,PHI,TE,8,DAL,63,80.8,0,6.3,6.3,6.3,5.9,9.4
653,Darren Fells,ARI,TE,3,BUF,50,61,0,4,4,4,3.5,7
653,John Phillips,NO,TE,15,ARI,30,34.9,0,3.3,3.3,3.3,1.9,6.3
653,John Phillips,NO,TE,14,TB,27,44.3,0,3.7,3.7,3.7,1.8,6.7
653,Josh Hill,NO,TE,13,DET,10,16.4,0,20,10,20,1.3,13
658,Dennis Pitta,BAL,TE,4,OAK,59,66.3,0,8.5,5.1,8.5,4.7,8
658,Zach Ertz,PHI,TE,7,MIN,48,82.8,0,6.2,2.1,6.2,2.4,5
658,Clive Walford,OAK,TE,15,LAC,45,72.6,0,6.7,2.2,6.7,2.3,5.1
658,Brent Celek,PHI,TE,1,CLE,38,49.4,0,2.6,2.6,2.6,2.1,5.5
658,Luke Stocker,TB,TE,10,CHI,38,50.7,0,5.3,2.6,5.3,2.1,5.5
658,Geoff Swaim,DAL,TE,9,CLE,38,52.1,0,5.3,5.3,5.3,3.1,8.2
658,Jack Doyle,IND,TE,5,CHI,28,41.2,0,10.7,7.1,10.7,2.8,10
658,David Johnson,PIT,TE,7,NE,17,23.3,0,5.9,5.9,5.9,1.5,8.8
658,Ross Travis,KC,TE,10,CAR,17,26.6,0,11.8,5.9,11.8,1.5,8.8
658,Nick Boyle,BAL,TE,16,PIT,17,22.7,0,5.9,5.9,5.9,1.5,8.8
658,Derek Carrier,WAS,TE,12,DAL,14,18.7,0,7.1,7.1,7.1,1.4,10
658,Blake Bell,SF,TE,5,ARI,14,17.9,0,14.3,7.1,14.3,1.4,10
670,Rob Gronkowski,NE,TE,4,BUF,39,69.6,0,5.1,2.6,5.1,2.1,5.4
671,Larry Donnell,NYG,TE,3,WAS,41,61.2,0,9.8,7.3,9.8,4.1,10
672,Lance Kendricks,LAR,TE,1,SF,58,95.1,0,5.2,3.4,5.2,3.5,6
672,Dion Sims,MIA,TE,6,PIT,47,67.1,0,4.3,2.1,4.3,2.2,4.7
672,Anthony Fasano,TEN,TE,5,MIA,38,51.4,0,2.6,2.6,2.6,2,5.3
672,Darren Fells,ARI,TE,6,NYJ,31,40.3,0,3.2,3.2,3.2,1.8,5.8
676,Martellus Bennett,NE,TE,3,HOU,63,98.4,1.6,4.8,4.8,6.3,3.6,5.7
676,Jesse James,PIT,TE,6,MIA,52,94.5,0,5.8,3.8,5.8,3.3,6.3
676,Brandon Myers,TB,TE,5,CAR,48,65.8,0,2.1,2.1,2.1,2.2,4.6
676,Brent Celek,PHI,TE,7,MIN,28,48.3,0,7.1,3.6,7.1,1.7,6.1
676,Justin Perillo,GB,TE,6,DAL,16,22.9,0,6.2,6.2,6.2,1.4,8.8
681,Dennis Pitta,BAL,TE,9,PIT,58,82.9,0,5.2,3.4,5.2,3.4,5.9
681,Will Tye,NYG,TE,12,CLE,49,87.5,0,4.1,4.1,4.1,3.2,6.5
681,Will Tye,NYG,TE,2,NO,41,51.9,0,7.3,4.9,7.3,3,7.3
681,Xavier Grimble,PIT,TE,9,BAL,42,60.9,0,2.4,2.4,2.4,2,4.8
681,Vernon Davis,WAS,TE,4,CLE,34,54.8,0,2.9,2.9,2.9,1.8,5.3
681,Austin Hooper,ATL,TE,12,ARI,33,47.1,0,6.1,6.1,6.1,2.8,8.5
681,Richard Rodgers,GB,TE,14,SEA,34,57.6,0,5.9,2.9,5.9,1.8,5.3
688,Julius Thomas,JAX,TE,3,BAL,57,86.4,0,8.8,3.5,8.8,3.3,5.8
688,Ben Koyack,JAX,TE,16,TEN,52,72.2,0,3.8,3.8,3.8,3.2,6.2
688,Brent Celek,PHI,TE,14,WAS,30,38.5,0,10,6.7,10,2.7,9
691,Kyle Rudolph,MIN,TE,5,HOU,68,91.9,0,5.9,2.9,5.9,3.5,5.1
691,Julius Thomas,JAX,TE,11,DET,54,81.8,0,9.3,5.6,9.3,4.2,7.8
691,Kyle Rudolph,MIN,TE,11,ARI,55,94.8,0,5.5,3.6,5.5,3.2,5.8
691,Logan Paulsen,CHI,TE,4,DET,46,66.7,0,6.5,4.3,6.5,3,6.5
691,CJ Uzomah,CIN,TE,2,PIT,41,53.9,0,19.5,7.3,19.5,3.9,9.5
691,Brandon Myers,TB,TE,14,NO,40,60.6,0,2.5,2.5,2.5,1.9,4.8
691,Jerell Adams,NYG,TE,16,PHI,40,44.9,0,2.5,2.5,2.5,1.9,4.8
691,Austin Hooper,ATL,TE,10,PHI,36,72,0,8.3,2.8,8.3,1.8,5
699,Levine Toilolo,ATL,TE,16,CAR,48,76.2,0,2.1,2.1,2.1,2,4.2
699,Gary Barnidge,CLE,TE,10,BAL,39,78,0,10.3,2.6,10.3,1.8,4.6
699,Luke Stocker,TB,TE,8,OAK,39,55.7,0,5.1,5.1,5.1,2.8,7.2
699,Tyler Higbee,LAR,TE,14,ATL,38,52.8,0,10.5,2.6,10.5,1.8,4.7
699,Jared Cook,GB,TE,1,JAX,33,51.6,0,6.1,3,6.1,1.7,5.2
699,Jared Cook,GB,TE,12,PHI,33,46.5,0,6.1,3,6.1,1.7,5.2
705,Martellus Bennett,NE,TE,1,ARI,69,97.2,0,7.2,4.3,7.2,4.4,6.4
705,Vernon Davis,WAS,TE,16,CHI,64,95.5,0,3.1,1.6,3.1,2.3,3.6
705,MarQueis Gray,MIA,TE,9,NYJ,49,77.8,0,8.2,4.1,8.2,3,6.1
705,Jack Doyle,IND,TE,13,NYJ,51,69.9,0,7.8,7.8,7.8,6,11.8
705,Dion Sims,MIA,TE,4,CIN,45,100,0,4.4,2.2,4.4,1.9,4.2
705,David Johnson,PIT,TE,10,DAL,10,13.5,0,10,10,10,1.2,12
711,Jermaine Gresham,ARI,TE,6,NYJ,73,94.8,0,2.7,1.4,2.7,2.4,3.3
711,Martellus Bennett,NE,TE,11,SF,73,96.1,0,2.7,1.4,2.7,2.4,3.3
711,Gary Barnidge,CLE,TE,12,NYG,57,76,0,5.3,1.8,5.3,2.1,3.7
711,Coby Fleener,NO,TE,15,ARI,53,61.6,0,5.7,3.8,5.7,3,5.7
711,Luke Willson,SEA,TE,3,SF,48,68.6,0,6.2,4.2,6.2,2.9,6
711,Demetrius Harris,KC,TE,13,ATL,31,63.3,0,3.2,3.2,3.2,1.6,5.2
711,David Johnson,PIT,TE,2,CIN,26,35.1,0,3.8,3.8,3.8,1.5,5.8
711,Ryan Griffin,HOU,TE,2,KC,27,37.5,0,7.4,3.7,7.4,1.5,5.6
711,Brent Celek,PHI,TE,15,BAL,26,29.9,0,3.8,3.8,3.8,1.5,5.8
711,Trey Burton,PHI,TE,16,NYG,16,28.6,0,6.2,6.2,6.2,1.3,8.1
721,Jermaine Gresham,ARI,TE,7,SEA,82,86.3,0,4.9,2.4,4.9,3.5,4.3
721,Clive Walford,OAK,TE,9,DEN,74,84.1,0,4.1,2.7,4.1,3.3,4.5
721,Darren Fells,ARI,TE,4,LAR,39,50.6,0,5.1,5.1,5.1,2.7,6.9
721,Jack Doyle,IND,TE,11,TEN,39,65,0,5.1,2.6,5.1,1.7,4.4
725,Jesse James,PIT,TE,3,PHI,58,96.7,0,6.9,3.4,6.9,3,5.2
725,Vance McDonald,SF,TE,13,CHI,53,91.4,0,7.5,3.8,7.5,2.9,5.5
725,Crockett Gillmore,BAL,TE,1,BUF,30,44.1,0,3.3,3.3,3.3,1.5,5
725,Martellus Bennett,NE,TE,7,PIT,30,52.6,0,6.7,3.3,6.7,1.5,5
725,Tyler Higbee,LAR,TE,11,MIA,24,38.7,0,12.5,8.3,12.5,2.4,10
730,Greg Olsen,CAR,TE,8,ARI,67,100,0,4.5,1.5,4.5,2.1,3.1
730,Tyler Eifert,CIN,TE,15,PIT,58,100,0,5.2,1.7,5.2,1.9,3.3
730,Brandon Myers,TB,TE,3,LAR,43,47.8,0,7,2.3,7,1.7,4
730,CJ Fiedorowicz,HOU,TE,1,CHI,38,50.7,0,5.3,2.6,5.3,1.6,4.2
734,Richard Rodgers,GB,TE,7,CHI,47,54,0,2.1,2.1,2.1,1.7,3.6
734,Jack Doyle,IND,TE,4,JAX,40,51.3,0,2.5,2.5,2.5,1.6,4
734,Josh Hill,NO,TE,7,KC,41,55.4,0,2.4,2.4,2.4,1.6,3.9
734,Levine Toilolo,ATL,TE,7,LAC,33,50.8,0,3,3,3,1.5,4.5
738,Dion Sims,MIA,TE,16,BUF,69,100,0,4.3,2.9,4.3,3,4.3
738,Dion Sims,MIA,TE,5,TEN,43,97.7,0,7,2.3,7,1.6,3.7
738,Charles Clay,BUF,TE,8,NE,43,55.1,0,14,4.7,14,2.6,6
738,Coby Fleener,NO,TE,14,TB,42,68.9,0,7.1,2.4,7.1,1.6,3.8
738,Logan Paulsen,CHI,TE,8,MIN,35,57.4,0,5.7,2.9,5.7,1.5,4.3
738,Tyler Higbee,LAR,TE,7,NYG,29,37.2,0,3.4,3.4,3.4,1.4,4.8
744,Austin Seferian-Jenkins,NYJ,TE,15,MIA,23,30.3,0,8.7,4.3,8.7,1.3,5.7
745,Jordan Cameron,MIA,TE,1,SEA,48,90.6,0,6.2,4.2,6.2,2.6,5.4
745,CJ Uzomah,CIN,TE,6,NE,48,70.6,0,4.2,2.1,4.2,1.6,3.3
745,Mychal Rivera,OAK,TE,9,DEN,48,54.5,0,2.1,2.1,2.1,1.6,3.3
745,Austin Hooper,ATL,TE,14,LAR,42,72.4,0,7.1,2.4,7.1,1.5,3.6
745,Rhett Ellison,MIN,TE,4,NYG,16,21.6,0,6.2,6.2,6.2,1.2,7.5
750,Charles Clay,BUF,TE,9,SEA,82,95.3,0,4.9,3.7,4.9,3.9,4.8
750,Nick O'Leary,BUF,TE,13,OAK,70,97.2,0,4.3,1.4,4.3,1.8,2.6
750,Coby Fleener,NO,TE,1,OAK,56,81.2,0,7.1,1.8,7.1,1.6,2.9
750,Garrett Celek,SF,TE,14,NYJ,44,77.2,0,2.3,2.3,2.3,1.5,3.4
750,Lance Kendricks,LAR,TE,15,SEA,44,73.3,0,9.1,2.3,9.1,1.5,3.4
750,Lee Smith,OAK,TE,3,TEN,35,53.8,0,2.9,2.9,2.9,1.4,4
756,Clive Walford,OAK,TE,7,JAX,49,68.1,0,4.1,2,4.1,1.5,3.1
756,Jesse James,PIT,TE,14,BUF,50,66.7,0,6,2,6,1.5,3
756,Garrett Celek,SF,TE,7,TB,41,58.6,0,7.3,2.4,7.3,1.4,3.4
756,Brandon Bostick,NYJ,TE,8,CLE,41,56.2,0,2.4,2.4,2.4,1.4,3.4
756,Clay Harbor,DET,TE,6,LAR,31,50,0,3.2,3.2,3.2,1.3,4.2
756,Tyler Higbee,LAR,TE,1,SF,21,34.4,0,19,4.8,19,1.2,5.7
762,AJ Derby,DEN,TE,13,JAX,34,61.8,0,2.9,2.9,2.9,1.3,3.8
762,Trey Burton,PHI,TE,15,BAL,22,25.3,0,27.3,9.1,27.3,2.2,10
762,Lee Smith,OAK,TE,4,BAL,11,18.3,0,9.1,9.1,9.1,1.1,10
765,Richard Rodgers,GB,TE,5,NYG,73,91.2,0,6.8,1.4,6.8,1.6,2.2
765,Ben Koyack,JAX,TE,13,DEN,53,63.1,0,5.7,1.9,5.7,1.4,2.6
765,Luke Stocker,TB,TE,12,SEA,38,56.7,0,2.6,2.6,2.6,1.3,3.4
765,Alex Ellis,JAX,TE,15,HOU,13,24.5,0,7.7,7.7,7.7,1.1,8.5
769,Jesse James,PIT,TE,11,CLE,68,98.6,0,5.9,1.5,5.9,1.5,2.2
769,Jermaine Gresham,ARI,TE,5,SF,57,83.8,0,1.8,1.8,1.8,1.4,2.5
769,Garrett Celek,SF,TE,5,ARI,61,78.2,0,9.8,1.6,9.8,1.4,2.3
769,Martellus Bennett,NE,TE,13,LAR,54,68.4,0,7.4,3.7,7.4,2.4,4.4
769,Tyler Kroft,CIN,TE,7,CLE,42,68.9,0,2.4,2.4,2.4,1.3,3.1
774,Ben Koyack,JAX,TE,15,HOU,33,62.3,0,6.1,3,6.1,1.2,3.6
774,Mychal Rivera,OAK,TE,4,BAL,16,26.7,0,6.2,6.2,6.2,1.1,6.9
776,Josh Hill,NO,TE,8,SEA,61,80.3,0,1.6,1.6,1.6,1.3,2.1
777,Vernon Davis,WAS,TE,14,PHI,38,79.2,0,5.3,2.6,5.3,1.1,2.9
778,Anthony Fasano,TEN,TE,2,DET,46,68.7,0,6.5,2.2,6.5,1.1,2.4
