Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
108,Marvin Hall,ATL,WR,9,WAS,6,19,3000,1.49
109,Austin Carr,NO,WR,9,LAR,7,18,3000,1.4
110,TJ Jones,DET,WR,9,MIN,11,3,3000,1.37
111,James Washington,PIT,WR,9,BAL,1,6,3300,1.35
112,Noah Brown,DAL,WR,9,TEN,5,20,3000,1.3
112,Charone Peake,NYJ,WR,9,MIA,25,17,3000,1.3
114,Dwayne Harris,OAK,WR,9,SF,27,25,3200,1.28
115,Michael Floyd,WAS,WR,9,ATL,30,31,3200,1.25
116,Breshad Perriman,CLE,WR,9,KC,28,15,3000,1.19
117,Leonte Carroo,MIA,WR,9,NYJ,20,25,3000,1.18
118,Equanimeous St. Brown,GB,WR,9,NE,21,11,3400,1.16
119,Eli Rogers,PIT,WR,9,BAL,1,6,3000,0.93
120,Nick Williams,LAR,WR,9,NO,26,32,3000,0.92
121,Cam Phillips,BUF,WR,9,CHI,8,21,3000,0.76
122,Dan Arnold,NO,WR,9,LAR,7,18,2500,0.72
123,Jojo Natson,LAR,WR,9,NO,26,32,3000,0.68
124,Andy Jones,DET,WR,9,MIN,11,3,null,0.64
124,Russell Gage,ATL,WR,9,WAS,6,19,3000,0.64
126,Ray-Ray McCloud,BUF,WR,9,CHI,8,21,3000,0.63
127,Jordan Taylor,DEN,WR,9,HOU,9,8,3000,0.62
128,Brandon Zylstra,MIN,WR,9,DET,23,12,3000,0.59
128,Daesean Hamilton,DEN,WR,9,HOU,9,8,3000,0.59
130,Damiere Byrd,CAR,WR,9,TB,32,30,3000,0.58
131,Geremy Davis,LAC,WR,9,SEA,3,14,3000,0.56
132,J'mon Moore,GB,WR,9,NE,21,11,3000,0.55
133,Richie James,SF,WR,9,OAK,29,24,3000,0.54
133,Khadarel Hodge,LAR,WR,9,NO,26,32,3000,0.54
135,Justin Watson,TB,WR,9,CAR,14,9,3000,0.53
136,Darius Jennings,TEN,WR,9,DAL,2,2,3000,0.52
137,Tommylee Lewis,NO,WR,9,LAR,7,18,null,0.51
138,Victor Bolden Jr.,SF,WR,9,OAK,29,24,3000,0.48
139,Javon Wims,CHI,WR,9,BUF,10,4,3000,0.46
140,Darrius Heyward-Bey,PIT,WR,9,BAL,1,6,3000,0.44
141,Tim White,BAL,WR,9,PIT,24,29,null,0.43
141,Marcus Kemp,KC,WR,9,CLE,22,23,3000,0.43
143,Isaiah McKenzie,DEN,WR,9,HOU,9,8,3000,0.4
144,Brandon Powell,DET,WR,9,MIN,11,3,3000,0.38
145,Cameron Batson,TEN,WR,9,DAL,2,2,3000,0.32
146,Brian Quick,WAS,WR,9,ATL,30,31,3000,0.27
147,Jehu Chesson,WAS,WR,9,ATL,30,31,3000,0.25
147,Matthew Slater,NE,WR,9,GB,16,22,3000,0.25
149,Johnny Holton,OAK,WR,9,SF,27,25,null,0
149,Marcell Ateman,OAK,WR,9,SF,27,25,3000,0
149,Aaron Burbridge,SF,WR,9,OAK,29,24,null,0
149,Daniel Brown,CHI,WR,9,BUF,10,4,2500,0
149,Tanner Gentry,CHI,WR,9,BUF,10,4,null,0
149,Robert Foster,BUF,WR,9,CHI,8,21,null,0
149,De'Anthony Thomas,KC,WR,9,CLE,22,23,null,0
149,Ricardo Louis,CLE,WR,9,KC,28,15,null,0
149,Derrick Willies,CLE,WR,9,KC,28,15,null,0
149,Rod Streater,CLE,WR,9,KC,28,15,null,0
149,Da'mari Scott,CLE,WR,9,KC,28,15,3000,0
149,Deontay Burnett,NYJ,WR,9,MIA,25,17,3300,0
149,Ardarius Stewart,NYJ,WR,9,MIA,25,17,3000,0
149,Terrelle Pryor,NYJ,WR,9,MIA,25,17,null,0
149,Albert Wilson,MIA,WR,9,NYJ,20,25,3000,0
149,Neal Sterling,NYJ,WR,9,MIA,25,17,2500,0
149,Tavarres King,MIN,WR,9,DET,23,12,null,0
149,Robert Davis,WAS,WR,9,ATL,30,31,null,0
149,Trey Quinn,WAS,WR,9,ATL,30,31,null,0
149,Mose Frazier,CAR,WR,9,TB,32,30,null,0
149,Jaleel Scott,BAL,WR,9,PIT,24,29,3000,0
149,Jordan Lasley,BAL,WR,9,PIT,24,29,3000,0
149,Bruce Ellington,HOU,WR,9,DEN,19,13,3000,0
149,Will Fuller,HOU,WR,9,DEN,19,13,3000,0
149,Keenan Reynolds,SEA,WR,9,LAC,15,16,null,0
149,Amara Darboh,SEA,WR,9,LAC,15,16,null,0
149,Artavis Scott,LAC,WR,9,SEA,3,14,3000,0
149,Dylan Cantrell,LAC,WR,9,SEA,3,14,null,0
149,Ted Ginn,NO,WR,9,LAR,7,18,3000,0
149,Pharoh Cooper,LAR,WR,9,NO,26,32,null,0
149,Mike Thomas,LAR,WR,9,NO,26,32,null,0
149,Justin Hardee,NO,WR,9,LAR,7,18,null,0
149,Tanner McEvoy,NO,WR,9,LAR,7,18,null,0
149,Austin Proehl,LAR,WR,9,NO,26,32,null,0
149,Jake Kumerow,GB,WR,9,NE,21,11,3000,0
149,Trevor Davis,GB,WR,9,NE,21,11,null,0
149,Riley McCarron,NE,WR,9,GB,16,22,null,0
149,Braxton Berrios,NE,WR,9,GB,16,22,3000,0
149,Terrance Williams,DAL,WR,9,TEN,5,20,3000,0
149,Michael Campanaro,TEN,WR,9,DAL,2,2,3000,0
149,Brice Butler,DAL,WR,9,TEN,5,20,null,0
