Rank,Name,Team,Position,Played,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
1,Baltimore Ravens,BAL,DST,11,16.95,18.3,30.38,13.31,4.27,83.21
2,Minnesota Vikings,MIN,DST,11,17.73,20.45,31.15,11.8,6.18,87.3
3,Jacksonville Jaguars,JAX,DST,11,18.95,18.56,31.16,13.13,6.09,87.89
4,Buffalo Bills,BUF,DST,11,14.1,28.05,29.28,9.42,7.09,87.95
5,Los Angeles Chargers,LAC,DST,11,16.57,24.87,32.73,11.11,4.36,89.64
6,Dallas Cowboys,DAL,DST,11,18.56,21.64,30.63,15.47,5.82,92.12
7,Chicago Bears,CHI,DST,11,17.53,20.64,40.41,9.61,4.64,92.82
8,Houston Texans,HOU,DST,11,17.67,22.06,32.28,15.75,5.36,93.11
9,Tennessee Titans,TEN,DST,11,18.77,19.96,42.99,7.55,5.36,94.62
10,Pittsburgh Steelers,PIT,DST,11,19.92,20.84,36.22,15.14,5.82,97.93
10,Seattle Seahawks,SEA,DST,11,18.39,26.75,40.14,8.29,4.36,97.93
12,Green Bay Packers,GB,DST,11,18.82,24.13,41.85,9.05,6.09,99.94
13,Indianapolis Colts,IND,DST,11,19.56,26.51,32.59,14.33,7.09,100.08
14,Washington Redskins,WAS,DST,11,21.01,24.02,41.29,9.72,5,101.03
15,Arizona Cardinals,ARI,DST,11,16.93,32.33,36.67,9.52,6.27,101.73
16,Detroit Lions,DET,DST,11,20.82,28.38,37.9,10.97,3.73,101.8
17,New York Giants,NYG,DST,11,18.28,27.34,34.49,13.27,9.09,102.47
18,Oakland Raiders,OAK,DST,11,20.1,28.47,34.53,13.99,6.36,103.46
19,New York Jets,NYJ,DST,11,18.75,26.41,42.94,8.73,7,103.82
20,San Francisco 49ers,SF,DST,11,21.07,25.55,39.7,11.84,6.36,104.53
21,New England Patriots,NE,DST,11,21.87,24.29,36.45,16.11,6.18,104.9
22,Denver Broncos,DEN,DST,11,19.58,25.65,39.89,14.23,6.55,105.9
23,New Orleans Saints,NO,DST,11,24.52,19.22,50.51,8.36,3.55,106.15
24,Miami Dolphins,MIA,DST,11,19.16,30.43,35.57,14.55,6.45,106.16
25,Philadelphia Eagles,PHI,DST,11,21.51,25.7,45.17,8.2,7.18,107.77
26,Carolina Panthers,CAR,DST,11,22.53,21.13,40.05,17.75,6.82,108.28
27,Los Angeles Rams,LAR,DST,11,22.04,24.96,40.8,14.67,6.73,109.21
28,Cleveland Browns,CLE,DST,11,20.91,30.24,41.4,15.19,5.91,113.64
29,Atlanta Falcons,ATL,DST,11,25.11,33.45,42.51,10.75,4.45,116.26
30,Kansas City Chiefs,KC,DST,11,23.5,33.65,38.29,16.29,5.91,117.65
31,Tampa Bay Buccaneers,TB,DST,11,23.85,30.1,42.43,16.15,6.36,118.9
32,Cincinnati Bengals,CIN,DST,11,26.41,33.42,40.76,16.31,7.18,124.08
