Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Todd Gurley,LAR,RB,10,SEA,6,12,9400,25.23
2,Saquon Barkley,NYG,RB,10,SF,25,20,8600,23.82
3,Alvin Kamara,NO,RB,10,CIN,31,25,8700,23.5
4,Melvin Gordon,LAC,RB,10,OAK,30,29,9000,23.08
5,James Conner,PIT,RB,10,CAR,16,7,8300,22.19
6,Kareem Hunt,KC,RB,10,ARI,12,31,8500,21.68
7,Christian McCaffrey,CAR,RB,10,PIT,21,3,7600,19.87
8,Ezekiel Elliott,DAL,RB,10,PHI,10,2,7500,18.25
9,James White,NE,RB,10,TEN,3,5,7300,17.71
10,David Johnson,ARI,RB,10,KC,27,32,6800,17.62
11,Joe Mixon,CIN,RB,10,NO,28,6,7700,16.84
12,Tevin Coleman,ATL,RB,10,CLE,26,30,5400,15.07
13,Nick Chubb,CLE,RB,10,ATL,29,24,5500,14.88
14,Aaron Jones,GB,RB,10,MIA,24,26,5000,14.21
15,Adrian Peterson,WAS,RB,10,TB,32,27,5700,14.05
16,Marlon Mack,IND,RB,10,JAX,5,9,6000,13.99
17,Tarik Cohen,CHI,RB,10,DET,22,28,5500,13.69
18,Leonard Fournette,JAX,RB,10,IND,17,16,6300,12.65
18,Kerryon Johnson,DET,RB,10,CHI,4,1,4700,12.65
20,Matt Breida,SF,RB,10,NYG,18,21,5000,12.33
21,LeSean McCoy,BUF,RB,10,NYJ,14,18,4500,12.07
22,Jordan Howard,CHI,RB,10,DET,22,28,4700,11.95
22,Mark Ingram,NO,RB,10,CIN,31,25,4500,11.95
24,Dion Lewis,TEN,RB,10,NE,23,15,4600,11.9
25,Isaiah Crowell,NYJ,RB,10,BUF,9,23,4200,11.81
26,Duke Johnson,CLE,RB,10,ATL,29,24,4700,11.69
27,Kenyan Drake,MIA,RB,10,GB,20,19,5100,11.54
28,Jalen Richard,OAK,RB,10,LAC,13,17,4800,10.86
29,Mike Davis,SEA,RB,10,LAR,15,14,4300,10.53
30,Chris Thompson,WAS,RB,10,TB,32,27,5400,10.45
31,Doug Martin,OAK,RB,10,LAC,13,17,4200,10.27
32,Austin Ekeler,LAC,RB,10,OAK,30,29,4000,9.93
33,Ito Smith,ATL,RB,10,CLE,26,30,3700,9.81
34,Frank Gore,MIA,RB,10,GB,20,19,3500,9.77
35,Sony Michel,NE,RB,10,TEN,3,5,5300,9.43
36,Theo Riddick,DET,RB,10,CHI,4,1,3800,8.82
37,Chris Carson,SEA,RB,10,LAR,15,14,4600,8.75
38,Peyton Barber,TB,RB,10,WAS,11,11,3500,8.65
39,TJ Yeldon,JAX,RB,10,IND,17,16,5600,8.55
40,Wendell Smallwood,PHI,RB,10,DAL,2,10,3400,8.48
41,Nyheim Hines,IND,RB,10,JAX,5,9,3700,8
42,Elijah McGuire,NYJ,RB,10,BUF,9,23,3400,7.93
43,Derrick Henry,TEN,RB,10,NE,23,15,3800,7.8
44,Jamaal Williams,GB,RB,10,MIA,24,26,3500,7.03
45,Chris Ivory,BUF,RB,10,NYJ,14,18,3900,6.52
46,Giovani Bernard,CIN,RB,10,NO,28,6,4500,6.16
47,Corey Clement,PHI,RB,10,DAL,2,10,3300,5.95
48,Alfred Morris,SF,RB,10,NYG,18,21,3500,5.9
49,Carlos Hyde,JAX,RB,10,IND,17,16,4400,5.04
50,Kyle Juszczyk,SF,FB,10,NYG,18,21,3200,4.72
51,LeGarrette Blount,DET,RB,10,CHI,4,1,3100,4.39
52,Josh Adams,PHI,RB,10,DAL,2,10,3300,4.34
53,Spencer Ware,KC,RB,10,ARI,12,31,4000,4.17
54,Darren Sproles,PHI,RB,10,DAL,2,10,3400,4.04
55,Malcolm Brown,LAR,RB,10,SEA,6,12,4200,3.92
56,Chase Edmonds,ARI,RB,10,KC,27,32,4100,3.56
57,Rashaad Penny,SEA,RB,10,LAR,15,14,3500,3.44
57,Jacquizz Rodgers,TB,RB,10,WAS,11,11,3100,3.44
59,Wayne Gallman,NYG,RB,10,SF,25,20,3500,3.38
60,Trenton Cannon,NYJ,RB,10,BUF,9,23,3100,3.21
61,Kapri Bibbs,WAS,RB,10,TB,32,27,3600,3
62,CJ Anderson,CAR,RB,10,PIT,21,3,4000,2.23
63,Ronald Jones II,TB,RB,10,WAS,11,11,3400,2.03
64,Jordan Wilkins,IND,RB,10,JAX,5,9,3400,1.86
65,Deandre Washington,OAK,RB,10,LAC,13,17,3300,1.81
66,Rod Smith,DAL,RB,10,PHI,10,2,4000,1.76
67,Marcus Murphy,BUF,RB,10,NYJ,14,18,3300,1.72
