Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
84,Demarcus Robinson,KC,WR,7,CIN,2,2,100,13,0,9,6.5,6.5,0,0,0,0,0,0,3.3,3.3
87,Michael Floyd,WAS,WR,7,DAL,3,1,33.3,20,0,20,6.7,20,0,0,0,0,0,0,3,3
88,Josh Reynolds,LAR,WR,7,SF,1,1,100,19,0,19,19,19,0,0,0,0,0,0,2.9,2.9
89,Antonio Callaway,CLE,WR,7,TB,2,1,50,14,0,14,7,14,0,0,0,0,0,0,2.4,2.4
90,Travis Benjamin,LAC,WR,7,TEN,1,1,100,13,0,13,13,13,0,0,0,0,0,0,2.3,2.3
90,Andre Holmes,BUF,WR,7,IND,2,1,50,13,0,13,6.5,13,0,0,0,0,0,0,2.3,2.3
92,Bennie Fowler,NYG,WR,7,ATL,1,1,100,11,0,11,11,11,0,0,0,0,0,0,2.1,2.1
93,Deontay Burnett,NYJ,WR,7,MIN,2,1,50,9,0,9,4.5,9,0,0,0,0,0,0,1.9,1.9
94,Taywan Taylor,TEN,WR,7,LAC,2,1,50,8,0,8,4,8,0,0,0,0,0,0,1.8,1.8
94,Phillip Dorsett,NE,WR,7,CHI,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
94,Damiere Byrd,CAR,WR,7,PHI,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
94,Rashad Greene,JAX,WR,7,HOU,1,1,100,8,0,8,8,8,0,0,0,0,0,0,1.8,1.8
98,Chris Conley,KC,WR,7,CIN,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
98,Breshad Perriman,CLE,WR,7,TB,1,1,100,6,0,6,6,6,0,0,0,0,0,0,1.6,1.6
98,Trent Taylor,SF,WR,7,LAR,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,1.6,1.6
101,Pierre Garcon,SF,WR,7,LAR,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
102,Allen Robinson,CHI,WR,7,NE,5,1,20,4,0,4,0.8,4,0,0,0,0,0,0,1.4,1.4
103,Keke Coutee,HOU,WR,7,JAX,3,1,33.3,3,0,3,1,3,0,0,0,0,0,0,1.3,1.3
104,Cameron Batson,TEN,WR,7,LAC,1,1,100,0,0,0,0,0,0,0,0,0,0,0,1,1
105,Alex Erickson,CIN,WR,7,KC,2,1,50,-1,0,-1,-0.5,-1,0,0,0,0,0,0,0.9,0.9
106,Tim Patrick,DEN,WR,7,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Daesean Hamilton,DEN,WR,7,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Trent Sherfield,ARI,WR,7,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Geremy Davis,LAC,WR,7,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Darius Jennings,TEN,WR,7,LAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Matthew Slater,NE,WR,7,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Josh Bellamy,CHI,WR,7,NE,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Daniel Brown,CHI,WR,7,NE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Dontrelle Inman,IND,WR,7,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Zach Pascal,IND,WR,7,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Cam Phillips,BUF,WR,7,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,John Ross,CIN,WR,7,KC,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Marcus Kemp,KC,WR,7,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Jermaine Kearse,NYJ,WR,7,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Neal Sterling,NYJ,WR,7,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Charone Peake,NYJ,WR,7,MIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Jordan Matthews,PHI,WR,7,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Deandre Carter,PHI,WR,7,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Shelton Gibson,PHI,WR,7,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Justin Watson,TB,WR,7,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Sammie Coates,HOU,WR,7,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Cameron Meredith,NO,WR,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Austin Carr,NO,WR,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Justin Hardee,NO,WR,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Deonte Thompson,DAL,WR,7,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Brian Quick,WAS,WR,7,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Brice Butler,DAL,WR,7,WAS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Jojo Natson,LAR,WR,7,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Victor Bolden Jr.,SF,WR,7,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Kendrick Bourne,SF,WR,7,LAR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Richie James,SF,WR,7,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Khadarel Hodge,LAR,WR,7,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Russell Gage,ATL,WR,7,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,Quadree Henderson,NYG,WR,7,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
