Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
52,Nick Vannett,SEA,TE,6,2,1,50,8,0,8,4,8,0,0,0,0,0,0,0.3,1.8
54,Jesse James,PIT,TE,7,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,0.2,1.7
54,Mo Alie-Cox,IND,TE,4,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,0.4,1.7
56,Charles Clay,BUF,TE,8,3,1,33.3,5,0,5,1.7,5,0,0,0,0,0,0,0.2,1.5
56,Tyler Kroft,CIN,TE,5,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,0.3,1.5
56,James O'Shaughnessy,JAX,TE,6,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.2,1.5
59,Jonnu Smith,TEN,TE,7,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,0.2,1.3
60,Vance McDonald,PIT,TE,6,2,1,50,0,0,0,0,0,0,0,0,0,1,0,0.2,1
61,Eric Saubert,ATL,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Vernon Davis,WAS,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Delanie Walker,TEN,TE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Rob Gronkowski,NE,TE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Niles Paul,JAX,TE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Orson Charles,CLE,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Dwayne Allen,NE,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Darren Fells,CLE,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,James Hurst,BAL,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Scott Simonson,NYG,TE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Xavier Grimble,PIT,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Logan Thomas,BUF,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Gabe Holmes,ARI,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Matt LaCosse,DEN,TE,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Chris Manhertz,CAR,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Seth DeValve,CLE,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Cole Wick,SF,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Alex Ellis,KC,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Jake Butt,DEN,TE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Jeremy Sprinkle,WAS,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Mason Schreck,CIN,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Darrell Daniels,SEA,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Antony Auclair,TB,TE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Ricky Seals-Jones,ARI,TE,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Jason Croom,BUF,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Blake Jarwin,DAL,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Sean Culkin,LAC,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Jordan Akins,HOU,TE,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Dalton Schultz,DAL,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Durham Smythe,MIA,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
