Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
1,Christian McCaffrey,CAR,RB,14,CLE,27,26,9300,22.13
2,Todd Gurley,LAR,RB,14,CHI,5,3,8800,21.88
3,Alvin Kamara,NO,RB,14,TB,31,28,8100,21.63
4,Ezekiel Elliott,DAL,RB,14,PHI,18,14,8600,21.59
5,Saquon Barkley,NYG,RB,14,WAS,12,12,8900,21.49
6,Aaron Jones,GB,RB,14,ATL,28,29,7200,17.4
7,Leonard Fournette,JAX,RB,14,TEN,8,6,6800,16.91
8,David Johnson,ARI,RB,14,DET,22,23,6500,16.44
9,James White,NE,RB,14,MIA,25,24,6600,16.12
10,Nick Chubb,CLE,RB,14,CAR,24,7,6700,15.35
11,Phillip Lindsay,DEN,RB,14,SF,26,18,6300,15.3
12,Dalvin Cook,MIN,RB,14,SEA,11,19,5800,14.8
13,Joe Mixon,CIN,RB,14,LAC,6,16,6400,14.65
14,Jaylen Samuels,PIT,FB,14,OAK,29,27,3700,14.11
15,Austin Ekeler,LAC,RB,14,CIN,32,32,6200,14.04
16,Tarik Cohen,CHI,RB,14,LAR,23,13,6400,13.84
17,Mark Ingram,NO,RB,14,TB,31,28,5700,13.81
18,Sony Michel,NE,RB,14,MIA,25,24,5900,13.72
19,Jeffery Wilson,SF,RB,14,DEN,19,17,3800,13.35
20,Lamar Miller,HOU,RB,14,IND,10,15,5100,12.99
21,Spencer Ware,KC,RB,14,BAL,1,1,5200,12.55
22,Kenyan Drake,MIA,RB,14,NE,15,11,4500,12.45
23,Chris Carson,SEA,RB,14,MIN,7,10,4900,12.42
24,Tevin Coleman,ATL,RB,14,GB,14,20,4400,12.21
25,Marlon Mack,IND,RB,14,HOU,9,8,4600,12.07
26,Theo Riddick,DET,RB,14,ARI,16,31,4700,11.68
27,Melvin Gordon,LAC,RB,14,CIN,32,32,8000,11.62
28,Gus Edwards,BAL,RB,14,KC,30,30,4500,11.56
29,LeSean McCoy,BUF,RB,14,NYJ,21,21,5000,11.47
30,Adrian Peterson,WAS,RB,14,NYG,20,25,4800,11.42
31,Jordan Howard,CHI,RB,14,LAR,23,13,3900,10.85
32,Dion Lewis,TEN,RB,14,JAX,3,2,4400,10.59
33,Josh Adams,PHI,RB,14,DAL,2,5,5300,10.56
34,Isaiah Crowell,NYJ,RB,14,BUF,4,22,3600,9.82
35,Chris Thompson,WAS,RB,14,NYG,20,25,5400,9.7
36,Peyton Barber,TB,RB,14,NO,17,4,3600,9.57
37,Justin Jackson,LAC,RB,14,CIN,32,32,3800,9.24
38,Doug Martin,OAK,RB,14,PIT,13,9,4300,9.22
39,Jalen Richard,OAK,RB,14,PIT,13,9,4100,9
40,Kerryon Johnson,DET,RB,14,ARI,16,31,5500,8.99
41,Frank Gore,MIA,RB,14,NE,15,11,3300,8.92
42,Derrick Henry,TEN,RB,14,JAX,3,2,3600,8.18
43,Ty Montgomery,BAL,RB,14,KC,30,30,4000,7.97
44,Duke Johnson,CLE,RB,14,CAR,24,7,3700,7.96
45,Nyheim Hines,IND,RB,14,HOU,9,8,4200,7.89
46,Ito Smith,ATL,RB,14,GB,14,20,3400,7.12
47,TJ Yeldon,JAX,RB,14,TEN,8,6,4000,7.05
48,Giovani Bernard,CIN,RB,14,LAC,6,16,4000,6.98
49,Elijah McGuire,NYJ,RB,14,BUF,4,22,3400,6.88
50,LeGarrette Blount,DET,RB,14,ARI,16,31,3900,6.71
51,Stevan Ridley,PIT,RB,14,OAK,29,27,3300,6.59
52,Royce Freeman,DEN,RB,14,SF,26,18,3500,6.33
52,Corey Clement,PHI,RB,14,DAL,2,5,3300,6.33
54,Chris Ivory,BUF,RB,14,NYJ,21,21,3300,5.9
55,Darren Sproles,PHI,RB,14,DAL,2,5,3300,5.87
56,Rex Burkhead,NE,RB,14,MIA,25,24,3400,5.45
57,Latavius Murray,MIN,RB,14,SEA,11,19,3700,5.38
58,Rashaad Penny,SEA,RB,14,MIN,7,10,4000,5.36
59,Mike Davis,SEA,RB,14,MIN,7,10,3800,5.16
60,Chase Edmonds,ARI,RB,14,DET,22,23,3800,5.14
61,Alfred Blue,HOU,RB,14,IND,10,15,3500,4.9
62,Kenneth Dixon,BAL,RB,14,KC,30,30,3200,4.15
63,Jamaal Williams,GB,RB,14,ATL,28,29,3500,4.04
64,Kyle Juszczyk,SF,FB,14,DEN,19,17,3000,3.71
65,Alfred Morris,SF,RB,14,DEN,19,17,3200,3.69
66,Damien Williams,KC,RB,14,BAL,1,1,3000,3.62
67,Wayne Gallman,NYG,RB,14,WAS,12,12,4100,3.46
68,Deandre Washington,OAK,RB,14,PIT,13,9,3000,3.27
69,Devontae Booker,DEN,RB,14,SF,26,18,3400,3.22
70,Taquan Mizzell,CHI,RB,14,LAR,23,13,3000,3.16
71,D'Onta Foreman,HOU,RB,14,IND,10,15,3300,2.78
72,Jacquizz Rodgers,TB,RB,14,NO,17,4,3200,2.67
73,Ronald Jones II,TB,RB,14,NO,17,4,3100,2.65
74,Carlos Hyde,JAX,RB,14,TEN,8,6,3200,2.59
75,Jordan Wilkins,IND,RB,14,HOU,9,8,3300,2.26
76,Trenton Cannon,NYJ,RB,14,BUF,4,22,3100,2.18
77,Andy Janovich,DEN,FB,14,SF,26,18,3000,2.17
78,Wendell Smallwood,PHI,RB,14,DAL,2,5,3000,2.12
79,Kapri Bibbs,WAS,RB,14,NYG,20,25,3700,2.05
80,Zach Zenner,DET,RB,14,ARI,16,31,3000,2.02
81,Charcandrick West,KC,RB,14,BAL,1,1,3000,1.99
82,Travaris Cadet,CAR,RB,14,CLE,27,26,3000,1.98
83,Trey Edmunds,PIT,RB,14,OAK,29,27,null,1.93
84,CJ Anderson,OAK,RB,14,PIT,13,9,null,1.81
85,John Kelly,LAR,RB,14,CHI,5,3,3800,1.79
86,Justin Davis,LAR,RB,14,CHI,5,3,3000,1.71
87,Rod Smith,DAL,RB,14,PHI,18,14,4000,1.67
88,James Develin,NE,RB,14,MIA,25,24,3000,1.23
89,Detrez Newsome,LAC,RB,14,CIN,32,32,3000,1.13
89,Gregory Howell Jr.,HOU,RB,14,IND,10,15,3000,1.13
91,Anthony Sherman,KC,FB,14,BAL,1,1,3000,0.97
92,Matt Dayes,SF,RB,14,DEN,19,17,3000,0.93
93,Marcus Murphy,BUF,RB,14,NYJ,21,21,3000,0.9
94,Cameron Artis-Payne,CAR,RB,14,CLE,27,26,3000,0.76
95,Javorius Allen,BAL,RB,14,KC,30,30,3000,0.67
96,Patrick DiMarco,BUF,FB,14,NYJ,21,21,3000,0.54
97,Kalen Ballage,MIA,RB,14,NE,15,11,3000,0.51
98,Tra Carson,GB,RB,14,ATL,28,29,3000,0.49
98,Dontrell Hilliard,CLE,RB,14,CAR,24,7,3300,0.49
100,Rob Kelley,WAS,RB,14,NYG,20,25,3000,0.45
101,Ameer Abdullah,MIN,RB,14,SEA,11,19,3000,0.43
102,Zach Line,NO,FB,14,TB,31,28,3000,0.39
103,Byron Marshall,WAS,RB,14,NYG,20,25,3000,0.35
104,Brian Hill,ATL,RB,14,GB,14,20,3000,0.33
105,TJ Logan,ARI,RB,14,DET,22,23,3000,0.32
106,Alex Armah,CAR,RB,14,CLE,27,26,3000,0.31
106,Senorise Perry,MIA,RB,14,NE,15,11,3000,0.31
108,De'Lance Turner,BAL,RB,14,KC,30,30,null,0.29
108,Nick Bellore,DET,RB,14,ARI,16,31,3000,0.29
108,Roosevelt Nix,PIT,RB,14,OAK,29,27,3000,0.29
108,CJ Ham,MIN,RB,14,SEA,11,19,3000,0.29
112,Mark Walton,CIN,RB,14,LAC,6,16,3000,0.28
112,Elijhaa Penny,NYG,RB,14,WAS,12,12,3000,0.28
114,Keith Smith,OAK,FB,14,PIT,13,9,3000,0.27
115,Darrel Williams,KC,RB,14,BAL,1,1,3000,0.24
116,Benjamin Cunningham,CHI,RB,14,LAR,23,13,3000,0.22
117,Dwayne Washington,NO,RB,14,TB,31,28,3000,0.21
118,Derek Watt,LAC,FB,14,CIN,32,32,3000,0.2
118,Jamize Olawale,DAL,FB,14,PHI,18,14,3000,0.2
120,Mike Boone,MIN,RB,14,SEA,11,19,3000,0.18
121,Ricky Ortiz,ATL,RB,14,GB,14,20,3000,0.15
121,Brandon Bolden,MIA,RB,14,NE,15,11,3000,0.15
121,Samaje Perine,WAS,RB,14,NYG,20,25,3000,0.15
124,Kenjon Barner,CAR,RB,14,CLE,27,26,3000,0.14
124,Derrick Coleman,ARI,FB,14,DET,22,23,3000,0.14
126,Shaun Wilson,TB,RB,14,NO,17,4,null,0.13
127,Tommy Bohanon,JAX,FB,14,TEN,8,6,3000,0.11
128,David Fluellen,TEN,RB,14,JAX,3,2,3000,0.1
128,Michael Burton,CHI,FB,14,LAR,23,13,3000,0.1
128,Tre Madden,SEA,RB,14,MIN,7,10,3000,0.1
131,David Williams,JAX,RB,14,TEN,8,6,3000,0.07
132,Taiwan Jones,BUF,RB,14,NYJ,21,21,null,0.01
133,Corey Grant,JAX,RB,14,TEN,8,6,3000,0
133,Dalyn Dawkins,TEN,RB,14,JAX,3,2,3000,0
133,Jamaal Charles,JAX,RB,14,TEN,8,6,null,0
133,Bo Scarbrough,JAX,RB,14,TEN,8,6,null,0
133,Jalston Fowler,TEN,RB,14,JAX,3,2,null,0
133,De'Angelo Henderson,NYJ,RB,14,BUF,4,22,null,0
133,Bilal Powell,NYJ,RB,14,BUF,4,22,3000,0
133,Malcolm Brown,LAR,RB,14,CHI,5,3,3800,0
133,Fozzy Whittaker,CAR,RB,14,CLE,27,26,null,0
133,Elijah Hood,CAR,RB,14,CLE,27,26,3000,0
133,Devonta Freeman,ATL,RB,14,GB,14,20,3000,0
133,Joe Kerridge,GB,FB,14,ATL,28,29,null,0
133,Dan Vitale,GB,FB,14,ATL,28,29,3000,0
133,Tyler Ervin,BAL,RB,14,KC,30,30,null,0
133,Alex Collins,BAL,RB,14,KC,30,30,null,0
133,Jeremy Hill,NE,RB,14,MIA,25,24,null,0
133,Daniel Lasco,NO,RB,14,TB,31,28,null,0
133,Alan Cross,TB,FB,14,NO,17,4,2500,0
133,Jonathan Stewart,NYG,RB,14,WAS,12,12,3000,0
133,Paul Perkins,NYG,RB,14,WAS,12,12,null,0
133,Mack Brown,WAS,RB,14,NYG,20,25,null,0
133,Jonathan Williams,IND,RB,14,HOU,9,8,3000,0
133,Robert Turbin,IND,RB,14,HOU,9,8,null,0
133,Jerick McKinnon,SF,RB,14,DEN,19,17,null,0
133,Raheem Mostert,SF,RB,14,DEN,19,17,null,0
133,Matt Breida,SF,RB,14,DEN,19,17,4900,0
